bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-1.0,1263,20,,1.6,,60.1,73.6,X
0.0,3741,107,,2.9,,71.3,79.4,X
0.1,166,5,,3.0,,50.4,82.2,O
0.2,158,4,,2.5,,20.1,45.6,X
0.3,169,13,,7.7,,131.7,94.3,O
0.4,164,7,,4.3,,114.8,62.9,X
0.5,148,6,,4.1,,37.8,57.9,X
0.6,144,14,,9.7,,163.1,80.8,O
0.7,168,8,,4.8,,49.4,56.5,X
0.8,185,19,,10.3,,121.2,86.9,O
0.9,180,16,,8.9,,95.5,76.4,X
1.0,165,12,,7.3,,162.9,89.5,O
1.1,215,14,,6.5,,66.0,56.0,X
1.2,234,16,,6.8,,97.7,64.3,X
1.3,230,22,,9.6,,90.4,93.5,O
1.4,226,18,,8.0,,93.9,87.8,O
1.5,274,21,,7.7,,74.2,79.7,X
1.6,251,21,,8.4,,92.7,76.7,X
1.7,226,19,,8.4,,58.7,64.5,X
1.8,222,19,,8.6,,40.7,69.7,X
1.9,204,22,,10.8,,77.3,72.0,X
2.0,213,23,,10.8,,53.7,62.5,X
2.1,218,23,,10.6,,68.2,79.1,X
2.2,190,20,,10.5,,93.6,79.4,X
2.3,200,19,,9.5,,38.5,66.0,X
2.4,223,30,,13.5,,87.8,80.9,O
2.5,191,29,,15.2,,68.3,74.5,X
2.6,182,29,,15.9,,82.0,81.2,O
2.7,164,26,,15.9,,68.7,84.2,O
2.8,181,25,,13.8,,65.6,87.4,O
2.9,164,33,,20.1,,109.4,79.4,X
3.0,195,31,,15.9,,67.3,65.9,X
3.1,191,47,,24.6,,89.3,87.6,O
3.2,158,34,,21.5,,84.8,95.1,O
3.3,133,37,,27.8,,99.8,106.2,O
3.4,139,25,,18.0,,51.2,69.2,X
3.5,127,32,,25.2,,83.4,83.4,O
3.6,136,29,,21.3,,88.8,84.0,O
3.7,92,12,,13.0,,37.2,70.9,X
3.8,106,39,,36.8,,96.8,83.9,O
3.9,100,29,,29.0,,97.4,72.2,X
4.0,77,17,,22.1,,47.5,70.9,X
4.1,69,29,,42.0,,90.7,87.2,O
4.2,54,17,,31.5,,81.6,92.9,O
4.3,33,10,,30.3,,101.6,83.7,O
