bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0,2026,92,,4.5,,68.7,68.0,X
110,123,13,,10.6,,99.5,90.9,O
125,37,6,,16.2,,259.9,127.9,O
128,33,3,,9.1,,267.5,211.0,O
130,136,13,,9.6,,69.8,48.5,X
140,63,7,,11.1,,183.1,99.6,O
150,30,1,,3.3,,107.8,45.6,X
180,113,9,,8.0,,37.0,60.6,X
200,95,12,,12.6,,74.3,69.8,X
220,38,5,,13.2,,121.3,143.4,O
240,32,3,,9.4,,132.9,55.3,X
250,35,3,,8.6,,44.8,32.8,X
260,31,3,,9.7,,62.8,119.4,O
275,37,2,,5.4,,29.0,74.7,X
280,88,13,,14.8,,57.4,70.6,X
330,39,5,,12.8,,160.5,98.4,O
400,30,6,,20.0,,50.0,119.5,O
50,92,3,,3.3,,23.5,94.2,O
500,53,7,,13.2,,79.5,65.6,X
51,93,4,,4.3,,31.4,69.8,X
510,56,3,,5.4,,42.3,50.5,X
55,53,2,,3.8,,27.6,101.4,O
550,41,4,,9.8,,49.7,69.9,X
56,36,5,,13.9,,86.4,114.4,O
60,37,0,,0.0,,0.0,23.8,X
600,46,5,,10.9,,69.4,47.5,X
610,36,5,,13.9,,75.5,112.0,O
620,38,3,,7.9,,140.0,66.2,X
630,34,1,,2.9,,12.7,46.0,X
70,90,3,,3.3,,35.1,70.3,X
700,73,4,,5.5,,33.8,57.9,X
75,74,4,,5.4,,104.2,58.9,X
77,59,0,,0.0,,0.0,48.6,X
780,32,0,,0.0,,0.0,63.3,X
800,32,5,,15.6,,112.5,106.6,O
83,50,2,,4.0,,39.1,132.1,O
84,30,1,,3.3,,250.3,86.0,O
