bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0,888,73,,8.2,,50.9,66.0,X
10.0,526,32,,6.1,,64.7,70.6,X
11.0,468,26,,5.6,,132.3,86.9,O
12.0,370,14,,3.8,,47.3,72.0,X
13.0,326,17,,5.2,,58.2,64.6,X
14.0,253,6,,2.4,,11.7,83.3,O
15.0,206,16,,7.8,,141.7,114.2,O
16.0,130,8,,6.2,,140.8,80.3,O
2.0,1048,156,,14.9,,68.8,76.7,X
3.0,1096,134,,12.2,,64.8,72.8,X
4.0,999,110,,11.0,,82.1,81.0,O
5.0,991,69,,7.0,,41.6,81.1,O
6.0,918,76,,8.3,,108.8,90.7,O
7.0,781,78,,10.0,,98.9,77.8,X
8.0,743,61,,8.2,,78.8,80.0,O
9.0,639,51,,8.0,,69.3,58.1,X
