bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01,57,5,,8.8,,55.9,82.3,O
02,908,58,,6.4,,54.9,72.9,X
03,1548,128,,8.3,,75.6,77.9,X
04,282,27,,9.6,,131.7,83.4,O
06,58,4,,6.9,,40.2,57.3,X
07,63,5,,7.9,,48.5,74.3,X
09,64,6,,9.4,,60.7,88.8,O
10,1622,136,,8.4,,65.8,73.1,X
11,1013,89,,8.8,,88.0,74.1,X
12,174,10,,5.7,,38.4,56.1,X
17,32,1,,3.1,,34.9,54.6,X
18,530,36,,6.8,,88.0,73.2,X
19,584,39,,6.7,,34.5,75.0,X
20,94,6,,6.4,,51.3,63.9,X
21,120,14,,11.7,,126.5,114.5,O
22,2229,186,,8.3,,72.9,80.0,O
23,3294,316,,9.6,,91.4,78.5,X
24,528,45,,8.5,,95.0,70.1,X
