bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
00,787,64,,8.1,,78.0,73.4,X
01,1160,133,,11.5,,80.9,76.8,X
02,1509,177,,11.7,,91.4,81.3,O
03,1269,115,,9.1,,70.4,74.5,X
04,1021,95,,9.3,,92.0,79.4,X
05,1047,93,,8.9,,77.0,70.0,X
06,881,69,,7.8,,59.0,74.7,X
07,938,83,,8.8,,62.3,76.5,X
08,821,57,,6.9,,124.3,88.9,O
09,708,50,,7.1,,77.1,71.8,X
10,655,48,,7.3,,83.8,91.1,O
11,649,40,,6.2,,73.0,68.1,X
12,529,22,,4.2,,38.6,61.5,X
13,410,24,,5.9,,102.9,95.4,O
14,333,24,,7.2,,73.6,66.6,X
15,281,13,,4.6,,49.3,70.2,X
16,187,9,,4.8,,71.3,61.7,X
17,77,5,,6.5,,101.7,72.1,X
18,33,1,,3.0,,15.8,71.4,X
