bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0,348,98,,28.2,,85.5,91.1,O
1,110,14,,12.7,,53.4,68.1,X
10,194,9,,4.6,,110.2,78.5,X
11,187,9,,4.8,,75.4,94.6,O
12,179,9,,5.0,,88.6,73.6,X
13,160,8,,5.0,,58.3,70.6,X
14,127,5,,3.9,,91.8,81.5,O
15,148,4,,2.7,,94.7,59.3,X
16,94,1,,1.1,,9.4,32.2,X
17,104,6,,5.8,,117.7,88.0,O
18,85,1,,1.2,,8.5,106.3,O
19,80,2,,2.5,,46.1,59.9,X
2,109,11,,10.1,,56.3,49.5,X
20,79,3,,3.8,,81.7,63.1,X
21,69,1,,1.4,,22.7,18.9,X
22,55,0,,0.0,,0.0,49.7,X
23,61,3,,4.9,,114.5,58.9,X
24,34,0,,0.0,,0.0,98.5,O
25,43,0,,0.0,,0.0,123.4,O
26,33,0,,0.0,,0.0,79.8,X
3,135,25,,18.5,,98.3,89.7,O
4,145,14,,9.7,,42.4,73.6,X
5,178,16,,9.0,,34.0,72.6,X
6,195,20,,10.3,,99.7,89.3,O
7,169,16,,9.5,,86.2,76.8,X
8,175,19,,10.9,,65.8,91.4,O
9,175,10,,5.7,,42.4,68.2,X
