bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.1,130,2,,1.5,,114.9,98.8,O
0.2,573,3,,0.5,,26.6,71.4,X
0.3,304,8,,2.6,,87.8,86.9,O
0.4,416,8,,1.9,,58.2,55.6,X
0.5,127,4,,3.1,,44.4,38.7,X
0.6,218,12,,5.5,,116.5,75.3,X
0.7,152,7,,4.6,,66.8,85.0,O
0.8,167,4,,2.4,,34.5,66.8,X
0.9,136,6,,4.4,,57.7,66.9,X
1.0,75,6,,8.0,,92.3,58.5,X
1.1,95,3,,3.2,,32.5,60.6,X
1.2,56,3,,5.4,,37.4,84.9,O
1.3,172,10,,5.8,,47.6,70.7,X
1.4,127,16,,12.6,,77.5,81.4,O
1.5,77,10,,13.0,,73.8,72.0,X
1.6,126,20,,15.9,,85.6,90.0,O
1.8,59,9,,15.3,,83.7,68.8,X
2.1,92,18,,19.6,,83.0,96.1,O
2.4,64,17,,26.6,,105.2,86.9,O
2.6,64,18,,28.1,,99.8,102.0,O
3.1,85,39,,45.9,,101.0,91.6,O
3.4,33,19,,57.6,,88.1,75.4,X
