bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0,2452,382,,15.6,,74.2,81.1,O
10.0,1758,129,,7.3,,62.3,70.5,X
11.0,1567,110,,7.0,,99.5,80.0,O
12.0,1431,90,,6.3,,57.0,81.6,O
13.0,1298,81,,6.2,,75.9,77.5,X
14.0,1145,69,,6.0,,82.0,75.2,X
15.0,1028,60,,5.8,,92.2,73.3,X
16.0,765,37,,4.8,,68.8,62.2,X
2.0,2233,268,,12.0,,67.3,82.3,O
3.0,2170,219,,10.1,,61.5,81.3,O
4.0,2201,215,,9.8,,84.6,87.5,O
5.0,2073,179,,8.6,,66.2,68.8,X
6.0,1997,167,,8.4,,73.0,72.9,X
7.0,2034,165,,8.1,,91.9,78.3,X
8.0,2069,160,,7.7,,72.6,74.5,X
9.0,1992,131,,6.6,,82.7,76.8,X
