bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-0.1,53,3,,5.7,,50.2,112.3,O
-0.2,74,2,,2.7,,74.7,59.3,X
-0.3,51,2,,3.9,,87.6,60.1,X
-0.4,82,5,,6.1,,113.9,74.3,X
-0.5,56,3,,5.4,,58.3,37.4,X
-0.6,50,2,,4.0,,101.0,65.8,X
-0.7,56,3,,5.4,,148.7,78.1,X
-0.8,63,1,,1.6,,11.9,87.4,O
-0.9,73,2,,2.7,,34.7,62.6,X
-1.0,67,4,,6.0,,226.5,99.2,O
-1.1,58,0,,0.0,,0.0,72.0,X
-1.2,58,5,,8.6,,177.9,91.3,O
-1.3,79,2,,2.5,,81.0,106.8,O
-1.4,110,4,,3.6,,36.5,75.0,X
-1.5,69,1,,1.4,,86.3,64.1,X
-1.6,47,2,,4.3,,72.3,33.1,X
-1.7,145,5,,3.4,,43.4,100.5,O
-1.8,59,3,,5.1,,109.4,109.4,O
-1.9,74,2,,2.7,,61.3,53.5,X
-10.0,2313,81,,3.5,,70.0,81.1,O
-10.1,30,1,,3.3,,342.4,43.3,X
-10.3,253,6,,2.4,,104.2,61.1,X
-10.4,436,14,,3.2,,86.7,81.2,O
-10.7,43,1,,2.3,,96.6,62.4,X
-11.0,100,2,,2.0,,63.3,47.0,X
-11.3,169,2,,1.2,,65.0,79.5,X
-11.4,528,9,,1.7,,107.9,86.8,O
-11.5,125,3,,2.4,,126.2,95.8,O
-11.6,208,6,,2.9,,176.7,85.7,O
-11.7,124,0,,0.0,,0.0,27.6,X
-12.1,433,3,,0.7,,47.6,74.8,X
-12.5,354,13,,3.7,,96.2,86.6,O
-12.6,44,0,,0.0,,0.0,55.3,X
-12.9,82,1,,1.2,,31.2,86.0,O
-13.4,67,1,,1.5,,30.6,20.8,X
-14.3,48,1,,2.1,,66.7,62.5,X
-2.0,45,2,,4.4,,130.0,103.1,O
-2.1,149,5,,3.4,,69.0,75.4,X
-2.2,64,3,,4.7,,183.7,90.5,O
-2.3,72,5,,6.9,,251.7,145.8,O
-2.4,70,5,,7.1,,155.2,121.4,O
-2.5,72,2,,2.8,,106.1,73.1,X
-2.6,54,0,,0.0,,0.0,36.1,X
-2.7,53,2,,3.8,,19.9,26.0,X
-2.8,55,1,,1.8,,43.1,72.6,X
-2.9,125,5,,4.0,,95.0,87.2,O
-3.0,54,2,,3.7,,213.0,96.8,O
-3.1,60,1,,1.7,,12.4,99.8,O
-3.2,142,4,,2.8,,120.2,78.4,X
-3.3,85,3,,3.5,,55.6,54.3,X
-3.4,91,2,,2.2,,30.8,89.3,O
-3.5,57,1,,1.8,,44.9,27.1,X
-3.6,83,3,,3.6,,44.9,32.2,X
-3.7,96,2,,2.1,,112.7,79.8,X
-3.8,83,2,,2.4,,72.9,72.1,X
