bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
111,272,19,,7.0,,48.4,73.0,X
121,128,11,,8.6,,50.4,67.9,X
122,149,23,,15.4,,172.0,72.9,X
132,50,6,,12.0,,30.9,71.5,X
211,544,51,,9.4,,79.6,89.3,O
212,34,0,,0.0,,0.0,50.2,X
22,794,91,,11.5,,86.3,87.1,O
221,848,74,,8.7,,65.9,83.9,O
222,7016,657,,9.4,,85.6,82.0,O
223,1673,185,,11.1,,82.7,80.4,O
232,4313,359,,8.3,,76.5,76.9,X
233,3744,269,,7.2,,64.9,74.7,X
32,370,39,,10.5,,93.2,77.2,X
321,55,7,,12.7,,229.4,90.1,O
322,745,70,,9.4,,58.2,64.3,X
323,1599,147,,9.2,,87.6,69.3,X
33,550,47,,8.5,,104.4,74.0,X
332,801,66,,8.2,,64.3,94.8,O
333,2960,249,,8.4,,76.2,77.5,X
