bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
00,36,3,,8.3,,27.6,49.3,X
01,1822,215,,11.8,,55.9,75.9,X
02,2576,309,,12.0,,78.4,79.3,X
03,1862,203,,10.9,,74.1,78.9,X
04,1760,202,,11.5,,78.5,75.9,X
05,1601,157,,9.8,,76.2,76.3,X
06,1522,131,,8.6,,85.3,78.6,X
07,1470,95,,6.5,,77.6,83.0,O
08,1367,108,,7.9,,76.5,75.7,X
09,1193,90,,7.5,,91.1,89.3,O
10,1086,80,,7.4,,106.2,94.5,O
11,964,50,,5.2,,67.1,79.3,X
12,851,46,,5.4,,66.4,86.1,O
13,733,37,,5.0,,94.7,76.5,X
14,562,24,,4.3,,80.0,63.3,X
15,447,20,,4.5,,94.2,87.7,O
16,245,14,,5.7,,41.9,54.4,X
