bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-1.0,2285,50,,2.2,,86.7,76.4,X
0.0,4904,172,,3.5,,75.0,72.5,X
0.1,212,12,,5.7,,101.6,84.7,O
0.2,244,12,,4.9,,46.8,63.0,X
0.3,185,11,,5.9,,91.9,90.1,O
0.4,197,7,,3.6,,35.5,76.5,X
0.5,237,14,,5.9,,94.9,72.2,X
0.6,210,17,,8.1,,135.9,73.6,X
0.7,240,12,,5.0,,54.3,78.2,X
0.8,213,15,,7.0,,80.5,79.0,X
0.9,216,13,,6.0,,85.9,65.4,X
1.0,249,19,,7.6,,74.3,65.5,X
1.1,247,21,,8.5,,95.6,66.4,X
1.2,257,15,,5.8,,46.7,58.9,X
1.3,289,19,,6.6,,66.3,74.3,X
1.4,249,21,,8.4,,69.0,86.7,O
1.5,285,26,,9.1,,79.6,77.2,X
1.6,277,28,,10.1,,86.7,84.9,O
1.7,274,28,,10.2,,70.8,77.6,X
1.8,254,24,,9.4,,83.7,74.7,X
1.9,282,27,,9.6,,85.4,79.8,X
2.0,273,28,,10.3,,71.5,74.2,X
2.1,260,27,,10.4,,77.4,70.7,X
2.2,289,35,,12.1,,77.9,72.5,X
2.3,270,30,,11.1,,64.3,81.1,O
2.4,248,30,,12.1,,71.7,71.2,X
2.5,250,42,,16.8,,100.1,96.4,O
2.6,243,38,,15.6,,71.5,72.9,X
2.7,266,44,,16.5,,125.1,95.2,O
2.8,272,34,,12.5,,58.4,70.2,X
2.9,238,45,,18.9,,81.1,93.3,O
3.0,246,31,,12.6,,57.2,75.1,X
3.1,213,37,,17.4,,75.0,80.5,O
3.2,266,53,,19.9,,82.9,90.7,O
3.3,217,41,,18.9,,68.0,82.2,O
3.4,202,33,,16.3,,59.0,76.6,X
3.5,179,43,,24.0,,75.4,83.8,O
3.6,174,37,,21.3,,66.4,91.7,O
3.7,158,42,,26.6,,81.1,77.7,X
3.8,156,45,,28.8,,80.2,79.7,X
3.9,126,41,,32.5,,88.3,81.2,O
4.0,129,42,,32.6,,79.6,89.1,O
4.1,142,44,,31.0,,71.5,82.3,O
4.2,84,23,,27.4,,78.2,85.8,O
4.3,76,25,,32.9,,76.6,81.0,O
4.4,66,24,,36.4,,73.9,96.0,O
4.5,61,21,,34.4,,70.7,81.2,O
4.6,51,19,,37.3,,68.2,75.2,X
4.7,37,11,,29.7,,73.6,85.7,O
5.1,46,12,,26.1,,103.3,91.6,O
