bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0,262,28,,10.7,,76.2,92.8,O
10.0,67,3,,4.5,,100.7,73.3,X
11.0,59,8,,13.6,,173.6,90.5,O
12.0,65,6,,9.2,,64.8,73.7,X
14.0,45,5,,11.1,,59.3,105.1,O
15.0,33,3,,9.1,,208.5,59.7,X
17.0,44,6,,13.6,,73.0,92.1,O
18.0,32,3,,9.4,,32.3,152.7,O
20.0,30,5,,16.7,,78.5,61.7,X
21.0,30,2,,6.7,,8.0,92.6,O
25.0,43,4,,9.3,,60.2,51.2,X
29.0,32,3,,9.4,,50.2,150.7,O
3.0,40,4,,10.0,,131.3,51.5,X
33.0,32,2,,6.2,,31.1,73.8,X
4.0,47,5,,10.6,,44.7,52.1,X
5.0,53,8,,15.1,,122.2,176.8,O
6.0,54,5,,9.3,,42.2,40.0,X
7.0,63,2,,3.2,,29.4,63.3,X
8.0,67,4,,6.0,,27.0,95.9,O
9.0,57,6,,10.5,,84.0,133.2,O
