bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
04,71,4,,5.6,,58.5,101.2,O
06,69,4,,5.8,,100.8,78.5,X
09,73,4,,5.5,,235.4,87.1,O
12,172,6,,3.5,,46.2,79.0,X
15,495,30,,6.1,,65.7,71.3,X
18,1743,141,,8.1,,85.7,80.1,O
23,40,1,,2.5,,15.7,19.6,X
24,254,30,,11.8,,63.0,85.8,O
25,72,7,,9.7,,108.3,101.9,O
26,773,64,,8.3,,111.9,76.7,X
28,152,19,,12.5,,30.9,79.3,X
29,1407,112,,8.0,,72.4,71.8,X
31,321,67,,20.9,,76.8,79.9,X
32,3079,233,,7.6,,85.8,80.7,O
34,609,122,,20.0,,70.5,80.6,O
35,4758,381,,8.0,,82.1,78.6,X
37,834,187,,22.4,,65.3,79.0,X
38,4345,354,,8.1,,78.4,85.7,O
