bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1,1884,323,,17.1,,72.6,82.1,O
10,1355,99,,7.3,,79.4,76.1,X
11,1170,76,,6.5,,143.7,82.9,O
12,1042,65,,6.2,,70.1,75.6,X
13,910,50,,5.5,,70.3,91.2,O
14,762,36,,4.7,,76.6,76.2,X
15,634,27,,4.3,,51.8,63.8,X
16,463,17,,3.7,,89.8,64.6,X
2,1840,241,,13.1,,94.0,82.0,O
3,1784,209,,11.7,,83.7,93.5,O
4,1765,192,,10.9,,77.2,73.9,X
5,1732,164,,9.5,,77.7,76.4,X
6,1660,127,,7.7,,75.1,81.7,O
7,1571,118,,7.5,,69.7,74.1,X
8,1496,102,,6.8,,64.2,80.1,O
9,1440,100,,6.9,,75.8,74.8,X
