bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-0.1,48,9,,18.8,,93.0,102.3,O
-0.2,36,2,,5.6,,19.3,50.1,X
-0.3,56,5,,8.9,,47.5,66.7,X
-0.4,45,4,,8.9,,31.2,59.0,X
-0.5,45,6,,13.3,,106.3,64.9,X
-0.6,47,6,,12.8,,282.1,85.0,O
-0.7,46,4,,8.7,,27.0,42.7,X
-0.8,56,6,,10.7,,81.3,58.1,X
-0.9,58,8,,13.8,,107.9,106.7,O
-1.0,46,4,,8.7,,50.6,64.5,X
-1.1,53,8,,15.1,,98.3,57.1,X
-1.2,62,2,,3.2,,7.5,128.8,O
-1.3,63,5,,7.9,,30.7,90.3,O
-1.4,61,4,,6.6,,40.9,46.4,X
-1.5,69,4,,5.8,,33.7,72.8,X
-1.6,59,4,,6.8,,139.7,149.3,O
-1.7,57,7,,12.3,,60.5,67.2,X
-1.8,73,14,,19.2,,87.9,66.5,X
-1.9,58,9,,15.5,,73.8,78.9,X
-10.0,91,6,,6.6,,34.7,54.8,X
-10.1,89,3,,3.4,,13.4,54.4,X
-10.2,96,4,,4.2,,15.7,115.3,O
-10.3,104,14,,13.5,,99.2,83.7,O
-10.4,90,3,,3.3,,11.2,51.1,X
-10.5,101,6,,5.9,,25.7,71.3,X
-10.6,88,6,,6.8,,23.5,106.7,O
-10.7,83,5,,6.0,,211.5,143.5,O
-10.8,96,13,,13.5,,136.9,86.1,O
-10.9,78,11,,14.1,,110.2,89.4,O
-11.0,82,5,,6.1,,55.9,60.9,X
-11.1,93,8,,8.6,,33.1,56.2,X
-11.2,93,11,,11.8,,87.2,94.0,O
-11.3,101,3,,3.0,,10.4,56.2,X
-11.4,76,11,,14.5,,197.5,101.2,O
-11.5,92,9,,9.8,,169.5,91.6,O
-11.6,86,6,,7.0,,56.0,116.1,O
-11.7,89,6,,6.7,,110.4,84.2,O
-11.8,110,9,,8.2,,54.3,53.4,X
-11.9,78,7,,9.0,,128.3,94.1,O
-12.0,257,63,,24.5,,76.5,79.5,X
-12.1,104,11,,10.6,,55.7,69.8,X
-12.2,92,8,,8.7,,27.0,107.1,O
-12.3,93,7,,7.5,,75.2,78.9,X
-12.4,79,12,,15.2,,178.2,101.7,O
-12.5,82,10,,12.2,,88.3,78.3,X
-12.6,86,3,,3.5,,11.9,78.0,X
-12.7,74,4,,5.4,,34.4,50.2,X
-12.8,79,9,,11.4,,100.6,93.0,O
-12.9,57,6,,10.5,,107.0,65.8,X
-13.0,169,25,,14.8,,157.4,102.6,O
-13.1,72,8,,11.1,,56.2,63.5,X
-13.2,62,2,,3.2,,26.6,43.7,X
-13.3,78,5,,6.4,,102.0,73.6,X
-13.4,68,7,,10.3,,25.9,51.7,X
-13.5,77,8,,10.4,,61.2,75.8,X
-13.6,77,2,,2.6,,11.8,52.2,X
-13.7,74,7,,9.5,,53.5,60.1,X
-13.8,89,7,,7.9,,64.6,69.0,X
-13.9,91,6,,6.6,,97.5,117.3,O
-14.0,171,21,,12.3,,69.0,90.9,O
-14.1,71,16,,22.5,,152.6,76.2,X
-14.2,75,10,,13.3,,118.3,81.0,O
-14.3,91,7,,7.7,,96.4,108.8,O
-14.4,77,5,,6.5,,248.2,103.2,O
-14.5,84,7,,8.3,,46.9,83.1,O
-14.6,80,5,,6.2,,62.2,99.3,O
-14.7,71,1,,1.4,,0.6,34.7,X
-14.8,81,5,,6.2,,102.7,107.6,O
-14.9,73,2,,2.7,,6.3,37.8,X
-15.0,295,19,,6.4,,57.0,67.9,X
-15.1,76,10,,13.2,,56.9,99.0,O
-15.2,48,2,,4.2,,11.3,32.6,X
-15.3,81,5,,6.2,,31.4,156.5,O
-15.4,59,5,,8.5,,24.9,111.3,O
-15.5,78,6,,7.7,,73.3,54.2,X
-15.6,63,7,,11.1,,88.2,61.8,X
-15.7,55,3,,5.5,,20.9,53.8,X
-15.8,74,6,,8.1,,277.7,61.3,X
-15.9,43,2,,4.7,,4.2,37.7,X
-16.0,369,25,,6.8,,42.1,75.3,X
-16.1,67,7,,10.4,,109.9,101.7,O
