bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0,1759,363,,20.6,,89.4,83.4,O
10.0,933,60,,6.4,,87.6,93.6,O
11.0,802,36,,4.5,,73.5,71.5,X
12.0,637,32,,5.0,,96.2,77.9,X
13.0,536,22,,4.1,,84.4,69.8,X
14.0,395,26,,6.6,,139.7,87.4,O
15.0,322,13,,4.0,,130.8,87.9,O
16.0,219,5,,2.3,,36.7,76.0,X
17.0,135,3,,2.2,,52.2,67.2,X
18.0,95,2,,2.1,,25.3,68.7,X
2.0,1714,263,,15.3,,68.8,77.0,X
3.0,1689,209,,12.4,,71.2,81.7,O
4.0,1636,193,,11.8,,84.7,82.0,O
5.0,1568,129,,8.2,,66.7,70.9,X
6.0,1506,136,,9.0,,65.7,65.3,X
7.0,1425,97,,6.8,,77.9,90.5,O
8.0,1296,89,,6.9,,80.6,80.3,O
9.0,1092,58,,5.3,,86.7,87.5,O
