bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1,1733,443,,25.6,,80.4,82.3,O
10,923,33,,3.6,,75.9,99.0,O
11,725,25,,3.4,,80.2,60.1,X
12,568,17,,3.0,,62.9,84.1,O
13,452,16,,3.5,,68.6,65.4,X
14,357,6,,1.7,,32.4,73.0,X
15,262,8,,3.1,,105.8,101.6,O
16,176,11,,6.2,,295.8,97.4,O
17,89,2,,2.2,,40.5,21.7,X
18,52,1,,1.9,,37.4,79.7,X
2,1736,305,,17.6,,93.5,84.5,O
3,1732,235,,13.6,,75.1,82.8,O
4,1702,184,,10.8,,71.7,75.3,X
5,1678,144,,8.6,,69.3,75.1,X
6,1620,112,,6.9,,77.7,81.1,O
7,1504,86,,5.7,,92.9,83.9,O
8,1320,63,,4.8,,55.8,74.7,X
9,1130,45,,4.0,,95.0,74.7,X
