bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
033,31,5,,16.1,,91.9,62.8,X
037,165,15,,9.1,,88.3,68.2,X
039,246,34,,13.8,,115.0,101.0,O
045,58,6,,10.3,,36.2,56.6,X
048,279,17,,6.1,,46.1,73.8,X
053,114,12,,10.5,,63.1,49.1,X
056,98,10,,10.2,,77.1,78.2,X
057,263,15,,5.7,,48.7,74.2,X
059,131,7,,5.3,,43.2,85.0,O
060,45,2,,4.4,,12.2,109.8,O
062,137,12,,8.8,,111.7,79.0,X
063,102,9,,8.8,,121.9,85.6,O
065,142,13,,9.2,,55.4,49.3,X
078,133,16,,12.0,,41.2,66.2,X
082,35,4,,11.4,,82.3,75.9,X
087,218,28,,12.8,,163.8,97.1,O
089,54,6,,11.1,,57.3,59.2,X
091,62,2,,3.2,,14.2,33.2,X
096,80,10,,12.5,,62.9,80.5,O
098,35,2,,5.7,,172.2,115.3,O
102,42,6,,14.3,,100.2,76.2,X
120,144,13,,9.0,,100.3,95.9,O
125,32,3,,9.4,,18.7,64.0,X
130,34,4,,11.8,,44.6,44.6,X
131,191,14,,7.3,,83.9,66.4,X
144,57,6,,10.5,,136.8,115.0,O
146,76,14,,18.4,,133.9,78.3,X
150,107,3,,2.8,,16.8,48.7,X
151,138,12,,8.7,,109.4,84.4,O
152,122,15,,12.3,,76.3,69.3,X
153,627,70,,11.2,,70.4,84.0,O
157,175,25,,14.3,,114.4,98.3,O
162,1972,188,,9.5,,79.4,84.0,O
167,111,11,,9.9,,69.7,60.7,X
171,307,20,,6.5,,43.1,75.0,X
173,86,7,,8.1,,59.6,80.1,O
189,46,3,,6.5,,19.1,47.0,X
194,194,20,,10.3,,76.7,53.9,X
209,64,6,,9.4,,80.8,44.8,X
215,172,17,,9.9,,47.2,66.5,X
216,80,6,,7.5,,62.9,92.5,O
234,351,19,,5.4,,40.8,51.1,X
301,51,2,,3.9,,35.6,31.2,X
305,62,5,,8.1,,86.6,78.7,X
321,62,9,,14.5,,114.1,59.7,X
332,46,5,,10.9,,65.1,104.8,O
360,118,8,,6.8,,90.8,105.9,O
367,34,3,,8.8,,231.6,70.2,X
368,38,3,,7.9,,28.4,60.6,X
384,85,4,,4.7,,13.3,70.8,X
395,42,8,,19.0,,122.9,121.3,O
398,225,18,,8.0,,67.7,60.1,X
420,91,11,,12.1,,72.8,73.5,X
421,40,3,,7.5,,40.3,47.1,X
422,47,5,,10.6,,90.5,84.1,O
428,60,3,,5.0,,14.6,51.8,X
434,44,4,,9.1,,45.1,53.4,X
442,53,6,,11.3,,55.9,57.3,X
443,172,11,,6.4,,50.3,89.7,O
449,173,16,,9.2,,88.8,60.9,X
450,52,5,,9.6,,197.9,86.3,O
451,54,8,,14.8,,92.3,50.5,X
465,57,9,,15.8,,236.8,117.1,O
474,101,11,,10.9,,44.0,68.6,X
481,43,5,,11.6,,57.3,51.4,X
490,46,3,,6.5,,120.9,92.2,O
491,74,0,,0.0,,0.0,58.0,X
721,44,3,,6.8,,161.5,117.3,O
728,237,31,,13.1,,69.7,78.3,X
729,351,22,,6.3,,65.5,85.4,O
733,113,10,,8.8,,46.5,72.3,X
734,152,10,,6.6,,38.6,60.9,X
735,57,4,,7.0,,44.1,54.3,X
789,37,2,,5.4,,36.7,75.2,X
795,869,82,,9.4,,78.1,82.2,O
796,95,7,,7.4,,116.9,108.4,O
797,102,6,,5.9,,25.3,66.0,X
809,70,7,,10.0,,40.6,83.9,O
871,122,10,,8.2,,38.0,47.2,X
873,342,34,,9.9,,51.7,76.2,X
874,683,50,,7.3,,77.2,75.6,X
887,30,3,,10.0,,49.4,17.1,X
889,63,4,,6.3,,23.1,82.4,O
