bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0,4444,491,,11.0,,87.1,77.8,X
10.0,1130,84,,7.4,,64.8,74.6,X
11.0,947,54,,5.7,,91.5,85.8,O
12.0,748,47,,6.3,,73.4,74.4,X
13.0,626,46,,7.3,,74.7,80.5,O
14.0,509,32,,6.3,,58.9,78.5,X
15.0,433,26,,6.0,,54.6,55.2,X
16.0,325,16,,4.9,,54.5,58.9,X
17.0,167,15,,9.0,,94.7,69.8,X
18.0,111,6,,5.4,,108.0,90.9,O
2.0,1724,228,,13.2,,83.4,78.8,X
3.0,1649,204,,12.4,,84.3,75.5,X
4.0,1662,175,,10.5,,68.7,80.3,O
5.0,1613,183,,11.3,,77.6,83.8,O
6.0,1545,160,,10.4,,93.3,83.1,O
7.0,1540,130,,8.4,,79.2,77.0,X
8.0,1449,128,,8.8,,77.6,78.1,X
9.0,1334,113,,8.5,,85.2,84.5,O
