bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0,4341,344,,7.9,,87.9,78.2,X
110,324,22,,6.8,,93.7,90.0,O
130,128,8,,6.2,,70.9,92.5,O
140,52,2,,3.8,,87.0,100.7,O
150,50,3,,6.0,,20.1,45.4,X
160,38,4,,10.5,,46.2,108.5,O
180,341,37,,10.9,,94.4,72.7,X
200,113,12,,10.6,,39.4,76.6,X
220,32,3,,9.4,,149.9,64.6,X
230,30,0,,0.0,,0.0,119.9,O
240,86,11,,12.8,,59.7,107.0,O
250,39,6,,15.4,,57.6,57.5,X
280,304,70,,23.0,,99.2,71.9,X
290,45,5,,11.1,,34.4,68.7,X
300,34,7,,20.6,,120.1,107.5,O
310,62,7,,11.3,,42.5,75.3,X
330,52,9,,17.3,,58.2,90.6,O
355,32,1,,3.1,,42.7,57.7,X
380,39,9,,23.1,,85.9,74.2,X
400,33,6,,18.2,,40.6,26.2,X
410,41,10,,24.4,,79.4,71.4,X
480,44,10,,22.7,,97.4,68.2,X
50,71,4,,5.6,,147.2,68.7,X
500,84,6,,7.1,,41.8,37.1,X
51,55,2,,3.6,,56.9,66.1,X
510,63,7,,11.1,,50.7,66.7,X
550,48,7,,14.6,,75.5,62.3,X
580,32,7,,21.9,,157.2,93.4,O
600,75,4,,5.3,,32.0,73.9,X
610,52,6,,11.5,,34.8,66.2,X
620,54,11,,20.4,,120.8,60.8,X
630,30,5,,16.7,,128.3,34.2,X
680,47,3,,6.4,,44.9,87.9,O
70,220,15,,6.8,,77.9,88.6,O
700,376,43,,11.4,,94.8,83.4,O
72,37,1,,2.7,,20.5,45.7,X
720,60,2,,3.3,,31.2,86.7,O
75,102,5,,4.9,,45.7,70.7,X
77,35,4,,11.4,,102.9,58.7,X
780,63,5,,7.9,,76.3,70.3,X
790,38,7,,18.4,,101.4,95.4,O
800,43,3,,7.0,,87.7,108.8,O
810,40,3,,7.5,,29.4,161.5,O
840,31,0,,0.0,,0.0,41.4,X
850,35,1,,2.9,,32.6,82.3,O
890,35,7,,20.0,,136.0,72.3,X
90,34,3,,8.8,,37.1,37.9,X
990,31,3,,9.7,,30.8,48.9,X
