bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10.2,43,0,,0.0,,0.0,7.5,X
10.3,30,0,,0.0,,0.0,56.9,X
10.4,32,1,,3.1,,93.2,98.5,O
10.5,34,1,,2.9,,46.4,41.1,X
10.6,37,1,,2.7,,96.3,96.8,O
10.7,49,1,,2.0,,88.1,110.8,O
10.8,46,1,,2.2,,93.3,86.2,O
10.9,43,0,,0.0,,0.0,50.4,X
11.4,249,7,,2.8,,88.4,60.3,X
11.5,208,3,,1.4,,27.6,89.4,O
11.6,360,13,,3.6,,168.2,101.5,O
11.7,295,8,,2.7,,97.4,49.2,X
11.8,323,9,,2.8,,126.0,92.2,O
11.9,520,11,,2.1,,66.6,81.5,O
12.0,69,0,,0.0,,0.0,33.5,X
12.1,53,1,,1.9,,23.1,117.9,O
12.2,86,2,,2.3,,43.8,90.9,O
12.3,75,0,,0.0,,0.0,59.8,X
12.4,106,3,,2.8,,43.9,81.5,O
12.5,96,3,,3.1,,156.0,80.7,O
12.6,98,1,,1.0,,27.8,35.7,X
12.7,105,5,,4.8,,65.5,57.5,X
12.8,47,0,,0.0,,0.0,93.2,O
13.1,52,2,,3.8,,73.8,65.7,X
13.2,43,0,,0.0,,0.0,16.8,X
13.4,42,1,,2.4,,32.5,142.3,O
13.5,34,3,,8.8,,135.9,125.4,O
13.7,40,0,,0.0,,0.0,68.7,X
14.5,33,0,,0.0,,0.0,20.6,X
14.6,32,0,,0.0,,0.0,50.6,X
16.2,30,2,,6.7,,141.1,44.4,X
16.3,229,11,,4.8,,89.3,98.8,O
16.4,320,14,,4.4,,98.2,87.4,O
16.5,181,2,,1.1,,36.4,101.6,O
16.6,225,9,,4.0,,66.9,59.5,X
16.7,148,7,,4.7,,58.7,88.7,O
16.8,58,1,,1.7,,54.9,28.3,X
17.2,32,1,,3.1,,8.4,72.3,X
17.3,53,3,,5.7,,69.6,62.1,X
17.4,33,0,,0.0,,0.0,41.8,X
17.6,30,1,,3.3,,179.0,77.3,X
17.7,46,2,,4.3,,93.9,119.6,O
17.8,40,1,,2.5,,46.8,47.5,X
17.9,34,2,,5.9,,174.9,116.9,O
18.0,37,1,,2.7,,6.9,106.3,O
18.1,36,1,,2.8,,62.7,51.8,X
18.5,31,1,,3.2,,91.5,64.3,X
18.6,33,1,,3.0,,20.7,46.5,X
18.7,30,0,,0.0,,0.0,25.3,X
19.4,147,7,,4.8,,83.1,65.6,X
19.5,201,10,,5.0,,51.2,71.5,X
19.6,58,6,,10.3,,155.5,118.5,O
19.7,54,1,,1.9,,27.4,62.2,X
19.8,93,6,,6.5,,85.5,70.3,X
19.9,60,3,,5.0,,95.3,78.9,X
21.3,37,2,,5.4,,107.6,42.6,X
22.3,40,2,,5.0,,66.6,34.3,X
22.4,289,16,,5.5,,105.4,85.0,O
22.5,216,14,,6.5,,80.7,76.6,X
22.6,145,9,,6.2,,62.7,60.6,X
22.7,39,4,,10.3,,177.7,94.7,O
22.8,31,0,,0.0,,0.0,46.0,X
23.4,35,1,,2.9,,28.3,166.2,O
24.0,30,1,,3.3,,80.4,58.2,X
24.4,35,3,,8.6,,301.7,273.7,O
24.5,35,1,,2.9,,44.1,40.8,X
24.6,32,1,,3.1,,20.7,71.6,X
25.1,37,1,,2.7,,39.3,62.5,X
25.2,177,13,,7.3,,82.5,79.0,X
25.3,136,8,,5.9,,57.2,80.9,O
25.4,113,2,,1.8,,12.4,73.4,X
25.6,43,3,,7.0,,87.8,103.9,O
27.1,62,4,,6.5,,32.1,54.9,X
27.2,86,9,,10.5,,142.4,112.0,O
27.3,144,11,,7.6,,73.2,81.0,O
28.6,33,1,,3.0,,80.4,79.3,X
29.0,45,2,,4.4,,39.9,38.3,X
29.1,50,2,,4.0,,38.4,41.9,X
29.2,44,9,,20.5,,258.6,119.9,O
29.3,105,6,,5.7,,61.1,51.9,X
29.4,190,14,,7.4,,53.6,78.5,X
29.5,89,7,,7.9,,69.6,72.5,X
3.6,53,0,,0.0,,0.0,24.2,X
3.7,211,1,,0.5,,57.9,50.6,X
3.8,147,4,,2.7,,76.6,142.5,O
32.1,67,9,,13.4,,116.3,78.2,X
32.2,262,32,,12.2,,86.9,75.6,X
32.3,137,17,,12.4,,95.3,88.8,O
34.1,35,5,,14.3,,121.2,98.1,O
34.2,31,1,,3.2,,30.9,110.0,O
35.8,38,5,,13.2,,61.9,65.9,X
35.9,59,6,,10.2,,114.0,90.9,O
36.0,193,23,,11.9,,72.5,72.5,X
36.1,248,26,,10.5,,73.3,71.8,X
36.2,44,4,,9.1,,72.0,71.0,X
38.2,30,3,,10.0,,109.2,42.4,X
38.5,34,3,,8.8,,58.6,58.5,X
38.6,30,8,,26.7,,197.5,110.2,O
40.2,87,17,,19.5,,106.3,81.8,O
40.3,118,13,,11.0,,60.7,75.9,X
40.4,49,9,,18.4,,113.9,62.4,X
40.5,33,4,,12.1,,74.7,83.1,O
40.6,160,25,,15.6,,83.7,83.2,O
40.7,178,23,,12.9,,65.7,68.5,X
42.3,32,5,,15.6,,153.5,139.7,O
44.5,42,10,,23.8,,119.2,101.5,O
44.6,40,1,,2.5,,6.3,79.0,X
44.7,32,3,,9.4,,42.0,78.3,X
44.8,45,11,,24.4,,118.3,101.9,O
44.9,83,8,,9.6,,52.8,58.9,X
45.0,67,6,,9.0,,53.5,73.6,X
45.1,95,12,,12.6,,55.5,78.3,X
45.2,73,12,,16.4,,76.9,68.5,X
45.5,36,3,,8.3,,52.6,85.1,O
45.6,30,8,,26.7,,165.6,99.0,O
47.9,44,6,,13.6,,33.0,80.3,O
48.1,34,7,,20.6,,83.8,96.4,O
48.2,53,9,,17.0,,69.5,81.8,O
48.3,84,23,,27.4,,112.4,93.0,O
48.4,107,21,,19.6,,91.1,74.9,X
52.7,42,9,,21.4,,101.7,81.3,O
52.8,30,6,,20.0,,96.3,79.5,X
52.9,40,6,,15.0,,52.8,66.0,X
53.0,143,27,,18.9,,76.4,85.9,O
53.1,61,13,,21.3,,78.4,61.3,X
53.2,33,6,,18.2,,65.9,95.4,O
57.5,32,7,,21.9,,97.7,94.2,O
58.0,41,14,,34.1,,104.1,81.9,O
58.1,33,5,,15.2,,45.6,59.2,X
58.2,53,12,,22.6,,68.8,85.9,O
58.3,77,16,,20.8,,70.0,77.0,X
58.4,32,6,,18.8,,55.5,97.1,O
6.2,38,3,,7.9,,491.8,166.2,O
6.3,32,1,,3.1,,82.3,21.0,X
6.8,206,1,,0.5,,9.0,69.5,X
6.9,296,5,,1.7,,109.4,85.2,O
63.4,32,10,,31.2,,90.9,104.2,O
65.0,36,11,,30.6,,90.1,88.1,O
65.1,34,12,,35.3,,81.6,88.6,O
65.4,43,19,,44.2,,110.7,98.4,O
65.6,33,9,,27.3,,67.3,84.7,O
65.9,47,16,,34.0,,82.0,87.9,O
7.0,238,5,,2.1,,110.6,79.8,X
7.1,451,9,,2.0,,96.0,95.4,O
7.2,288,9,,3.1,,121.9,72.6,X
7.3,269,3,,1.1,,68.0,50.5,X
70.1,31,14,,45.2,,106.4,98.5,O
74.4,41,9,,22.0,,36.2,71.3,X
74.5,41,14,,34.1,,61.9,89.4,O
74.6,31,11,,35.5,,58.8,81.6,O
8.4,34,0,,0.0,,0.0,39.4,X
8.5,70,1,,1.4,,64.2,59.8,X
8.6,71,0,,0.0,,0.0,54.5,X
8.7,97,2,,2.1,,66.1,58.3,X
8.8,44,0,,0.0,,0.0,32.6,X
8.9,72,1,,1.4,,33.6,56.9,X
9.0,126,2,,1.6,,120.8,88.4,O
9.1,68,0,,0.0,,0.0,48.4,X
9.2,50,4,,8.0,,295.6,68.5,X
9.3,37,2,,5.4,,214.8,43.3,X
9.5,53,1,,1.9,,159.7,88.5,O
9.6,40,0,,0.0,,0.0,67.5,X
9.9,38,1,,2.6,,33.9,98.5,O
