bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0,8561,836,,9.8,,84.5,79.2,X
1000,176,13,,7.4,,81.4,67.5,X
1150,38,4,,10.5,,129.7,122.8,O
1200,140,18,,12.9,,90.9,116.8,O
1300,132,7,,5.3,,93.5,76.0,X
1350,185,12,,6.5,,75.7,69.1,X
1450,30,4,,13.3,,63.5,99.8,O
1500,1348,125,,9.3,,71.3,74.4,X
1550,252,19,,7.5,,91.6,80.0,O
1600,124,16,,12.9,,124.3,77.7,X
1800,30,2,,6.7,,155.5,128.3,O
1950,36,1,,2.8,,9.3,38.4,X
200,353,24,,6.8,,91.0,74.5,X
2000,72,12,,16.7,,94.9,38.0,X
2100,66,4,,6.1,,52.4,46.2,X
2200,36,4,,11.1,,107.9,185.8,O
2250,80,5,,6.2,,90.7,72.8,X
2300,53,5,,9.4,,39.9,66.1,X
2400,362,32,,8.8,,113.4,83.6,O
2450,51,3,,5.9,,107.8,71.2,X
2900,30,1,,3.3,,20.4,99.8,O
3000,31,0,,0.0,,0.0,45.8,X
3600,48,5,,10.4,,71.8,70.4,X
3800,61,4,,6.6,,29.9,102.9,O
400,4068,416,,10.2,,66.0,77.9,X
450,314,41,,13.1,,65.9,78.8,X
700,260,18,,6.9,,164.5,77.4,X
750,248,23,,9.3,,64.5,62.7,X
900,2468,293,,11.9,,81.0,76.2,X
950,398,30,,7.5,,87.8,81.7,O
