bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-0.3,30,6,,20.0,,104.5,97.6,O
-0.6,34,5,,14.7,,77.1,70.1,X
-0.7,35,3,,8.6,,49.6,79.6,X
-1.3,33,2,,6.1,,25.2,49.5,X
-1.4,39,2,,5.1,,17.7,61.6,X
-1.5,32,5,,15.6,,100.3,106.9,O
-1.6,35,7,,20.0,,70.7,59.4,X
-1.7,30,2,,6.7,,73.2,35.2,X
-1.9,30,2,,6.7,,100.6,64.6,X
-10.0,100,12,,12.0,,106.4,59.8,X
-10.1,92,12,,13.0,,80.8,65.1,X
-10.2,67,6,,9.0,,61.6,56.7,X
-10.3,81,9,,11.1,,89.5,55.8,X
-10.4,96,7,,7.3,,71.3,96.5,O
-10.5,89,7,,7.9,,34.2,69.1,X
-10.6,96,14,,14.6,,88.3,89.2,O
-10.7,96,7,,7.3,,15.6,47.7,X
-10.8,91,9,,9.9,,45.5,75.9,X
-10.9,85,7,,8.2,,44.8,80.6,O
-11.0,115,19,,16.5,,73.2,77.9,X
-11.1,87,10,,11.5,,123.9,79.4,X
-11.2,70,3,,4.3,,41.9,111.8,O
-11.3,91,4,,4.4,,44.4,45.9,X
-11.4,87,10,,11.5,,57.9,137.5,O
-11.5,105,11,,10.5,,62.3,73.6,X
-11.6,95,5,,5.3,,27.2,99.1,O
-11.7,82,8,,9.8,,180.9,87.6,O
-11.8,89,11,,12.4,,152.9,71.3,X
-11.9,86,6,,7.0,,181.5,105.0,O
-12.0,262,85,,32.4,,75.1,85.6,O
-12.1,80,5,,6.2,,15.9,48.5,X
-12.2,96,11,,11.5,,98.7,70.6,X
-12.3,91,7,,7.7,,27.8,78.0,X
-12.4,86,8,,9.3,,57.3,60.8,X
-12.5,81,5,,6.2,,50.3,104.4,O
-12.6,108,13,,12.0,,73.1,86.1,O
-12.7,92,6,,6.5,,24.6,43.9,X
-12.8,87,11,,12.6,,114.2,110.0,O
-12.9,97,8,,8.2,,73.9,53.2,X
-13.0,201,38,,18.9,,57.9,75.0,X
-13.1,79,6,,7.6,,32.7,64.2,X
-13.2,80,8,,10.0,,141.1,69.5,X
-13.3,103,10,,9.7,,83.5,96.6,O
-13.4,90,11,,12.2,,218.9,127.1,O
-13.5,66,4,,6.1,,73.7,98.8,O
-13.6,82,9,,11.0,,148.6,93.7,O
-13.7,70,4,,5.7,,31.7,44.3,X
-13.8,92,11,,12.0,,101.0,103.7,O
-13.9,81,10,,12.3,,168.9,140.5,O
-14.0,258,41,,15.9,,84.2,78.3,X
-14.1,75,7,,9.3,,93.3,85.3,O
-14.2,88,9,,10.2,,80.8,54.8,X
-14.3,85,11,,12.9,,59.7,79.6,X
-14.4,72,10,,13.9,,39.7,111.7,O
-14.5,76,10,,13.2,,136.5,72.6,X
-14.6,97,5,,5.2,,18.7,85.3,O
-14.7,89,6,,6.7,,24.3,48.4,X
-14.8,101,14,,13.9,,76.7,65.6,X
-14.9,73,7,,9.6,,48.6,64.5,X
-15.0,455,57,,12.5,,80.1,85.8,O
-15.1,76,6,,7.9,,103.2,90.5,O
-15.2,81,3,,3.7,,9.3,39.2,X
-15.3,83,8,,9.6,,48.4,71.0,X
-15.4,84,11,,13.1,,131.7,92.3,O
-15.5,85,10,,11.8,,71.9,102.0,O
-15.6,87,11,,12.6,,59.4,87.2,O
-15.7,76,12,,15.8,,84.9,97.9,O
-15.8,85,6,,7.1,,177.3,105.3,O
-15.9,67,4,,6.0,,31.9,61.9,X
-16.0,567,51,,9.0,,100.5,84.3,O
-16.1,80,5,,6.2,,36.0,50.6,X
-16.2,78,3,,3.8,,13.0,43.0,X
-16.3,91,7,,7.7,,75.3,50.9,X
-16.4,78,11,,14.1,,88.6,75.1,X
-16.5,93,8,,8.6,,56.5,61.9,X
-16.6,75,5,,6.7,,62.6,50.2,X
-16.7,64,3,,4.7,,21.7,53.8,X
-16.8,81,6,,7.4,,145.3,95.1,O
-16.9,95,9,,9.5,,62.9,75.9,X
-17.0,474,26,,5.5,,61.6,84.9,O
-17.1,75,6,,8.0,,82.7,72.6,X
-17.2,63,5,,7.9,,63.4,134.9,O
-17.3,79,7,,8.9,,28.0,67.5,X
-17.4,77,5,,6.5,,33.5,45.9,X
-17.5,78,5,,6.4,,45.4,76.0,X
-17.6,73,7,,9.6,,149.1,74.4,X
-17.7,51,2,,3.9,,14.1,81.4,O
-17.8,70,6,,8.6,,26.5,89.2,O
-17.9,67,4,,6.0,,177.1,64.1,X
-18.0,249,22,,8.8,,143.6,88.0,O
-18.1,67,9,,13.4,,55.6,59.5,X
-18.2,63,7,,11.1,,42.9,53.4,X
-18.3,78,9,,11.5,,44.6,84.0,O
-18.4,54,2,,3.7,,7.5,71.5,X
