bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-1.8,64,5,,7.8,,290.4,122.4,O
-10.2,126,5,,4.0,,158.3,130.7,O
-10.3,35,0,,0.0,,0.0,36.6,X
-10.9,30,1,,3.3,,17.8,31.6,X
-11.0,143,4,,2.8,,64.6,70.8,X
-11.2,129,1,,0.8,,7.5,41.3,X
-11.4,35,0,,0.0,,0.0,46.4,X
-11.6,34,0,,0.0,,0.0,41.1,X
-11.8,63,0,,0.0,,0.0,84.1,O
-11.9,33,1,,3.0,,91.3,69.6,X
-12.5,377,12,,3.2,,82.5,66.9,X
-13.8,71,2,,2.8,,75.6,70.0,X
-15.0,640,20,,3.1,,68.6,91.5,O
-20.0,70,0,,0.0,,0.0,38.8,X
-3.8,62,3,,4.8,,62.6,75.6,X
-4.5,48,2,,4.2,,44.5,19.4,X
-7.0,71,1,,1.4,,25.5,66.3,X
-9.0,146,8,,5.5,,102.6,118.5,O
-9.9,33,1,,3.0,,26.1,164.1,O
10.4,30,3,,10.0,,110.6,93.8,O
10.8,42,5,,11.9,,67.0,82.2,O
11.0,57,5,,8.8,,38.7,78.6,X
12.0,79,3,,3.8,,22.2,40.8,X
12.5,74,6,,8.1,,78.8,56.8,X
13.2,38,2,,5.3,,39.4,124.4,O
15.0,249,31,,12.4,,70.3,79.8,X
16.5,45,6,,13.3,,30.7,48.3,X
18.0,173,20,,11.6,,59.7,89.4,O
18.8,62,13,,21.0,,73.1,72.2,X
20.0,32,5,,15.6,,170.9,121.7,O
22.0,43,11,,25.6,,108.0,72.4,X
22.5,171,31,,18.1,,68.9,81.5,O
25.0,49,7,,14.3,,82.5,66.8,X
30.0,194,54,,27.8,,92.0,82.4,O
5.2,41,1,,2.4,,20.4,57.2,X
5.4,54,3,,5.6,,88.2,87.0,O
5.5,33,3,,9.1,,49.3,43.4,X
5.7,34,1,,2.9,,29.5,46.7,X
6.1,31,1,,3.2,,79.1,83.2,O
6.2,30,6,,20.0,,155.7,113.6,O
6.4,31,3,,9.7,,59.9,74.8,X
6.6,91,7,,7.7,,42.3,62.9,X
6.7,33,6,,18.2,,157.2,108.6,O
6.8,33,4,,12.1,,49.5,27.2,X
7.0,35,4,,11.4,,137.6,74.8,X
7.1,31,3,,9.7,,178.5,58.4,X
7.4,33,2,,6.1,,38.7,57.5,X
7.5,300,11,,3.7,,54.8,66.0,X
7.9,30,3,,10.0,,127.5,81.2,O
8.3,35,4,,11.4,,59.9,93.9,O
9.0,421,34,,8.1,,59.5,76.5,X
