bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0,828,60,,7.2,,75.7,90.0,O
1.0,2343,180,,7.7,,66.9,74.3,X
10.0,571,45,,7.9,,71.9,61.4,X
11.0,511,35,,6.8,,76.9,70.7,X
12.0,395,20,,5.1,,57.8,81.2,O
13.0,338,35,,10.4,,87.6,91.6,O
14.0,246,15,,6.1,,55.7,46.4,X
15.0,193,15,,7.8,,71.6,88.4,O
16.0,143,6,,4.2,,46.2,83.1,O
17.0,124,6,,4.8,,98.5,63.0,X
18.0,104,7,,6.7,,88.2,54.6,X
19.0,81,5,,6.2,,139.7,97.3,O
2.0,2445,275,,11.2,,87.7,83.4,O
20.0,90,8,,8.9,,86.3,99.6,O
21.0,68,5,,7.4,,131.0,110.6,O
22.0,53,3,,5.7,,13.8,55.2,X
23.0,41,2,,4.9,,69.6,82.9,O
24.0,36,2,,5.6,,49.1,52.4,X
26.0,62,8,,12.9,,176.3,70.7,X
27.0,48,4,,8.3,,77.0,70.6,X
28.0,31,2,,6.5,,52.8,57.8,X
3.0,1657,138,,8.3,,76.2,76.1,X
4.0,827,74,,8.9,,90.0,85.3,O
5.0,758,72,,9.5,,92.1,99.0,O
6.0,708,68,,9.6,,147.2,97.0,O
7.0,688,61,,8.9,,94.5,88.8,O
8.0,786,70,,8.9,,71.7,71.8,X
9.0,706,54,,7.6,,82.8,83.5,O
