bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|0,144,35,,24.3,,58.7,72.9,X
1.0|1,152,41,,27.0,,73.8,85.9,O
1.0|2,494,118,,23.9,,82.0,82.0,O
1.0|3,1053,180,,17.1,,72.0,81.7,O
1.0|4,1136,109,,9.6,,67.5,76.8,X
10.0|0,100,3,,3.0,,52.0,91.7,O
10.0|1,342,37,,10.8,,81.3,75.1,X
10.0|2,847,52,,6.1,,79.3,92.4,O
10.0|3,673,32,,4.8,,82.2,82.2,O
10.0|4,260,7,,2.7,,93.3,58.0,X
11.0|0,95,4,,4.2,,101.2,102.7,O
11.0|1,413,41,,9.9,,87.2,86.0,O
11.0|2,792,49,,6.2,,98.2,72.1,X
11.0|3,590,21,,3.6,,90.2,77.0,X
11.0|4,203,5,,2.5,,51.5,64.9,X
12.0|0,113,3,,2.7,,52.1,20.0,X
12.0|1,376,26,,6.9,,58.7,88.1,O
12.0|2,715,37,,5.2,,86.1,76.5,X
12.0|3,501,15,,3.0,,51.3,63.0,X
12.0|4,168,5,,3.0,,88.1,64.1,X
13.0|0,112,1,,0.9,,4.5,14.7,X
13.0|1,322,25,,7.8,,102.3,80.1,O
13.0|2,544,43,,7.9,,123.9,86.9,O
13.0|3,354,18,,5.1,,49.4,70.8,X
13.0|4,119,4,,3.4,,60.5,78.9,X
14.0|0,64,1,,1.6,,48.7,49.6,X
14.0|1,306,17,,5.6,,85.5,99.4,O
14.0|2,510,31,,6.1,,167.7,121.1,O
14.0|3,270,12,,4.4,,118.4,88.4,O
14.0|4,93,1,,1.1,,90.1,121.4,O
15.0|0,33,0,,0.0,,0.0,32.4,X
15.0|1,246,11,,4.5,,70.7,66.5,X
15.0|2,306,8,,2.6,,83.4,55.0,X
15.0|3,182,2,,1.1,,8.9,75.8,X
15.0|4,68,1,,1.5,,41.6,17.6,X
16.0|1,69,3,,4.3,,63.7,67.4,X
16.0|2,91,3,,3.3,,29.8,89.7,O
16.0|3,44,2,,4.5,,45.3,17.8,X
2.0|0,108,25,,23.1,,115.6,89.4,O
2.0|1,194,47,,24.2,,94.6,87.4,O
2.0|2,617,112,,18.2,,82.0,81.9,O
2.0|3,1050,128,,12.2,,74.4,83.8,O
2.0|4,909,66,,7.3,,86.1,77.9,X
3.0|0,114,19,,16.7,,125.9,99.9,O
3.0|1,226,35,,15.5,,48.4,69.9,X
3.0|2,742,127,,17.1,,87.0,85.5,O
3.0|3,989,92,,9.3,,63.5,83.6,O
3.0|4,753,58,,7.7,,94.1,76.6,X
4.0|0,121,6,,5.0,,27.6,54.8,X
4.0|1,267,57,,21.3,,99.9,80.4,O
4.0|2,774,108,,14.0,,77.2,81.5,O
4.0|3,993,86,,8.7,,67.9,68.1,X
4.0|4,619,30,,4.8,,61.4,100.2,O
5.0|0,112,10,,8.9,,144.4,79.5,X
5.0|1,293,41,,14.0,,83.5,71.0,X
5.0|2,823,111,,13.5,,91.0,75.9,X
5.0|3,940,68,,7.2,,78.4,76.9,X
5.0|4,566,36,,6.4,,75.3,75.1,X
6.0|0,110,3,,2.7,,32.0,78.2,X
6.0|1,321,50,,15.6,,110.4,73.4,X
6.0|2,806,87,,10.8,,67.8,78.5,X
6.0|3,930,63,,6.8,,109.4,93.0,O
6.0|4,450,13,,2.9,,52.2,66.6,X
7.0|0,154,3,,1.9,,44.4,54.7,X
7.0|1,336,46,,13.7,,58.7,88.3,O
7.0|2,869,99,,11.4,,88.5,79.7,X
7.0|3,870,41,,4.7,,68.2,81.7,O
7.0|4,411,16,,3.9,,74.4,76.5,X
8.0|0,119,6,,5.0,,84.8,66.1,X
8.0|1,354,48,,13.6,,55.2,67.6,X
8.0|2,819,76,,9.3,,90.7,90.3,O
8.0|3,864,50,,5.8,,73.9,71.3,X
8.0|4,389,6,,1.5,,39.0,47.0,X
9.0|0,131,4,,3.1,,50.2,70.0,X
9.0|1,360,37,,10.3,,56.0,54.6,X
9.0|2,822,70,,8.5,,77.6,79.6,X
9.0|3,764,39,,5.1,,64.9,80.7,O
9.0|4,354,16,,4.5,,60.3,63.0,X
