bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|1.0,429,86,,20.0,,59.6,75.9,X
1.0|2.0,413,102,,24.7,,66.3,83.4,O
1.0|3.0,441,111,,25.2,,68.8,82.0,O
1.0|4.0,672,83,,12.4,,83.4,88.2,O
1.0|5.0,495,54,,10.9,,62.3,75.2,X
1.0|6.0,373,33,,8.8,,63.7,75.8,X
1.0|7.0,109,12,,11.0,,187.0,68.7,X
1.0|8.0,36,2,,5.6,,21.7,40.4,X
10.0|1.0,131,10,,7.6,,55.7,73.8,X
10.0|2.0,138,19,,13.8,,109.3,77.8,X
10.0|3.0,146,14,,9.6,,43.3,64.0,X
10.0|4.0,605,30,,5.0,,42.3,82.9,O
10.0|5.0,519,27,,5.2,,142.2,101.4,O
10.0|6.0,467,21,,4.5,,63.3,75.0,X
10.0|7.0,153,7,,4.6,,121.3,73.9,X
10.0|8.0,47,3,,6.4,,79.3,97.8,O
11.0|1.0,146,22,,15.1,,97.1,86.7,O
11.0|2.0,115,19,,16.5,,148.2,89.4,O
11.0|3.0,142,8,,5.6,,36.6,69.0,X
11.0|4.0,575,28,,4.9,,91.3,74.1,X
11.0|5.0,452,21,,4.6,,64.3,79.0,X
11.0|6.0,445,15,,3.4,,113.0,74.6,X
11.0|7.0,154,7,,4.5,,127.6,92.4,O
11.0|8.0,43,0,,0.0,,0.0,89.4,O
12.0|1.0,99,13,,13.1,,113.3,74.6,X
12.0|2.0,96,12,,12.5,,129.8,94.3,O
12.0|3.0,119,10,,8.4,,78.1,83.5,O
12.0|4.0,524,24,,4.6,,95.0,92.8,O
12.0|5.0,401,8,,2.0,,33.5,59.3,X
12.0|6.0,418,16,,3.8,,66.3,53.3,X
12.0|7.0,149,0,,0.0,,0.0,44.9,X
12.0|8.0,48,2,,4.2,,58.2,74.9,X
13.0|1.0,69,12,,17.4,,80.8,123.0,O
13.0|2.0,77,10,,13.0,,92.4,60.7,X
13.0|3.0,79,8,,10.1,,86.8,69.1,X
13.0|4.0,313,28,,8.9,,172.3,78.9,X
13.0|5.0,353,12,,3.4,,45.7,76.9,X
13.0|6.0,368,15,,4.1,,66.2,68.5,X
13.0|7.0,137,5,,3.6,,52.1,59.8,X
13.0|8.0,42,1,,2.4,,2.7,44.0,X
14.0|1.0,53,6,,11.3,,99.0,89.8,O
14.0|2.0,71,6,,8.5,,57.1,106.3,O
14.0|3.0,75,4,,5.3,,38.4,66.1,X
14.0|4.0,239,10,,4.2,,88.1,98.9,O
14.0|5.0,327,16,,4.9,,157.3,113.9,O
14.0|6.0,316,14,,4.4,,155.5,107.8,O
14.0|7.0,113,6,,5.3,,194.9,124.3,O
14.0|8.0,35,0,,0.0,,0.0,52.8,X
15.0|1.0,34,3,,8.8,,40.9,74.3,X
15.0|2.0,39,3,,7.7,,89.6,120.3,O
15.0|3.0,55,3,,5.5,,54.3,53.6,X
15.0|4.0,68,3,,4.4,,146.0,81.1,O
15.0|5.0,244,5,,2.0,,47.5,43.6,X
15.0|6.0,266,3,,1.1,,37.5,63.5,X
15.0|7.0,101,2,,2.0,,80.8,48.3,X
16.0|5.0,50,2,,4.0,,26.7,106.5,O
16.0|6.0,64,2,,3.1,,68.7,67.4,X
16.0|7.0,42,1,,2.4,,11.0,3.1,X
2.0|1.0,341,69,,20.2,,92.4,101.6,O
2.0|2.0,360,87,,24.2,,88.8,86.9,O
2.0|3.0,344,75,,21.8,,77.8,83.2,O
2.0|4.0,729,72,,9.9,,86.5,82.0,O
2.0|5.0,533,46,,8.6,,83.6,80.9,O
2.0|6.0,392,23,,5.9,,76.2,63.7,X
2.0|7.0,122,4,,3.3,,39.7,65.1,X
2.0|8.0,41,2,,4.9,,85.0,136.3,O
3.0|1.0,332,53,,16.0,,58.6,76.9,X
3.0|2.0,349,77,,22.1,,75.4,75.2,X
3.0|3.0,284,58,,20.4,,82.2,93.8,O
3.0|4.0,754,70,,9.3,,92.6,89.6,O
3.0|5.0,501,38,,7.6,,58.5,75.5,X
3.0|6.0,420,29,,6.9,,108.6,80.5,O
3.0|7.0,127,3,,2.4,,35.5,56.9,X
3.0|8.0,45,3,,6.7,,75.9,68.2,X
4.0|1.0,289,47,,16.3,,55.3,72.6,X
4.0|2.0,288,58,,20.1,,66.8,80.7,O
4.0|3.0,273,53,,19.4,,73.3,73.5,X
4.0|4.0,743,62,,8.3,,93.3,83.5,O
4.0|5.0,558,36,,6.5,,50.8,64.3,X
4.0|6.0,418,26,,6.2,,86.4,95.9,O
4.0|7.0,150,3,,2.0,,13.3,113.0,O
4.0|8.0,39,2,,5.1,,137.7,76.1,X
5.0|1.0,258,40,,15.5,,84.7,86.2,O
5.0|2.0,253,56,,22.1,,135.4,82.4,O
5.0|3.0,255,33,,12.9,,46.6,59.6,X
5.0|4.0,772,61,,7.9,,65.5,73.1,X
5.0|5.0,559,37,,6.6,,92.6,73.9,X
5.0|6.0,434,24,,5.5,,91.6,73.0,X
5.0|7.0,144,13,,9.0,,150.5,118.2,O
5.0|8.0,50,2,,4.0,,71.2,57.0,X
6.0|1.0,250,33,,13.2,,86.4,74.2,X
6.0|2.0,253,34,,13.4,,89.6,84.8,O
