bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
稍重|1,2271,180,,7.9,,92.9,87.3,O
稍重|2,1364,91,,6.7,,60.1,71.2,X
稍重|3,2723,204,,7.5,,101.1,79.9,X
稍重|4,294,27,,9.2,,76.0,71.3,X
稍重|9,185,10,,5.4,,30.0,67.5,X
良|1,6720,464,,6.9,,75.2,77.4,X
良|2,3677,283,,7.7,,87.7,83.2,O
良|3,8082,542,,6.7,,81.5,78.4,X
良|4,1076,82,,7.6,,83.7,67.8,X
良|9,714,50,,7.0,,53.9,74.0,X
重以上|1,1919,148,,7.7,,74.4,79.0,X
重以上|2,1022,75,,7.3,,69.0,74.9,X
重以上|3,2474,185,,7.5,,97.6,86.6,O
重以上|4,318,18,,5.7,,54.2,61.6,X
重以上|9,182,8,,4.4,,87.6,63.8,X
