bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
稍重|A,1754,161,,9.2,,95.1,88.3,O
稍重|B,1612,123,,7.6,,75.4,73.6,X
稍重|C,1029,59,,5.7,,41.8,71.9,X
稍重|D,435,12,,2.8,,40.1,47.0,X
稍重|S,1408,210,,14.9,,91.5,88.7,O
良|A,6512,610,,9.4,,86.1,81.8,O
良|B,5698,388,,6.8,,78.8,74.0,X
良|C,3452,203,,5.9,,75.4,78.3,X
良|D,1508,56,,3.7,,44.2,64.8,X
良|S,5297,717,,13.5,,88.0,84.2,O
重以上|A,1634,153,,9.4,,83.1,76.3,X
重以上|B,1352,98,,7.2,,60.0,78.8,X
重以上|C,894,47,,5.3,,67.6,78.2,X
重以上|D,366,14,,3.8,,33.8,59.5,X
重以上|S,1343,182,,13.6,,79.4,80.1,O
