bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
稍重|01,1579,158,,10.0,,75.1,83.7,O
稍重|03,2593,212,,8.2,,63.9,78.7,X
稍重|04,1207,117,,9.7,,101.3,77.6,X
稍重|05,448,43,,9.6,,82.5,70.2,X
稍重|06,53,4,,7.5,,107.4,132.0,O
稍重|07,352,29,,8.2,,95.4,76.8,X
良|01,5737,549,,9.6,,102.8,89.5,O
良|02,50,3,,6.0,,20.3,89.6,O
良|03,9337,791,,8.5,,69.6,76.1,X
良|04,4223,373,,8.8,,78.9,77.0,X
良|05,1534,132,,8.6,,80.9,72.3,X
良|06,208,11,,5.3,,32.7,59.7,X
良|07,1395,115,,8.2,,75.9,70.1,X
重以上|01,1439,127,,8.8,,71.5,77.0,X
重以上|03,2324,200,,8.6,,71.7,74.5,X
重以上|04,1043,90,,8.6,,64.6,77.7,X
重以上|05,381,37,,9.7,,66.7,69.4,X
重以上|06,51,4,,7.8,,62.4,57.2,X
重以上|07,361,38,,10.5,,93.0,99.2,O
