bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
稍重|1,563,170,,30.2,,78.8,83.2,O
稍重|2,564,107,,19.0,,75.7,84.8,O
稍重|3,566,68,,12.0,,80.1,75.9,X
稍重|4,564,60,,10.6,,102.9,87.9,O
稍重|5,559,46,,8.2,,103.7,73.6,X
稍重|6,543,36,,6.6,,74.5,75.5,X
稍重|7,523,22,,4.2,,56.5,70.7,X
良|1,1987,563,,28.3,,74.0,82.1,O
良|2,1978,349,,17.6,,76.5,80.9,O
良|3,1981,250,,12.6,,81.7,79.2,X
良|4,1973,182,,9.2,,73.7,79.2,X
良|5,1973,145,,7.3,,75.6,75.1,X
良|6,1925,115,,6.0,,95.1,80.5,O
良|7,1840,100,,5.4,,86.9,79.9,X
重以上|1,500,147,,29.4,,84.9,80.9,O
重以上|2,498,89,,17.9,,78.0,79.6,X
重以上|3,498,66,,13.3,,82.0,79.3,X
重以上|4,494,47,,9.5,,74.2,73.1,X
重以上|5,493,33,,6.7,,75.3,83.0,O
重以上|6,478,28,,5.9,,57.0,90.7,O
重以上|7,466,22,,4.7,,60.5,74.9,X
