bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05|1,4814,347,,7.2,,82.8,79.0,X
05|2,2677,190,,7.1,,67.3,76.9,X
05|3,5929,448,,7.6,,97.4,85.8,O
05|4,757,58,,7.7,,76.6,67.9,X
05|9,498,28,,5.6,,45.3,64.2,X
10|1,645,36,,5.6,,70.2,83.2,O
10|2,392,17,,4.3,,48.9,75.7,X
10|3,837,49,,5.9,,71.0,81.5,O
10|4,107,5,,4.7,,116.6,82.2,O
10|9,46,4,,8.7,,97.5,111.6,O
A1|1,647,45,,7.0,,77.6,85.7,O
A1|2,309,17,,5.5,,54.1,82.7,O
A1|3,583,24,,4.1,,72.2,77.5,X
A1|4,67,8,,11.9,,317.5,85.9,O
A1|9,72,1,,1.4,,5.0,54.6,X
A3|1,4802,364,,7.6,,75.6,78.7,X
A3|2,2683,225,,8.4,,98.1,81.8,O
A3|3,5929,410,,6.9,,83.5,74.8,X
A3|4,757,56,,7.4,,50.1,62.9,X
A3|9,464,35,,7.5,,69.3,77.9,X
