bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
07|440,46,5,,10.9,,34.0,55.1,X
07|460,109,19,,17.4,,79.0,66.7,X
07|480,95,13,,13.7,,49.8,80.3,O
07|500,54,9,,16.7,,40.4,89.1,O
08|420,70,5,,7.1,,21.6,89.5,O
08|440,170,23,,13.5,,64.2,106.0,O
08|460,348,56,,16.1,,69.0,86.7,O
08|480,317,38,,12.0,,63.9,78.3,X
08|500,154,23,,14.9,,99.9,90.2,O
08|520,86,12,,14.0,,54.8,88.9,O
09|400,32,2,,6.2,,49.2,31.1,X
09|420,144,11,,7.6,,88.9,93.1,O
09|440,386,34,,8.8,,65.5,78.6,X
09|460,697,86,,12.3,,64.0,79.8,X
09|480,637,90,,14.1,,106.3,85.5,O
09|500,437,63,,14.4,,79.0,78.7,X
09|520,142,21,,14.8,,53.9,94.9,O
09|540,31,4,,12.9,,109.2,160.6,O
10|400,48,2,,4.2,,33.6,45.0,X
10|420,256,17,,6.6,,35.1,66.4,X
10|440,739,73,,9.9,,91.5,72.2,X
10|460,1260,123,,9.8,,70.2,75.3,X
10|480,1220,161,,13.2,,86.0,94.6,O
10|500,809,97,,12.0,,57.0,80.9,O
10|520,341,56,,16.4,,110.1,94.8,O
10|540,90,12,,13.3,,111.0,64.9,X
11|400,63,3,,4.8,,28.9,78.0,X
11|420,423,29,,6.9,,74.9,76.0,X
11|440,1047,92,,8.8,,45.6,86.3,O
11|460,1757,193,,11.0,,83.1,73.0,X
11|480,1817,195,,10.7,,86.9,79.4,X
11|500,1074,119,,11.1,,79.2,77.4,X
11|520,435,75,,17.2,,73.7,85.4,O
11|540,117,14,,12.0,,142.3,93.6,O
12|400,206,10,,4.9,,29.1,71.0,X
12|420,920,57,,6.2,,59.7,77.9,X
12|440,2092,184,,8.8,,75.4,77.9,X
12|460,3074,308,,10.0,,85.2,77.6,X
12|480,2791,326,,11.7,,94.1,81.4,O
12|500,1746,184,,10.5,,75.4,84.3,O
12|520,645,69,,10.7,,53.9,82.1,O
12|540,166,20,,12.0,,64.0,84.8,O
13|400,128,10,,7.8,,168.4,68.7,X
13|420,673,47,,7.0,,52.2,74.1,X
13|440,1799,163,,9.1,,78.0,80.8,O
13|460,3060,261,,8.5,,65.2,78.0,X
13|480,2921,312,,10.7,,85.1,81.1,O
13|500,1805,184,,10.2,,58.4,67.6,X
13|520,686,71,,10.3,,62.4,80.7,O
13|540,177,22,,12.4,,141.1,69.0,X
13|560,38,4,,10.5,,28.0,67.5,X
14|380,30,1,,3.3,,20.4,118.2,O
14|400,263,15,,5.7,,66.3,76.9,X
14|420,1370,95,,6.9,,79.9,79.9,X
14|440,3151,263,,8.3,,75.2,77.2,X
14|460,4633,412,,8.9,,76.0,78.8,X
14|480,4331,398,,9.2,,70.4,75.7,X
14|500,2644,280,,10.6,,93.4,78.0,X
14|520,1007,105,,10.4,,79.8,84.7,O
14|540,259,25,,9.7,,56.2,56.1,X
14|560,50,3,,6.0,,26.0,61.5,X
15|380,45,1,,2.2,,4.7,55.7,X
15|400,387,15,,3.9,,64.6,61.9,X
15|420,1864,136,,7.3,,82.0,86.0,O
15|440,4684,352,,7.5,,80.0,74.4,X
15|460,7100,587,,8.3,,79.7,78.7,X
15|480,6740,627,,9.3,,80.1,79.0,X
15|500,4132,370,,9.0,,63.0,76.3,X
15|520,1671,179,,10.7,,76.2,78.8,X
15|540,370,38,,10.3,,109.4,103.4,O
15|560,78,10,,12.8,,201.1,88.6,O
16|380,144,6,,4.2,,127.9,45.8,X
16|400,1143,52,,4.5,,74.1,71.7,X
16|420,5213,321,,6.2,,66.2,72.8,X
16|440,13499,986,,7.3,,79.4,77.6,X
16|460,21145,1745,,8.3,,76.8,78.8,X
16|480,20406,1812,,8.9,,81.2,80.4,O
16|500,12953,1213,,9.4,,76.6,81.2,O
16|520,5281,540,,10.2,,91.8,81.2,O
16|540,1221,119,,9.7,,96.2,73.9,X
16|560,226,30,,13.3,,85.7,78.2,X
16|580,42,9,,21.4,,90.0,128.3,O
