bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|1,2233,594,,26.6,,74.6,79.8,X
2|2,2230,423,,19.0,,77.6,80.7,O
2|3,2213,293,,13.2,,69.1,75.8,X
2|4,2193,224,,10.2,,67.6,79.0,X
2|5,2157,167,,7.7,,79.8,78.7,X
2|6,2070,137,,6.6,,81.4,77.7,X
3|1,8198,2073,,25.3,,78.5,83.9,O
3|2,7849,1522,,19.4,,82.9,82.7,O
3|3,7708,1151,,14.9,,79.0,78.1,X
3|4,7489,829,,11.1,,80.9,79.4,X
3|5,7205,571,,7.9,,71.5,78.4,X
3|6,7011,504,,7.2,,71.2,79.8,X
4|1,3465,791,,22.8,,80.4,79.6,X
4|2,3414,593,,17.4,,72.5,76.5,X
4|3,3415,436,,12.8,,69.2,78.0,X
4|4,3308,343,,10.4,,79.3,84.3,O
4|5,3208,307,,9.6,,82.0,79.9,X
4|6,3041,239,,7.9,,77.9,77.4,X
5|1,1407,278,,19.8,,93.4,82.0,O
5|2,1661,267,,16.1,,79.0,78.6,X
5|3,1683,209,,12.4,,77.6,78.1,X
5|4,1808,166,,9.2,,61.5,79.2,X
5|5,1945,125,,6.4,,58.0,72.6,X
5|6,1821,123,,6.8,,90.4,82.5,O
6|1,441,67,,15.2,,88.4,76.3,X
6|2,500,66,,13.2,,126.9,81.0,O
6|3,584,51,,8.7,,51.4,78.4,X
6|4,659,51,,7.7,,73.1,79.4,X
6|5,740,46,,6.2,,76.4,75.0,X
6|6,871,39,,4.5,,65.9,68.7,X
7|1,98,8,,8.2,,58.9,63.9,X
7|2,124,13,,10.5,,60.4,73.1,X
7|3,141,10,,7.1,,67.0,70.2,X
7|4,207,12,,5.8,,74.3,76.3,X
7|5,214,7,,3.3,,36.4,75.8,X
7|6,258,15,,5.8,,69.0,67.0,X
8|3,41,2,,4.9,,134.4,75.8,X
8|4,47,1,,2.1,,15.1,56.7,X
8|5,57,3,,5.3,,36.7,114.6,O
8|6,73,2,,2.7,,66.6,98.5,O
