bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|1,35,2,,5.7,,71.1,118.6,O
2|11,107,12,,11.2,,37.8,97.3,O
2|111,152,17,,11.2,,89.1,77.2,X
2|121,271,40,,14.8,,90.8,88.0,O
2|122,1124,126,,11.2,,82.4,84.2,O
2|132,401,50,,12.5,,112.9,98.1,O
2|133,631,51,,8.1,,96.3,82.6,O
2|2,354,31,,8.8,,57.5,74.0,X
2|21,1246,134,,10.8,,72.6,84.8,O
2|211,252,38,,15.1,,156.0,95.7,O
2|212,123,25,,20.3,,158.6,99.9,O
2|213,154,12,,7.8,,39.0,72.5,X
2|22,681,70,,10.3,,75.6,63.9,X
2|221,429,54,,12.6,,87.1,85.5,O
2|222,2397,241,,10.1,,63.7,84.8,O
2|223,167,14,,8.4,,33.7,56.3,X
2|232,671,77,,11.5,,88.7,79.6,X
2|233,1473,139,,9.4,,63.6,73.3,X
2|32,1449,128,,8.8,,98.3,76.7,X
2|321,96,6,,6.2,,137.9,76.0,X
2|322,277,17,,6.1,,41.1,60.5,X
2|323,307,19,,6.2,,47.5,76.6,X
2|33,242,10,,4.1,,55.8,59.5,X
2|332,122,15,,12.3,,74.3,61.7,X
2|333,111,10,,9.0,,74.5,76.8,X
3|1,296,24,,8.1,,45.8,109.2,O
3|11,723,86,,11.9,,82.7,82.9,O
3|111,1292,163,,12.6,,87.6,88.0,O
3|112,86,9,,10.5,,109.3,82.8,O
3|113,72,8,,11.1,,58.5,59.7,X
3|121,3050,396,,13.0,,98.8,89.9,O
3|122,6808,734,,10.8,,85.5,85.3,O
3|132,3572,326,,9.1,,70.8,82.2,O
3|133,3345,292,,8.7,,70.2,77.3,X
3|2,233,23,,9.9,,76.3,83.6,O
3|21,6038,617,,10.2,,85.8,78.7,X
3|211,1562,202,,12.9,,94.7,85.5,O
3|212,844,103,,12.2,,76.7,75.9,X
3|213,988,104,,10.5,,84.0,87.9,O
3|22,3436,298,,8.7,,60.4,72.2,X
3|221,2809,325,,11.6,,85.8,83.2,O
3|222,10091,1061,,10.5,,77.7,79.7,X
3|223,785,73,,9.3,,88.8,83.5,O
3|232,4239,448,,10.6,,73.3,79.3,X
3|233,6695,686,,10.2,,71.0,78.3,X
3|3,52,3,,5.8,,7.9,82.0,O
3|311,41,5,,12.2,,77.7,131.3,O
3|32,6700,582,,8.7,,77.6,76.3,X
3|321,611,62,,10.1,,94.6,84.6,O
3|322,1324,124,,9.4,,78.3,83.8,O
3|323,1321,94,,7.1,,76.1,65.7,X
3|33,1361,102,,7.5,,81.6,77.2,X
3|331,30,3,,10.0,,133.3,75.0,X
3|332,524,54,,10.3,,130.8,77.2,X
3|333,426,30,,7.0,,57.6,59.7,X
4|1,44,5,,11.4,,222.9,129.5,O
4|11,573,52,,9.1,,81.2,71.8,X
4|111,956,124,,13.0,,99.0,81.6,O
4|112,42,0,,0.0,,0.0,56.8,X
4|113,38,5,,13.2,,51.1,74.3,X
4|121,2938,291,,9.9,,80.6,79.6,X
4|122,4391,440,,10.0,,77.5,83.0,O
4|132,2956,251,,8.5,,75.5,79.3,X
4|133,1841,158,,8.6,,80.6,79.7,X
4|2,31,1,,3.2,,2.9,112.5,O
4|21,2946,266,,9.0,,79.0,77.7,X
4|211,747,87,,11.6,,107.3,81.3,O
4|212,407,41,,10.1,,57.6,87.3,O
4|213,414,31,,7.5,,63.0,63.2,X
4|22,1675,148,,8.8,,76.7,74.0,X
4|221,2203,235,,10.7,,87.8,86.9,O
4|222,3866,349,,9.0,,78.8,78.8,X
4|223,229,17,,7.4,,51.4,66.3,X
4|232,2885,242,,8.4,,83.6,81.4,O
4|233,2772,211,,7.6,,81.5,75.7,X
4|311,34,7,,20.6,,129.7,92.5,O
4|32,2649,206,,7.8,,84.7,76.1,X
4|321,353,35,,9.9,,43.6,67.8,X
4|322,541,55,,10.2,,76.1,67.4,X
4|323,337,22,,6.5,,52.9,61.9,X
4|33,584,48,,8.2,,89.8,79.6,X
4|332,274,24,,8.8,,63.2,68.9,X
4|333,125,6,,4.8,,22.5,47.5,X
5|11,521,59,,11.3,,115.4,77.5,X
5|111,687,66,,9.6,,86.1,80.2,O
5|121,2377,189,,8.0,,82.5,84.9,O
5|122,2583,186,,7.2,,66.0,77.8,X
5|132,2155,149,,6.9,,74.6,77.1,X
5|133,1239,74,,6.0,,82.5,76.0,X
5|21,1760,146,,8.3,,75.5,81.0,O
5|211,466,37,,7.9,,61.1,74.4,X
5|212,138,10,,7.2,,96.2,80.3,O
5|213,145,11,,7.6,,116.3,88.4,O
5|22,990,68,,6.9,,67.4,68.9,X
5|221,1563,110,,7.0,,68.3,86.7,O
5|222,1945,147,,7.6,,71.3,79.3,X
5|223,84,4,,4.8,,87.3,49.1,X
5|232,1808,119,,6.6,,95.0,79.4,X
5|233,1257,52,,4.1,,64.7,73.5,X
5|32,1362,79,,5.8,,67.7,63.9,X
5|321,244,20,,8.2,,153.0,81.1,O
5|322,238,15,,6.3,,125.4,77.2,X
5|323,94,5,,5.3,,129.5,62.3,X
5|33,335,16,,4.8,,47.2,83.5,O
5|332,218,14,,6.4,,79.1,97.1,O
5|333,44,4,,9.1,,278.8,61.6,X
6|11,237,11,,4.6,,45.9,77.2,X
6|111,367,21,,5.7,,73.8,66.1,X
6|121,1341,88,,6.6,,99.2,69.9,X
6|122,1133,46,,4.1,,62.0,71.1,X
6|132,1027,51,,5.0,,59.1,80.9,O
6|133,542,20,,3.7,,96.4,76.9,X
6|21,659,30,,4.6,,50.7,77.4,X
6|211,212,11,,5.2,,73.5,88.4,O
6|213,39,2,,5.1,,16.9,93.8,O
6|22,418,26,,6.2,,131.3,80.2,O
6|221,801,43,,5.4,,62.9,65.8,X
6|222,621,30,,4.8,,71.7,56.2,X
6|232,770,31,,4.0,,55.3,64.8,X
6|233,408,15,,3.7,,59.3,81.7,O
6|32,465,11,,2.4,,30.6,57.9,X
6|321,88,4,,4.5,,49.0,74.1,X
6|322,72,4,,5.6,,52.3,59.6,X
6|33,85,1,,1.2,,21.9,53.2,X
6|332,108,3,,2.8,,21.0,44.7,X
7|11,73,0,,0.0,,0.0,60.7,X
7|111,159,7,,4.4,,54.7,50.9,X
7|121,510,20,,3.9,,49.4,71.1,X
7|122,348,7,,2.0,,19.0,54.8,X
7|132,307,8,,2.6,,80.5,70.4,X
7|133,123,3,,2.4,,50.1,47.3,X
7|21,182,5,,2.7,,37.2,68.2,X
7|211,110,5,,4.5,,36.4,128.4,O
7|22,125,7,,5.6,,188.8,128.4,O
7|221,367,18,,4.9,,133.1,75.7,X
7|222,236,11,,4.7,,131.7,86.7,O
7|232,258,13,,5.0,,123.0,50.5,X
7|233,106,2,,1.9,,16.7,52.6,X
7|32,99,5,,5.1,,89.9,36.3,X
8|111,49,4,,8.2,,198.2,101.3,O
8|121,156,6,,3.8,,40.4,93.6,O
8|122,81,1,,1.2,,36.4,58.2,X
8|132,121,2,,1.7,,12.4,86.8,O
8|133,33,0,,0.0,,0.0,44.3,X
8|21,33,0,,0.0,,0.0,97.9,O
8|211,43,3,,7.0,,197.6,74.9,X
8|221,104,2,,1.9,,86.2,82.6,O
8|222,89,1,,1.1,,23.9,56.9,X
8|232,73,0,,0.0,,0.0,61.4,X
9|121,36,2,,5.6,,82.7,83.8,O
