bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-10|1,5552,1709,,30.8,,75.5,81.5,O
-10|10,3847,92,,2.4,,73.9,78.2,X
-10|11,3056,67,,2.2,,94.3,77.7,X
-10|12,2403,37,,1.5,,63.4,78.7,X
-10|13,1791,34,,1.9,,95.8,78.2,X
-10|14,1246,19,,1.5,,65.5,78.0,X
-10|15,758,9,,1.2,,81.5,59.8,X
-10|16,402,8,,2.0,,82.5,98.0,O
-10|2,5554,1046,,18.8,,78.8,81.8,O
-10|3,5560,737,,13.3,,76.0,78.0,X
-10|4,5515,539,,9.8,,78.1,74.9,X
-10|5,5578,378,,6.8,,70.8,78.1,X
-10|6,5447,304,,5.6,,80.5,78.9,X
-10|7,5457,232,,4.3,,76.3,79.1,X
-10|8,5096,174,,3.4,,83.8,85.1,O
-10|9,4575,130,,2.8,,87.9,71.1,X
-20|1,255,64,,25.1,,67.4,76.5,X
-20|10,379,10,,2.6,,89.5,73.7,X
-20|11,302,5,,1.7,,90.9,60.8,X
-20|12,272,1,,0.4,,11.9,82.5,O
-20|13,219,7,,3.2,,117.7,86.1,O
-20|14,136,2,,1.5,,65.1,51.8,X
-20|15,113,0,,0.0,,0.0,63.6,X
-20|16,56,1,,1.8,,69.7,60.8,X
-20|2,341,69,,20.2,,76.0,79.6,X
-20|3,361,44,,12.2,,75.2,73.0,X
-20|4,393,42,,10.7,,79.0,73.5,X
-20|5,426,25,,5.9,,49.2,66.3,X
-20|6,432,22,,5.1,,75.3,63.6,X
-20|7,450,17,,3.8,,50.8,69.8,X
-20|8,433,15,,3.5,,58.9,78.2,X
-20|9,425,21,,4.9,,144.3,88.2,O
0|1,8157,2600,,31.9,,77.7,83.7,O
0|10,5011,131,,2.6,,87.3,84.7,O
0|11,4002,81,,2.0,,70.2,68.1,X
0|12,3128,58,,1.9,,80.7,78.6,X
0|13,2215,31,,1.4,,63.5,76.3,X
0|14,1661,31,,1.9,,115.7,99.1,O
0|15,1014,12,,1.2,,64.1,95.9,O
0|16,480,12,,2.5,,138.1,78.8,X
0|2,7850,1445,,18.4,,80.0,81.8,O
0|3,7680,977,,12.7,,74.5,78.9,X
0|4,7691,772,,10.0,,78.9,76.7,X
0|5,7447,547,,7.3,,73.3,75.7,X
0|6,7429,419,,5.6,,75.5,80.1,O
0|7,7035,285,,4.1,,76.8,78.1,X
0|8,6688,225,,3.4,,74.3,79.4,X
0|9,5843,165,,2.8,,82.9,74.9,X
10|1,848,256,,30.2,,74.3,83.6,O
10|10,926,19,,2.1,,56.0,79.0,X
10|11,734,15,,2.0,,52.2,64.5,X
10|12,553,5,,0.9,,37.0,56.1,X
10|13,422,4,,0.9,,42.2,70.9,X
10|14,337,3,,0.9,,36.4,100.1,O
10|15,233,5,,2.1,,125.3,82.2,O
10|16,98,1,,1.0,,90.0,131.9,O
10|2,999,181,,18.1,,73.8,80.3,O
10|3,1096,135,,12.3,,71.0,77.2,X
10|4,1057,120,,11.4,,86.4,88.5,O
10|5,1116,91,,8.2,,72.4,77.1,X
10|6,1124,54,,4.8,,79.3,71.6,X
10|7,1100,41,,3.7,,74.8,65.9,X
10|8,1073,42,,3.9,,86.7,83.9,O
10|9,1040,31,,3.0,,79.2,86.4,O
20|1,77,29,,37.7,,103.4,107.6,O
20|10,107,3,,2.8,,68.4,42.4,X
20|11,82,3,,3.7,,170.9,68.1,X
20|12,84,2,,2.4,,154.3,116.1,O
20|13,70,3,,4.3,,212.4,224.8,O
20|14,47,2,,4.3,,198.9,49.1,X
20|2,94,13,,13.8,,52.5,73.2,X
20|3,103,10,,9.7,,60.9,61.2,X
20|4,111,16,,14.4,,136.6,100.9,O
20|5,146,11,,7.5,,115.8,107.7,O
20|6,130,5,,3.8,,42.5,75.5,X
20|7,119,4,,3.4,,59.8,81.4,O
20|8,134,5,,3.7,,60.9,95.9,O
20|9,103,4,,3.9,,65.9,54.1,X
