bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-10|01,15475,1471,,9.5,,85.8,82.8,O
-10|02,125,12,,9.6,,82.8,76.5,X
-10|03,26049,2263,,8.7,,74.3,77.1,X
-10|04,11571,1026,,8.9,,81.0,78.0,X
-10|05,4175,340,,8.1,,75.2,76.7,X
-10|06,556,49,,8.8,,65.3,76.3,X
-10|07,3828,346,,9.0,,79.0,76.0,X
-10|11,58,8,,13.8,,31.8,73.9,X
-20|01,1280,89,,7.0,,61.7,70.7,X
-20|03,2115,150,,7.1,,94.5,79.4,X
-20|04,936,61,,6.5,,50.5,64.6,X
-20|05,303,24,,7.9,,79.7,85.2,O
-20|06,44,4,,9.1,,25.1,81.0,O
-20|07,304,14,,4.6,,48.3,52.9,X
-30|01,60,4,,6.7,,160.0,75.8,X
-30|03,103,4,,3.9,,22.5,36.4,X
-30|04,46,1,,2.2,,48.3,119.1,O
0|01,20843,1995,,9.6,,81.7,81.5,O
0|02,183,14,,7.7,,80.4,93.3,O
0|03,34888,3291,,9.4,,77.5,78.3,X
0|04,15822,1454,,9.2,,78.4,81.2,O
0|05,5663,500,,8.8,,67.7,73.7,X
0|06,708,43,,6.1,,45.8,70.9,X
0|07,5150,483,,9.4,,81.4,78.4,X
0|11,74,11,,14.9,,82.0,77.5,X
10|01,3203,264,,8.2,,69.8,83.7,O
10|02,32,5,,15.6,,56.8,111.0,O
10|03,5504,449,,8.2,,78.4,74.0,X
10|04,2292,171,,7.5,,69.2,76.2,X
10|05,827,64,,7.7,,72.0,77.2,X
10|06,104,4,,3.8,,59.7,99.6,O
10|07,779,45,,5.8,,40.4,84.6,O
20|01,350,27,,7.7,,56.0,75.0,X
20|03,614,45,,7.3,,98.2,93.8,O
20|04,276,17,,6.2,,100.6,62.5,X
20|05,98,7,,7.1,,185.2,140.0,O
20|07,103,13,,12.6,,103.8,102.3,O
30|01,47,5,,10.6,,276.8,78.7,X
30|03,64,3,,4.7,,25.5,116.4,O
