bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-10|1.0,5209,494,,9.5,,69.5,73.2,X
-10|10.0,2515,164,,6.5,,73.2,79.8,X
-10|11.0,2167,127,,5.9,,85.5,70.2,X
-10|12.0,1836,116,,6.3,,84.2,83.3,O
-10|13.0,1479,88,,5.9,,85.9,76.8,X
-10|14.0,1170,74,,6.3,,87.3,83.7,O
-10|15.0,889,60,,6.7,,120.5,88.9,O
-10|16.0,573,51,,8.9,,128.7,95.1,O
-10|17.0,92,5,,5.4,,75.2,40.2,X
-10|18.0,56,8,,14.3,,104.3,85.8,O
-10|2.0,5438,704,,12.9,,64.6,76.8,X
-10|3.0,5173,641,,12.4,,81.1,75.9,X
-10|4.0,4822,457,,9.5,,74.9,79.7,X
-10|5.0,4462,382,,8.6,,88.5,82.2,O
-10|6.0,4251,369,,8.7,,84.4,84.4,O
-10|7.0,3746,299,,8.0,,81.6,78.7,X
-10|8.0,3481,233,,6.7,,60.8,76.8,X
-10|9.0,3054,227,,7.4,,93.2,82.8,O
-20|1.0,528,34,,6.4,,86.1,71.2,X
-20|10.0,193,9,,4.7,,70.0,79.4,X
-20|11.0,177,6,,3.4,,121.5,103.3,O
-20|12.0,148,7,,4.7,,98.8,50.6,X
-20|13.0,120,5,,4.2,,31.6,43.4,X
-20|14.0,98,8,,8.2,,85.4,76.3,X
-20|15.0,75,2,,2.7,,27.6,51.7,X
-20|16.0,48,4,,8.3,,254.9,118.5,O
-20|2.0,427,43,,10.1,,64.1,74.5,X
-20|3.0,381,35,,9.2,,78.1,74.7,X
-20|4.0,347,28,,8.1,,59.8,61.8,X
-20|5.0,332,22,,6.6,,82.2,88.4,O
-20|6.0,307,22,,7.2,,67.3,64.0,X
-20|7.0,281,18,,6.4,,124.1,93.9,O
-20|8.0,225,11,,4.9,,49.3,51.2,X
-20|9.0,213,9,,4.2,,86.5,63.3,X
-30|1.0,43,2,,4.7,,24.2,117.3,O
0|1.0,7335,798,,10.9,,80.6,74.9,X
0|10.0,3554,227,,6.4,,79.6,83.3,O
0|11.0,2938,195,,6.6,,74.6,79.7,X
0|12.0,2391,146,,6.1,,82.2,80.6,O
0|13.0,2068,141,,6.8,,87.4,73.2,X
0|14.0,1658,107,,6.5,,84.2,81.4,O
0|15.0,1153,60,,5.2,,55.2,98.5,O
0|16.0,778,41,,5.3,,53.7,78.2,X
0|17.0,117,7,,6.0,,77.7,75.8,X
0|18.0,88,11,,12.5,,113.3,101.5,O
0|2.0,7673,1073,,14.0,,67.9,72.1,X
0|3.0,7388,914,,12.4,,75.7,78.9,X
0|4.0,7068,709,,10.0,,78.6,80.1,O
0|5.0,6736,626,,9.3,,85.5,84.3,O
0|6.0,5880,523,,8.9,,83.0,81.8,O
0|7.0,5365,394,,7.3,,78.3,81.3,O
0|8.0,4626,314,,6.8,,76.2,79.7,X
0|9.0,4066,268,,6.6,,78.7,78.4,X
10|1.0,1374,136,,9.9,,65.9,75.5,X
10|10.0,519,36,,6.9,,101.6,95.2,O
10|11.0,411,26,,6.3,,60.5,72.3,X
10|12.0,362,17,,4.7,,75.5,70.9,X
10|13.0,305,15,,4.9,,62.8,86.7,O
10|14.0,234,8,,3.4,,62.3,102.7,O
10|15.0,194,7,,3.6,,39.7,56.3,X
10|16.0,132,4,,3.0,,14.4,76.5,X
10|2.0,1191,136,,11.4,,74.5,73.6,X
10|3.0,1147,99,,8.6,,67.4,72.9,X
10|4.0,1043,81,,7.8,,94.4,85.3,O
10|5.0,913,56,,6.1,,70.7,86.1,O
10|6.0,819,60,,7.3,,72.3,88.4,O
10|7.0,776,47,,6.1,,49.5,74.4,X
10|8.0,669,48,,7.2,,73.5,64.1,X
10|9.0,542,33,,6.1,,66.2,82.1,O
20|1.0,161,12,,7.5,,87.7,93.8,O
20|10.0,51,4,,7.8,,43.5,99.7,O
20|11.0,49,3,,6.1,,290.6,174.0,O
20|13.0,31,2,,6.5,,101.0,51.2,X
20|14.0,32,2,,6.2,,240.8,86.9,O
20|2.0,138,12,,8.7,,85.5,81.1,O
20|3.0,131,9,,6.9,,54.8,99.3,O
20|4.0,103,9,,8.7,,133.1,78.5,X
20|5.0,97,6,,6.2,,87.5,107.2,O
20|6.0,86,5,,5.8,,131.0,65.8,X
20|7.0,66,5,,7.6,,64.5,82.1,O
20|8.0,80,9,,11.2,,111.1,83.8,O
20|9.0,56,0,,0.0,,0.0,33.7,X
