bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-0.1,46,3,,6.5,,106.0,91.4,O
-0.2,76,2,,2.6,,111.2,75.3,X
-0.3,105,8,,7.6,,180.1,97.3,O
-0.4,73,2,,2.7,,41.9,56.2,X
-0.5,76,7,,9.2,,103.4,78.7,X
-0.6,77,4,,5.2,,121.3,119.4,O
-0.7,69,3,,4.3,,71.6,76.9,X
-0.8,66,2,,3.0,,28.7,68.6,X
-0.9,58,2,,3.4,,68.6,89.9,O
-1.0,59,4,,6.8,,105.3,55.1,X
-1.1,74,3,,4.1,,52.3,104.9,O
-1.2,52,1,,1.9,,13.6,41.8,X
-1.3,154,7,,4.5,,38.4,81.3,O
-1.4,65,3,,4.6,,90.7,86.8,O
-1.5,49,2,,4.1,,42.8,62.4,X
-1.6,47,2,,4.3,,65.4,84.1,O
-1.7,158,9,,5.7,,122.6,82.9,O
-1.8,61,2,,3.3,,47.2,20.1,X
-1.9,91,7,,7.7,,226.5,90.5,O
-10.0,2139,63,,2.9,,79.5,73.0,X
-10.1,79,2,,2.5,,172.6,114.6,O
-10.2,345,3,,0.9,,38.6,71.0,X
-10.3,153,2,,1.3,,23.9,108.7,O
-10.4,216,3,,1.4,,84.9,61.6,X
-10.5,75,2,,2.7,,103.7,126.0,O
-10.6,46,0,,0.0,,0.0,39.0,X
-10.7,50,2,,4.0,,72.2,89.6,O
-10.8,735,14,,1.9,,48.9,100.5,O
-10.9,87,2,,2.3,,52.5,40.4,X
-11.0,42,1,,2.4,,122.4,100.2,O
-11.3,470,8,,1.7,,39.7,81.5,O
-11.4,242,2,,0.8,,56.8,87.2,O
-11.5,271,7,,2.6,,166.3,108.9,O
-11.7,80,0,,0.0,,0.0,29.6,X
-11.8,153,4,,2.6,,162.2,58.9,X
-11.9,159,3,,1.9,,85.6,65.8,X
-12.1,246,9,,3.7,,99.9,80.8,O
-12.3,169,3,,1.8,,62.5,86.8,O
-12.4,93,1,,1.1,,83.2,69.6,X
-12.5,487,10,,2.1,,61.5,54.9,X
-12.6,68,3,,4.4,,222.7,85.8,O
-12.7,31,1,,3.2,,134.8,101.3,O
-12.9,69,0,,0.0,,0.0,18.1,X
-13.4,68,0,,0.0,,0.0,73.6,X
-13.6,30,0,,0.0,,0.0,88.0,O
-2.0,137,1,,0.7,,22.9,81.9,O
-2.1,78,6,,7.7,,233.5,105.6,O
-2.2,80,2,,2.5,,45.6,65.6,X
-2.3,84,2,,2.4,,24.9,78.0,X
-2.4,98,3,,3.1,,67.4,58.0,X
-2.5,72,2,,2.8,,68.0,68.4,X
-2.6,61,2,,3.3,,46.4,106.4,O
-2.7,120,12,,10.0,,194.6,87.3,O
-2.8,66,3,,4.5,,231.2,101.0,O
-2.9,154,10,,6.5,,95.8,63.5,X
-3.0,45,3,,6.7,,214.2,143.8,O
-3.1,40,0,,0.0,,0.0,70.3,X
-3.2,92,4,,4.3,,196.3,73.7,X
-3.3,130,3,,2.3,,34.7,82.1,O
-3.4,81,4,,4.9,,110.2,32.5,X
-3.5,122,3,,2.5,,110.7,80.0,O
-3.6,62,1,,1.6,,92.3,72.6,X
-3.7,44,0,,0.0,,0.0,48.8,X
-3.8,124,0,,0.0,,0.0,99.6,O
-3.9,51,4,,7.8,,138.6,141.8,O
-4.0,35,0,,0.0,,0.0,45.3,X
-4.1,49,2,,4.1,,56.2,50.3,X
-4.2,90,8,,8.9,,210.4,86.1,O
-4.3,57,0,,0.0,,0.0,80.9,O
-4.4,60,2,,3.3,,61.2,95.7,O
-4.5,73,2,,2.7,,93.2,95.8,O
-4.6,60,5,,8.3,,257.5,154.0,O
-4.7,207,4,,1.9,,96.1,122.2,O
-4.8,77,1,,1.3,,19.0,27.9,X
-4.9,46,0,,0.0,,0.0,86.6,O
-5.0,130,3,,2.3,,28.4,116.1,O
-5.1,38,2,,5.3,,269.3,118.9,O
-5.2,64,4,,6.2,,78.3,68.2,X
-5.3,65,3,,4.6,,110.7,61.6,X
-5.4,54,0,,0.0,,0.0,36.5,X
-5.5,234,3,,1.3,,46.8,68.5,X
-5.6,43,2,,4.7,,162.4,144.9,O
-5.7,69,1,,1.4,,21.7,26.6,X
-5.8,92,3,,3.3,,125.3,93.6,O
-5.9,78,2,,2.6,,33.8,60.2,X
