bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|01,1163,319,,27.4,,82.2,83.8,O
1|03,2099,504,,24.0,,77.0,77.7,X
1|04,827,194,,23.5,,78.3,80.3,O
1|05,264,55,,20.8,,85.6,76.6,X
1|06,31,6,,19.4,,66.5,55.0,X
1|07,277,66,,23.8,,79.0,84.6,O
2|01,8640,1359,,15.7,,84.6,81.9,O
2|02,70,13,,18.6,,164.1,105.6,O
2|03,14662,2243,,15.3,,78.4,81.1,O
2|04,6523,1007,,15.4,,81.3,82.0,O
2|05,2331,330,,14.2,,70.2,75.6,X
2|06,296,43,,14.5,,92.5,85.7,O
2|07,2274,345,,15.2,,79.6,85.1,O
2|11,42,15,,35.7,,134.8,126.2,O
3|01,33906,2450,,7.2,,82.3,81.8,O
3|02,302,22,,7.3,,71.7,85.0,O
3|03,56650,3856,,6.8,,77.7,77.0,X
3|04,25295,1676,,6.6,,77.9,78.3,X
3|05,9013,598,,6.6,,72.6,76.4,X
3|06,1149,57,,5.0,,38.2,71.9,X
3|07,8233,552,,6.7,,74.6,74.6,X
3|11,113,8,,7.1,,34.6,68.9,X
4|01,1056,25,,2.4,,45.2,63.0,X
4|03,1491,34,,2.3,,74.5,67.3,X
4|04,691,20,,2.9,,65.6,82.7,O
4|05,239,13,,5.4,,84.2,51.2,X
4|06,50,3,,6.0,,189.5,87.8,O
4|07,245,10,,4.1,,121.3,68.5,X
