bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|0,1003,254,,25.3,,82.3,82.4,O
A|1,222,36,,16.2,,59.1,83.0,O
A|10,435,36,,8.3,,101.9,82.2,O
A|11,396,24,,6.1,,91.4,91.7,O
A|12,379,21,,5.5,,59.6,68.3,X
A|13,335,13,,3.9,,54.9,52.2,X
A|14,316,20,,6.3,,155.2,84.9,O
A|15,278,14,,5.0,,92.0,64.1,X
A|16,258,11,,4.3,,114.5,104.6,O
A|17,216,10,,4.6,,73.0,71.2,X
A|18,174,6,,3.4,,195.7,119.0,O
A|19,149,12,,8.1,,90.9,125.7,O
A|2,319,58,,18.2,,83.1,91.0,O
A|20,136,5,,3.7,,116.0,72.3,X
A|21,147,7,,4.8,,112.1,59.6,X
A|22,113,1,,0.9,,2.0,63.2,X
A|23,95,6,,6.3,,166.5,105.3,O
A|24,86,2,,2.3,,21.0,51.6,X
A|25,75,4,,5.3,,75.2,66.1,X
A|26,48,0,,0.0,,0.0,88.5,O
A|27,47,1,,2.1,,28.2,52.0,X
A|28,42,3,,7.1,,294.2,156.1,O
A|29,41,0,,0.0,,0.0,59.6,X
A|3,329,48,,14.6,,91.5,90.4,O
A|31,37,0,,0.0,,0.0,86.3,O
A|4,383,51,,13.3,,101.5,75.5,X
A|5,396,46,,11.6,,91.6,86.2,O
A|6,560,60,,10.7,,70.3,80.5,O
A|7,450,43,,9.6,,83.2,93.4,O
A|8,469,47,,10.0,,81.7,72.5,X
A|9,425,35,,8.2,,57.1,91.7,O
B|0,640,170,,26.6,,84.4,84.2,O
B|1,180,31,,17.2,,88.6,79.7,X
B|10,345,20,,5.8,,76.0,77.7,X
B|11,352,20,,5.7,,80.4,88.5,O
B|12,273,13,,4.8,,71.8,83.0,O
B|13,277,13,,4.7,,98.3,69.6,X
B|14,264,11,,4.2,,116.1,80.8,O
B|15,261,6,,2.3,,39.8,80.2,O
B|16,171,5,,2.9,,86.9,62.4,X
B|17,186,4,,2.2,,133.4,68.8,X
B|18,159,5,,3.1,,43.4,58.2,X
B|19,147,8,,5.4,,191.0,50.0,X
B|2,245,45,,18.4,,135.6,82.5,O
B|20,147,4,,2.7,,68.8,61.1,X
B|21,109,6,,5.5,,66.4,66.0,X
B|22,98,0,,0.0,,0.0,40.3,X
B|23,77,1,,1.3,,28.5,102.5,O
B|24,65,3,,4.6,,54.1,70.9,X
B|25,56,5,,8.9,,136.1,89.3,O
B|26,39,2,,5.1,,100.6,261.1,O
B|27,42,0,,0.0,,0.0,33.1,X
B|28,42,1,,2.4,,20.3,26.1,X
B|29,34,0,,0.0,,0.0,20.0,X
B|3,240,31,,12.9,,65.3,84.5,O
B|4,254,29,,11.4,,81.3,91.6,O
B|5,301,37,,12.3,,73.2,84.3,O
B|6,381,43,,11.3,,148.5,103.2,O
B|7,339,24,,7.1,,60.4,77.5,X
B|8,346,30,,8.7,,70.4,89.2,O
