bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|1.0,835,138,,16.5,,73.8,82.6,O
A|2.0,889,186,,20.9,,105.4,83.4,O
A|3.0,787,133,,16.9,,75.8,71.4,X
A|4.0,2236,190,,8.5,,88.1,84.7,O
A|5.0,1733,121,,7.0,,81.6,80.6,O
A|6.0,1423,83,,5.8,,85.1,83.0,O
A|7.0,450,21,,4.7,,139.9,101.2,O
A|8.0,142,6,,4.2,,18.9,48.8,X
A|9.0,32,0,,0.0,,0.0,33.7,X
B|1.0,545,98,,18.0,,93.1,85.4,O
B|2.0,548,95,,17.3,,91.7,79.7,X
B|3.0,569,89,,15.6,,77.0,84.9,O
B|4.0,1779,141,,7.9,,95.6,80.3,O
B|5.0,1426,89,,6.2,,97.1,82.3,O
B|6.0,1188,55,,4.6,,65.3,66.3,X
B|7.0,401,24,,6.0,,72.7,78.3,X
B|8.0,113,5,,4.4,,70.1,132.6,O
C|1.0,656,86,,13.1,,54.2,78.4,X
C|2.0,631,94,,14.9,,73.6,89.4,O
C|3.0,689,76,,11.0,,52.8,76.2,X
C|4.0,2005,108,,5.4,,66.4,78.2,X
C|5.0,1900,86,,4.5,,58.0,65.7,X
C|6.0,1690,67,,4.0,,78.5,84.4,O
C|7.0,624,21,,3.4,,65.6,67.7,X
C|8.0,212,5,,2.4,,50.4,66.2,X
C|9.0,34,1,,2.9,,32.1,96.1,O
D|1.0,233,16,,6.9,,23.6,57.2,X
D|2.0,246,35,,14.2,,69.0,73.8,X
D|3.0,266,31,,11.7,,46.8,61.4,X
D|4.0,1151,42,,3.6,,42.1,64.4,X
D|5.0,1003,41,,4.1,,86.4,78.7,X
D|6.0,1001,27,,2.7,,41.8,64.9,X
D|7.0,347,8,,2.3,,64.7,77.7,X
D|8.0,103,1,,1.0,,22.1,67.9,X
S|1.0,772,151,,19.6,,88.3,81.9,O
S|2.0,708,163,,23.0,,84.6,89.7,O
S|3.0,736,176,,23.9,,92.9,82.6,O
S|4.0,1702,161,,9.5,,103.4,88.0,O
S|5.0,1123,88,,7.8,,72.9,75.0,X
S|6.0,895,63,,7.0,,112.3,78.7,X
S|7.0,286,14,,4.9,,63.5,84.2,O
S|8.0,79,3,,3.8,,116.8,77.0,X
