bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|1,795,62,,7.8,,83.8,97.1,O
A|2,779,85,,10.9,,110.1,86.2,O
A|3,721,93,,12.9,,76.8,91.2,O
A|4,751,86,,11.5,,92.4,85.7,O
A|5,713,85,,11.9,,111.0,84.1,O
A|6,649,71,,10.9,,77.8,80.9,O
A|7,625,86,,13.8,,102.9,81.4,O
A|8,608,47,,7.7,,43.8,72.8,X
B|1,547,52,,9.5,,112.0,79.4,X
B|2,548,55,,10.0,,65.3,81.8,O
B|3,549,63,,11.5,,80.8,81.0,O
B|4,499,55,,11.0,,84.0,76.2,X
B|5,530,56,,10.6,,88.2,76.6,X
B|6,518,54,,10.4,,97.6,84.7,O
B|7,470,42,,8.9,,94.1,86.7,O
B|8,442,40,,9.0,,92.1,76.3,X
C|1,716,43,,6.0,,43.0,77.0,X
C|2,706,56,,7.9,,59.2,68.1,X
C|3,699,51,,7.3,,45.2,64.5,X
C|4,678,40,,5.9,,65.7,84.5,O
C|5,667,52,,7.8,,75.1,85.1,O
C|6,634,48,,7.6,,53.4,72.2,X
C|7,636,53,,8.3,,89.3,76.0,X
C|8,585,35,,6.0,,61.1,81.9,O
D|1,298,21,,7.0,,69.2,64.1,X
D|2,344,19,,5.5,,60.9,74.7,X
D|3,318,25,,7.9,,105.5,88.1,O
D|4,349,24,,6.9,,45.0,61.3,X
D|5,329,15,,4.6,,108.2,83.8,O
D|6,341,15,,4.4,,30.0,92.3,O
D|7,305,15,,4.9,,69.6,60.1,X
D|8,303,24,,7.9,,76.4,77.5,X
S|1,619,84,,13.6,,98.1,85.3,O
S|2,533,84,,15.8,,84.7,85.9,O
S|3,582,88,,15.1,,90.5,83.1,O
S|4,540,79,,14.6,,92.1,79.0,X
S|5,502,66,,13.1,,60.0,81.7,O
S|6,526,69,,13.1,,75.7,87.2,O
S|7,496,61,,12.3,,95.7,86.5,O
S|8,449,54,,12.0,,105.4,71.4,X
