bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
04|440,60,5,,8.3,,35.4,40.9,X
04|460,136,8,,5.9,,46.1,70.5,X
04|480,139,10,,7.2,,48.1,63.3,X
04|500,82,7,,8.5,,68.6,63.1,X
06|440,68,3,,4.4,,23.7,43.6,X
06|460,124,9,,7.3,,142.0,88.5,O
06|480,127,4,,3.1,,68.6,77.1,X
06|500,69,1,,1.4,,8.8,50.3,X
06|520,34,0,,0.0,,0.0,13.5,X
09|440,50,4,,8.0,,399.2,159.2,O
09|460,140,8,,5.7,,79.9,55.8,X
09|480,166,10,,6.0,,101.5,77.6,X
09|500,114,7,,6.1,,106.6,79.7,X
09|520,30,1,,3.3,,56.9,57.1,X
12|420,54,0,,0.0,,0.0,46.9,X
12|440,188,8,,4.3,,77.8,87.9,O
12|460,381,18,,4.7,,107.1,104.7,O
12|480,344,20,,5.8,,96.5,76.7,X
12|500,209,17,,8.1,,92.5,65.3,X
12|520,88,4,,4.5,,23.6,81.9,O
15|400,105,2,,1.9,,36.3,39.3,X
15|420,431,18,,4.2,,65.2,54.0,X
15|440,1054,45,,4.3,,66.1,72.4,X
15|460,1354,74,,5.5,,62.5,64.1,X
15|480,1082,84,,7.8,,90.7,71.4,X
15|500,526,55,,10.5,,89.0,82.6,O
15|520,204,24,,11.8,,138.3,92.3,O
15|540,36,10,,27.8,,212.6,90.3,O
17|440,54,13,,24.1,,68.8,80.9,O
17|460,71,25,,35.2,,79.3,94.0,O
17|480,48,16,,33.3,,76.1,56.9,X
18|380,90,0,,0.0,,0.0,18.9,X
18|400,608,16,,2.6,,84.5,56.8,X
18|420,1947,85,,4.4,,68.7,64.9,X
18|440,3444,200,,5.8,,69.6,75.1,X
18|460,3787,290,,7.7,,87.1,82.1,O
18|480,2575,264,,10.3,,97.5,87.9,O
18|500,1234,118,,9.6,,73.8,81.5,O
18|520,370,44,,11.9,,52.4,75.6,X
18|540,85,11,,12.9,,95.2,106.4,O
22|480,61,6,,9.8,,62.6,70.0,X
23|480,64,8,,12.5,,76.6,91.3,O
23|500,62,9,,14.5,,95.9,77.8,X
23|520,59,7,,11.9,,234.0,90.0,O
23|540,30,1,,3.3,,9.4,24.8,X
24|440,70,6,,8.6,,75.1,87.3,O
24|460,281,30,,10.7,,49.7,89.9,O
24|480,499,60,,12.0,,75.3,77.9,X
24|500,473,52,,11.0,,62.6,72.4,X
24|520,264,31,,11.7,,78.0,81.6,O
24|540,59,13,,22.0,,149.7,73.5,X
25|460,82,9,,11.0,,33.0,70.1,X
25|480,147,31,,21.1,,144.4,101.0,O
25|500,137,14,,10.2,,114.0,77.9,X
25|520,68,16,,23.5,,171.6,87.2,O
26|420,31,2,,6.5,,25.6,23.2,X
26|440,273,21,,7.7,,138.2,89.3,O
26|460,932,65,,7.0,,80.3,74.6,X
26|480,1423,97,,6.8,,75.7,82.9,O
26|500,1340,97,,7.2,,66.6,80.3,O
26|520,586,51,,8.7,,102.3,88.5,O
26|540,173,17,,9.8,,107.7,66.8,X
28|440,76,10,,13.2,,45.9,66.3,X
28|460,184,22,,12.0,,64.8,68.6,X
28|480,252,39,,15.5,,55.3,69.0,X
28|500,200,30,,15.0,,83.0,72.2,X
28|520,75,13,,17.3,,77.2,77.9,X
29|420,155,11,,7.1,,94.4,64.0,X
29|440,760,39,,5.1,,56.5,76.9,X
29|460,2098,154,,7.3,,65.7,76.8,X
29|480,2614,214,,8.2,,88.2,80.1,O
29|500,2219,181,,8.2,,75.2,79.3,X
29|520,918,80,,8.7,,73.4,77.9,X
29|540,239,22,,9.2,,134.5,73.1,X
29|560,58,7,,12.1,,164.3,91.6,O
31|420,53,7,,13.2,,45.2,50.6,X
31|440,201,27,,13.4,,68.4,76.9,X
31|460,494,83,,16.8,,71.3,73.7,X
31|480,612,116,,19.0,,75.3,76.3,X
31|500,443,101,,22.8,,87.2,81.0,O
31|520,183,32,,17.5,,82.7,77.6,X
31|540,39,7,,17.9,,48.0,81.6,O
32|400,80,3,,3.8,,33.6,85.4,O
32|420,674,47,,7.0,,87.5,93.7,O
32|440,2562,152,,5.9,,75.1,72.3,X
32|460,5566,416,,7.5,,74.2,74.9,X
32|480,6288,452,,7.2,,79.7,77.7,X
32|500,4373,346,,7.9,,71.8,76.5,X
32|520,1970,165,,8.4,,59.5,77.4,X
32|540,447,49,,11.0,,150.8,111.4,O
32|560,81,12,,14.8,,118.5,90.8,O
34|420,243,56,,23.0,,94.4,84.4,O
34|440,694,138,,19.9,,72.4,77.3,X
34|460,1339,256,,19.1,,62.5,78.0,X
34|480,1382,282,,20.4,,70.7,78.4,X
34|500,895,193,,21.6,,65.9,76.9,X
34|520,360,77,,21.4,,65.8,78.0,X
34|540,70,14,,20.0,,31.9,80.3,O
35|380,36,1,,2.8,,19.7,136.1,O
35|400,318,18,,5.7,,64.1,71.3,X
35|420,2392,134,,5.6,,75.0,84.9,O
35|440,7380,487,,6.6,,71.2,74.6,X
35|460,12516,956,,7.6,,85.0,77.5,X
35|480,12286,1027,,8.4,,82.2,82.0,O
35|500,7338,602,,8.2,,78.2,78.4,X
35|520,2872,298,,10.4,,87.9,87.4,O
35|540,649,53,,8.2,,94.9,76.3,X
35|560,131,9,,6.9,,31.6,47.6,X
37|400,106,16,,15.1,,64.5,64.1,X
37|420,606,106,,17.5,,56.2,76.4,X
37|440,1404,309,,22.0,,63.6,80.2,O
37|460,1926,470,,24.4,,71.9,81.7,O
37|480,1627,429,,26.4,,74.5,80.2,O
37|500,888,265,,29.8,,82.5,86.3,O
37|520,305,101,,33.1,,85.4,85.9,O
37|540,74,18,,24.3,,68.5,60.2,X
38|380,126,4,,3.2,,140.0,92.9,O
38|400,998,46,,4.6,,70.3,77.3,X
38|420,4248,248,,5.8,,63.5,78.7,X
