bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
49.0|4.0,39,4,,10.3,,91.7,98.0,O
50.0|4.0,91,7,,7.7,,86.4,90.9,O
50.0|5.0,69,3,,4.3,,44.3,93.3,O
50.0|6.0,65,1,,1.5,,8.1,63.3,X
51.0|1.0,100,14,,14.0,,65.1,80.1,O
51.0|2.0,94,16,,17.0,,75.9,67.4,X
51.0|3.0,100,13,,13.0,,48.9,61.2,X
51.0|4.0,304,11,,3.6,,30.0,65.1,X
51.0|5.0,301,16,,5.3,,45.7,69.5,X
51.0|6.0,312,12,,3.8,,82.4,80.8,O
51.0|7.0,85,0,,0.0,,0.0,67.0,X
52.0|1.0,195,29,,14.9,,92.3,64.2,X
52.0|2.0,191,32,,16.8,,91.9,93.9,O
52.0|3.0,199,27,,13.6,,70.3,80.2,O
52.0|4.0,740,58,,7.8,,85.0,73.6,X
52.0|5.0,522,44,,8.4,,96.2,77.8,X
52.0|6.0,466,26,,5.6,,90.0,80.2,O
52.0|7.0,159,11,,6.9,,158.1,98.2,O
52.0|8.0,36,2,,5.6,,121.3,68.4,X
53.0|1.0,224,28,,12.5,,56.3,60.5,X
53.0|2.0,241,38,,15.8,,78.0,74.0,X
53.0|3.0,235,45,,19.1,,100.5,92.7,O
53.0|4.0,783,67,,8.6,,116.1,97.6,O
53.0|5.0,648,31,,4.8,,53.3,83.4,O
53.0|6.0,531,25,,4.7,,78.5,83.7,O
53.0|7.0,164,6,,3.7,,164.2,109.1,O
53.0|8.0,35,0,,0.0,,0.0,83.3,O
54.0|1.0,682,106,,15.5,,62.9,85.9,O
54.0|2.0,707,154,,21.8,,90.5,90.6,O
54.0|3.0,698,132,,18.9,,83.3,80.4,O
54.0|4.0,2105,156,,7.4,,83.2,88.9,O
54.0|5.0,1521,79,,5.2,,60.7,75.5,X
54.0|6.0,1415,62,,4.4,,70.5,76.0,X
54.0|7.0,598,17,,2.8,,44.5,69.8,X
54.0|8.0,161,4,,2.5,,28.6,67.2,X
54.0|9.0,33,0,,0.0,,0.0,55.2,X
55.0|1.0,568,107,,18.8,,83.0,74.8,X
55.0|2.0,536,101,,18.8,,89.4,79.6,X
55.0|3.0,584,83,,14.2,,59.9,68.0,X
55.0|4.0,1525,123,,8.1,,67.9,75.3,X
55.0|5.0,1354,80,,5.9,,99.8,74.9,X
55.0|6.0,1143,55,,4.8,,89.3,69.2,X
55.0|7.0,342,15,,4.4,,73.0,82.1,O
55.0|8.0,111,1,,0.9,,18.8,79.5,X
56.0|1.0,645,114,,17.7,,80.0,83.1,O
56.0|2.0,618,110,,17.8,,106.8,91.2,O
56.0|3.0,646,108,,16.7,,66.2,82.9,O
56.0|4.0,1614,104,,6.4,,79.9,73.3,X
56.0|5.0,1361,93,,6.8,,85.1,72.3,X
56.0|6.0,1101,61,,5.5,,78.9,76.1,X
56.0|7.0,352,22,,6.2,,109.2,82.0,O
56.0|8.0,120,7,,5.8,,94.5,86.3,O
57.0|1.0,455,69,,15.2,,74.1,89.4,O
57.0|2.0,476,101,,21.2,,79.1,81.4,O
57.0|3.0,444,76,,17.1,,76.1,69.6,X
57.0|4.0,1263,89,,7.0,,83.7,77.6,X
57.0|5.0,1046,56,,5.4,,52.6,78.2,X
57.0|6.0,946,43,,4.5,,66.4,81.2,O
57.0|7.0,352,12,,3.4,,66.6,81.6,O
57.0|8.0,142,4,,2.8,,38.4,99.1,O
58.0|1.0,120,16,,13.3,,67.6,82.6,O
58.0|2.0,108,11,,10.2,,73.6,82.6,O
58.0|3.0,108,16,,14.8,,80.8,82.8,O
58.0|4.0,397,22,,5.5,,96.0,85.7,O
58.0|5.0,329,22,,6.7,,132.9,79.7,X
58.0|6.0,193,8,,4.1,,71.1,79.5,X
