bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|0,118,23,,19.5,,85.1,68.7,X
1.0|1,605,132,,21.8,,84.3,83.4,O
1.0|2,1194,225,,18.8,,78.2,88.3,O
1.0|3,809,141,,17.4,,82.7,84.8,O
1.0|4,294,44,,15.0,,168.5,103.9,O
10.0|0,106,5,,4.7,,76.7,158.0,O
10.0|1,225,19,,8.4,,109.9,80.1,O
10.0|2,615,43,,7.0,,72.4,77.5,X
10.0|3,743,40,,5.4,,111.2,89.0,O
10.0|4,492,19,,3.9,,84.7,73.8,X
11.0|0,104,4,,3.8,,16.2,34.5,X
11.0|1,215,14,,6.5,,54.1,69.7,X
11.0|2,521,37,,7.1,,116.8,85.5,O
11.0|3,736,37,,5.0,,75.1,85.4,O
11.0|4,499,22,,4.4,,68.7,91.4,O
12.0|0,108,4,,3.7,,48.6,55.0,X
12.0|1,175,8,,4.6,,69.7,114.6,O
12.0|2,459,26,,5.7,,95.6,66.9,X
12.0|3,591,30,,5.1,,99.6,72.3,X
12.0|4,445,13,,2.9,,68.4,58.0,X
13.0|0,108,4,,3.7,,73.5,72.1,X
13.0|1,157,4,,2.5,,18.3,92.1,O
13.0|2,370,29,,7.8,,125.2,103.4,O
13.0|3,479,26,,5.4,,74.5,82.4,O
13.0|4,406,12,,3.0,,72.3,71.4,X
14.0|0,105,4,,3.8,,17.7,42.2,X
14.0|1,118,9,,7.6,,163.0,75.5,X
14.0|2,286,10,,3.5,,36.8,51.8,X
14.0|3,402,12,,3.0,,52.3,66.7,X
14.0|4,321,11,,3.4,,55.6,52.6,X
15.0|0,68,0,,0.0,,0.0,29.5,X
15.0|1,98,1,,1.0,,9.8,57.9,X
15.0|2,178,15,,8.4,,310.6,122.7,O
15.0|3,271,12,,4.4,,78.6,72.3,X
15.0|4,218,8,,3.7,,43.1,65.4,X
16.0|2,50,2,,4.0,,27.5,111.1,O
16.0|3,74,1,,1.4,,135.7,74.7,X
16.0|4,61,1,,1.6,,39.9,50.2,X
2.0|0,108,11,,10.2,,105.6,77.3,X
2.0|1,478,81,,16.9,,67.5,72.1,X
2.0|2,1118,181,,16.2,,107.3,89.6,O
2.0|3,824,109,,13.2,,75.8,75.2,X
2.0|4,411,35,,8.5,,47.8,63.8,X
3.0|0,120,16,,13.3,,57.9,69.5,X
3.0|1,409,65,,15.9,,84.0,69.9,X
3.0|2,978,124,,12.7,,74.6,79.9,X
3.0|3,915,88,,9.6,,90.5,83.2,O
3.0|4,448,38,,8.5,,93.3,86.5,O
4.0|0,109,12,,11.0,,33.0,61.5,X
4.0|1,426,55,,12.9,,55.0,75.2,X
4.0|2,951,94,,9.9,,89.4,81.3,O
4.0|3,908,83,,9.1,,68.2,76.0,X
4.0|4,427,36,,8.4,,110.2,90.0,O
5.0|0,111,10,,9.0,,67.8,70.7,X
5.0|1,383,48,,12.5,,81.6,73.0,X
5.0|2,878,104,,11.8,,96.5,93.5,O
5.0|3,854,72,,8.4,,59.7,73.3,X
5.0|4,502,32,,6.4,,61.3,65.6,X
6.0|0,109,10,,9.2,,136.9,71.9,X
6.0|1,344,41,,11.9,,101.3,95.6,O
6.0|2,830,70,,8.4,,62.0,66.1,X
6.0|3,919,55,,6.0,,48.9,73.6,X
6.0|4,461,26,,5.6,,39.8,72.7,X
7.0|0,96,6,,6.2,,51.8,74.1,X
7.0|1,342,30,,8.8,,47.7,65.7,X
7.0|2,745,68,,9.1,,72.5,89.9,O
7.0|3,889,41,,4.6,,48.7,74.6,X
7.0|4,508,27,,5.3,,49.3,72.8,X
8.0|0,127,8,,6.3,,108.5,60.4,X
8.0|1,318,33,,10.4,,106.5,73.6,X
8.0|2,711,46,,6.5,,58.8,72.9,X
8.0|3,815,48,,5.9,,73.3,91.5,O
8.0|4,521,23,,4.4,,53.2,76.8,X
9.0|0,123,6,,4.9,,62.3,48.0,X
9.0|1,263,22,,8.4,,88.8,72.1,X
9.0|2,687,57,,8.3,,126.9,84.9,O
9.0|3,838,54,,6.4,,74.6,76.7,X
9.0|4,490,27,,5.5,,79.1,70.4,X
