bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|01,427,99,,23.2,,83.6,81.1,O
1.0|02,560,117,,20.9,,68.9,81.3,O
1.0|03,378,77,,20.4,,78.3,90.3,O
1.0|04,289,58,,20.1,,91.2,96.3,O
1.0|05,228,33,,14.5,,72.7,98.7,O
1.0|06,201,30,,14.9,,68.1,77.6,X
1.0|07,160,32,,20.0,,149.6,105.7,O
1.0|08,145,26,,17.9,,180.8,90.7,O
1.0|09,118,15,,12.7,,40.8,77.2,X
1.0|10,97,16,,16.5,,152.6,99.9,O
1.0|11,90,10,,11.1,,65.2,83.1,O
1.0|12,72,11,,15.3,,78.7,54.8,X
1.0|13,56,7,,12.5,,80.0,105.6,O
1.0|14,31,4,,12.9,,325.9,116.3,O
10.0|01,158,12,,7.6,,35.6,45.6,X
10.0|02,263,24,,9.1,,78.1,90.5,O
10.0|03,192,15,,7.8,,141.3,81.8,O
10.0|04,184,19,,10.3,,173.7,72.6,X
10.0|05,159,5,,3.1,,79.5,122.2,O
10.0|06,167,8,,4.8,,95.4,90.4,O
10.0|07,167,9,,5.4,,163.1,96.0,O
10.0|08,117,6,,5.1,,18.2,77.8,X
10.0|09,141,8,,5.7,,58.4,65.8,X
10.0|10,119,4,,3.4,,59.8,91.0,O
10.0|11,103,3,,2.9,,78.6,96.9,O
10.0|12,98,2,,2.0,,112.7,53.6,X
10.0|13,86,1,,1.2,,15.8,55.8,X
10.0|14,50,1,,2.0,,4.6,39.5,X
10.0|15,32,3,,9.4,,365.4,132.7,O
11.0|01,157,9,,5.7,,34.0,64.7,X
11.0|02,190,15,,7.9,,135.6,79.0,X
11.0|03,136,8,,5.9,,37.4,37.3,X
11.0|04,192,12,,6.2,,44.0,86.5,O
11.0|05,164,6,,3.7,,93.1,128.7,O
11.0|06,149,9,,6.0,,109.0,55.8,X
11.0|07,151,10,,6.6,,114.6,75.0,X
11.0|08,141,8,,5.7,,56.2,101.3,O
11.0|09,130,6,,4.6,,142.5,127.6,O
11.0|10,117,6,,5.1,,95.2,60.4,X
11.0|11,118,6,,5.1,,68.7,138.3,O
11.0|12,104,3,,2.9,,46.4,102.7,O
11.0|13,68,7,,10.3,,129.1,108.8,O
11.0|14,65,2,,3.1,,51.7,58.8,X
11.0|15,51,1,,2.0,,15.6,16.7,X
12.0|01,132,5,,3.8,,60.4,86.6,O
12.0|02,156,14,,9.0,,195.0,107.3,O
12.0|03,173,8,,4.6,,40.1,59.1,X
12.0|04,128,8,,6.2,,36.6,104.7,O
12.0|05,139,8,,5.8,,176.8,75.1,X
12.0|06,136,7,,5.1,,128.8,71.6,X
12.0|07,113,4,,3.5,,47.4,71.9,X
12.0|08,120,8,,6.7,,120.6,69.7,X
12.0|09,100,4,,4.0,,50.5,67.7,X
12.0|10,98,3,,3.1,,92.8,59.0,X
12.0|11,90,2,,2.2,,28.1,36.2,X
12.0|12,63,1,,1.6,,73.4,45.8,X
12.0|13,80,3,,3.8,,129.4,40.1,X
12.0|14,62,1,,1.6,,11.8,96.1,O
12.0|15,34,1,,2.9,,26.9,45.2,X
13.0|01,125,5,,4.0,,16.5,98.0,O
13.0|02,132,7,,5.3,,84.7,73.9,X
13.0|03,110,6,,5.5,,70.8,76.5,X
13.0|04,108,13,,12.0,,154.7,92.4,O
