bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|1,758,52,,6.9,,95.9,89.3,O
A1|2,347,31,,8.9,,105.0,70.5,X
A1|3,633,43,,6.8,,110.6,95.6,O
A1|4,91,3,,3.3,,30.6,92.1,O
A1|9,71,2,,2.8,,27.4,67.5,X
A2|1,812,38,,4.7,,66.6,62.0,X
A2|2,418,13,,3.1,,42.1,81.5,O
A2|3,840,39,,4.6,,86.1,85.2,O
A2|4,101,7,,6.9,,85.2,52.2,X
A2|9,72,3,,4.2,,50.8,54.0,X
A3|1,903,37,,4.1,,60.4,73.6,X
A3|2,477,18,,3.8,,50.0,74.8,X
A3|3,992,34,,3.4,,45.4,67.5,X
A3|4,129,5,,3.9,,64.7,84.0,O
A3|9,104,1,,1.0,,6.1,70.3,X
A4|1,930,35,,3.8,,64.9,80.2,O
A4|2,497,18,,3.6,,94.7,83.2,O
A4|3,1118,39,,3.5,,61.9,72.2,X
A4|4,150,6,,4.0,,75.7,59.5,X
A4|9,94,1,,1.1,,39.0,70.3,X
B1|1,523,5,,1.0,,35.0,115.6,O
B1|2,267,3,,1.1,,35.1,44.8,X
B1|3,585,14,,2.4,,171.5,103.2,O
B1|4,56,0,,0.0,,0.0,43.7,X
B2|1,399,5,,1.3,,78.8,69.8,X
B2|2,268,8,,3.0,,102.1,116.4,O
B2|3,572,12,,2.1,,99.9,93.3,O
B2|4,51,1,,2.0,,173.3,72.1,X
