bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|01,3762,226,,6.0,,87.1,85.0,O
A1|02,30,3,,10.0,,323.9,173.9,O
A1|03,6333,326,,5.1,,70.3,76.6,X
A1|04,2762,138,,5.0,,78.9,83.0,O
A1|05,1029,53,,5.2,,79.4,78.2,X
A1|06,109,3,,2.8,,23.1,73.8,X
A1|07,924,61,,6.6,,91.2,78.6,X
A2|01,3644,184,,5.0,,89.7,79.8,X
A2|02,33,3,,9.1,,170.6,107.8,O
A2|03,6128,281,,4.6,,82.6,80.1,O
A2|04,2774,138,,5.0,,76.8,84.2,O
A2|05,1036,42,,4.1,,66.2,76.1,X
A2|06,130,4,,3.1,,38.2,49.9,X
A2|07,852,38,,4.5,,74.6,78.2,X
A3|01,3580,154,,4.3,,78.8,79.8,X
A3|02,36,1,,2.8,,20.0,32.6,X
A3|03,5891,252,,4.3,,76.6,78.4,X
A3|04,2646,109,,4.1,,71.2,80.2,O
A3|05,951,35,,3.7,,47.1,66.7,X
A3|06,129,4,,3.1,,59.8,73.4,X
A3|07,882,27,,3.1,,81.3,81.2,O
A4|01,3374,113,,3.3,,54.6,74.5,X
A4|02,33,2,,6.1,,117.9,32.5,X
A4|03,5667,235,,4.1,,83.8,74.6,X
A4|04,2570,89,,3.5,,65.5,76.6,X
A4|05,961,36,,3.7,,76.9,83.0,O
A4|06,124,5,,4.0,,63.2,85.3,O
A4|07,826,37,,4.5,,102.7,67.0,X
B1|01,1680,23,,1.4,,66.4,88.1,O
B1|03,2636,47,,1.8,,88.0,79.5,X
B1|04,1233,17,,1.4,,53.8,72.8,X
B1|05,468,7,,1.5,,78.1,72.1,X
B1|06,77,0,,0.0,,0.0,76.2,X
B1|07,403,6,,1.5,,66.4,109.4,O
B2|01,1337,26,,1.9,,75.2,92.7,O
B2|03,2117,36,,1.7,,68.0,84.0,O
B2|04,979,22,,2.2,,141.1,79.5,X
B2|05,319,2,,0.6,,11.6,77.7,X
B2|06,42,0,,0.0,,0.0,31.8,X
B2|07,281,3,,1.1,,51.5,118.9,O
