bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|01,456,29,,6.4,,80.3,90.2,O
A1|02,487,28,,5.7,,60.1,71.4,X
A1|03,832,46,,5.5,,65.2,85.5,O
A1|04,1153,55,,4.8,,75.8,84.5,O
A1|05,2206,105,,4.8,,65.3,79.1,X
A1|06,2125,92,,4.3,,67.9,82.0,O
A1|07,1600,96,,6.0,,84.2,77.6,X
A1|08,1804,116,,6.4,,102.0,82.2,O
A1|09,2258,130,,5.8,,75.5,73.9,X
A1|10,880,52,,5.9,,107.7,91.6,O
A1|50,35,4,,11.4,,126.6,162.8,O
A2|01,490,14,,2.9,,72.4,89.8,O
A2|02,487,20,,4.1,,58.0,80.3,O
A2|03,832,37,,4.4,,65.0,78.6,X
A2|04,1039,45,,4.3,,60.0,85.6,O
A2|05,2172,119,,5.5,,95.8,83.2,O
A2|06,2141,86,,4.0,,84.8,71.1,X
A2|07,1601,79,,4.9,,71.2,72.7,X
A2|08,1729,93,,5.4,,107.2,90.1,O
A2|09,2101,95,,4.5,,61.1,75.6,X
A2|10,831,48,,5.8,,86.9,83.7,O
A2|45,31,1,,3.2,,236.5,107.3,O
A2|50,42,1,,2.4,,46.1,39.1,X
A3|01,461,17,,3.7,,64.0,78.4,X
A3|02,477,18,,3.8,,44.6,65.3,X
A3|03,790,35,,4.4,,89.1,84.1,O
A3|04,1066,32,,3.0,,50.4,69.3,X
A3|05,2102,97,,4.6,,95.0,75.6,X
A3|06,2077,78,,3.8,,65.1,77.8,X
A3|07,1479,65,,4.4,,77.6,84.6,O
A3|08,1663,74,,4.4,,80.2,85.5,O
A3|09,2008,89,,4.4,,69.9,76.0,X
A3|10,826,33,,4.0,,52.7,75.8,X
A3|45,35,3,,8.6,,75.0,92.5,O
A3|50,31,3,,9.7,,393.1,276.6,O
A4|01,444,16,,3.6,,82.2,81.3,O
A4|02,445,20,,4.5,,69.8,59.1,X
A4|03,777,22,,2.8,,43.8,62.7,X
A4|04,975,38,,3.9,,75.0,69.1,X
A4|05,2066,81,,3.9,,78.1,70.1,X
A4|06,2029,73,,3.6,,64.0,70.4,X
A4|07,1385,44,,3.2,,52.3,76.4,X
A4|08,1551,60,,3.9,,58.9,74.1,X
A4|09,1869,73,,3.9,,91.2,89.6,O
A4|10,791,36,,4.6,,98.6,77.3,X
A4|45,45,1,,2.2,,54.8,16.3,X
B1|01,220,5,,2.3,,59.4,97.5,O
B1|02,244,5,,2.0,,69.7,82.7,O
B1|03,378,2,,0.5,,19.2,47.2,X
B1|04,480,7,,1.5,,42.3,82.1,O
B1|05,861,11,,1.3,,45.7,66.3,X
B1|06,871,19,,2.2,,92.2,78.5,X
B1|07,701,11,,1.6,,108.6,98.9,O
B1|08,731,7,,1.0,,71.5,83.0,O
B1|09,918,14,,1.5,,93.2,94.4,O
B1|10,432,7,,1.6,,70.7,88.7,O
B2|01,195,3,,1.5,,39.7,66.8,X
B2|02,181,1,,0.6,,20.0,85.2,O
B2|03,293,4,,1.4,,84.3,59.1,X
B2|04,376,7,,1.9,,123.8,90.1,O
B2|05,663,17,,2.6,,156.0,90.7,O
B2|06,727,11,,1.5,,45.0,96.7,O
B2|07,541,6,,1.1,,19.6,81.6,O
B2|08,558,11,,2.0,,61.2,74.7,X
B2|09,699,15,,2.1,,110.5,98.6,O
B2|10,286,7,,2.4,,83.7,70.9,X
