bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|1,345,27,,7.8,,61.6,71.5,X
A1|2,716,46,,6.4,,58.5,70.7,X
A1|3,1122,78,,7.0,,64.1,83.0,O
A1|4,1426,102,,7.2,,82.5,75.1,X
A1|5,1669,107,,6.4,,82.2,89.5,O
A1|6,1786,104,,5.8,,79.3,79.9,X
A2|1,268,18,,6.7,,62.5,77.4,X
A2|2,580,55,,9.5,,122.3,95.7,O
A2|3,922,69,,7.5,,95.2,83.3,O
A2|4,1380,91,,6.6,,82.8,88.8,O
A2|5,1576,80,,5.1,,69.0,85.2,O
A2|6,1649,86,,5.2,,84.6,71.4,X
A3|1,236,16,,6.8,,81.5,87.8,O
A3|2,569,42,,7.4,,88.3,83.0,O
A3|3,848,53,,6.2,,65.0,76.9,X
A3|4,1226,57,,4.6,,58.8,78.0,X
A3|5,1431,76,,5.3,,71.5,77.7,X
A3|6,1533,64,,4.2,,76.4,77.6,X
A4|1,206,17,,8.3,,90.0,82.0,O
A4|2,461,32,,6.9,,81.3,81.5,O
A4|3,700,26,,3.7,,42.4,74.6,X
A4|4,1041,45,,4.3,,57.7,74.3,X
A4|5,1286,55,,4.3,,60.0,72.6,X
A4|6,1442,58,,4.0,,80.8,80.4,O
B1|2,44,1,,2.3,,39.1,71.9,X
B1|3,93,2,,2.2,,50.5,75.8,X
B1|4,177,2,,1.1,,104.3,66.9,X
B1|5,316,6,,1.9,,51.5,77.5,X
B1|6,401,5,,1.2,,51.5,81.4,O
B2|2,36,1,,2.8,,72.0,65.7,X
B2|3,93,0,,0.0,,0.0,78.1,X
B2|4,111,2,,1.8,,122.4,62.6,X
B2|5,197,4,,2.0,,67.5,95.9,O
B2|6,274,5,,1.8,,69.0,56.2,X
