bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|11,58,4,,6.9,,65.8,53.4,X
A1|111,44,4,,9.1,,238.2,74.2,X
A1|121,136,13,,9.6,,148.9,70.1,X
A1|122,221,17,,7.7,,170.9,96.8,O
A1|132,169,7,,4.1,,118.4,124.8,O
A1|133,131,5,,3.8,,68.6,62.1,X
A1|21,289,18,,6.2,,71.7,83.3,O
A1|211,54,9,,16.7,,153.0,81.7,O
A1|213,33,0,,0.0,,0.0,107.9,O
A1|22,176,4,,2.3,,11.5,74.7,X
A1|221,103,5,,4.9,,52.2,73.3,X
A1|222,290,21,,7.2,,92.1,88.6,O
A1|223,33,2,,6.1,,137.0,67.9,X
A1|232,157,8,,5.1,,70.3,67.7,X
A1|233,220,11,,5.0,,42.4,96.4,O
A1|32,314,16,,5.1,,71.4,73.8,X
A1|322,58,3,,5.2,,62.2,65.3,X
A1|323,42,1,,2.4,,53.5,92.7,O
A1|33,67,1,,1.5,,58.4,81.0,O
A2|11,54,2,,3.7,,43.0,50.6,X
A2|111,37,0,,0.0,,0.0,43.5,X
A2|121,150,11,,7.3,,116.8,101.7,O
A2|122,227,9,,4.0,,65.5,122.7,O
A2|132,168,3,,1.8,,22.1,63.9,X
A2|133,132,4,,3.0,,74.2,57.5,X
A2|21,241,9,,3.7,,50.5,49.0,X
A2|211,47,2,,4.3,,27.5,55.6,X
A2|213,38,1,,2.6,,81.8,80.7,O
A2|22,146,6,,4.1,,126.3,55.6,X
A2|221,104,5,,4.8,,106.9,80.8,O
A2|222,237,12,,5.1,,49.4,65.1,X
A2|223,34,1,,2.9,,41.2,43.7,X
A2|232,180,9,,5.0,,114.5,89.8,O
A2|233,220,6,,2.7,,41.8,58.4,X
A2|32,314,17,,5.4,,117.7,91.4,O
A2|321,34,5,,14.7,,577.7,182.3,O
A2|322,56,4,,7.1,,88.0,59.4,X
A2|323,53,1,,1.9,,19.7,25.6,X
A2|33,57,5,,8.8,,98.5,56.1,X
A3|11,45,2,,4.4,,38.6,20.1,X
A3|111,52,2,,3.8,,89.2,65.7,X
A3|121,120,2,,1.7,,23.6,46.6,X
A3|122,215,6,,2.8,,21.1,84.5,O
A3|132,147,3,,2.0,,13.9,55.6,X
A3|133,130,5,,3.8,,93.2,95.6,O
A3|21,239,12,,5.0,,53.0,64.6,X
A3|211,39,3,,7.7,,169.2,40.2,X
A3|212,33,0,,0.0,,0.0,92.1,O
A3|213,39,2,,5.1,,107.5,38.6,X
A3|22,152,8,,5.3,,121.7,73.8,X
A3|221,123,5,,4.1,,135.9,104.9,O
A3|222,278,13,,4.7,,73.3,64.8,X
A3|232,162,8,,4.9,,98.6,107.6,O
A3|233,212,8,,3.8,,89.1,89.3,O
A3|32,297,13,,4.4,,113.3,67.3,X
A3|322,42,4,,9.5,,201.7,66.5,X
A3|323,52,0,,0.0,,0.0,66.0,X
A3|33,66,4,,6.1,,89.8,83.6,O
A4|11,52,0,,0.0,,0.0,78.8,X
A4|111,49,2,,4.1,,41.1,22.0,X
A4|121,115,7,,6.1,,67.1,73.2,X
A4|122,182,5,,2.7,,62.0,106.2,O
A4|132,132,6,,4.5,,94.2,119.1,O
A4|133,132,3,,2.3,,96.1,68.6,X
A4|21,258,6,,2.3,,39.7,73.4,X
A4|211,39,5,,12.8,,202.6,119.6,O
A4|213,36,2,,5.6,,186.8,77.1,X
A4|22,139,2,,1.4,,11.8,43.8,X
A4|221,102,8,,7.8,,230.2,99.2,O
A4|222,237,13,,5.5,,97.6,75.9,X
A4|232,157,2,,1.3,,20.9,62.8,X
A4|233,207,8,,3.9,,74.1,70.7,X
A4|32,281,14,,5.0,,108.3,87.2,O
A4|322,43,2,,4.7,,60.6,83.2,O
A4|323,49,4,,8.2,,122.5,51.6,X
A4|33,51,0,,0.0,,0.0,22.3,X
B1|121,76,2,,2.6,,58.9,88.4,O
B1|122,114,2,,1.8,,78.3,98.2,O
B1|132,95,5,,5.3,,232.1,97.8,O
B1|133,74,0,,0.0,,0.0,69.7,X
B1|21,104,2,,1.9,,89.3,82.7,O
B1|211,31,1,,3.2,,45.2,169.2,O
B1|22,83,3,,3.6,,68.0,52.4,X
B1|221,52,0,,0.0,,0.0,117.0,O
B1|222,111,2,,1.8,,55.5,100.4,O
B1|232,77,0,,0.0,,0.0,46.2,X
B1|233,114,0,,0.0,,0.0,89.7,O
B1|32,140,3,,2.1,,65.2,67.2,X
B1|33,39,1,,2.6,,93.7,123.1,O
B2|11,30,0,,0.0,,0.0,48.3,X
B2|121,57,1,,1.8,,52.8,95.4,O
B2|122,77,3,,3.9,,99.4,122.0,O
B2|132,88,0,,0.0,,0.0,26.4,X
B2|133,58,1,,1.7,,136.8,95.3,O
B2|21,97,3,,3.1,,193.6,163.6,O
B2|22,58,0,,0.0,,0.0,6.3,X
B2|221,40,1,,2.5,,104.5,123.7,O
B2|222,85,2,,2.4,,24.6,57.0,X
B2|232,65,1,,1.5,,147.8,98.5,O
B2|233,76,0,,0.0,,0.0,66.0,X
B2|32,107,2,,1.9,,89.0,113.1,O
