bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|16,1496,99,,6.6,,101.7,78.4,X
A1|17,1523,72,,4.7,,70.5,72.3,X
A1|18,1491,86,,5.8,,83.2,87.7,O
A1|19,1505,85,,5.6,,82.7,79.5,X
A1|20,1530,88,,5.8,,78.9,82.2,O
A1|21,1525,96,,6.3,,84.9,81.1,O
A1|22,1488,55,,3.7,,52.6,71.6,X
A1|23,1452,69,,4.8,,78.4,81.6,O
A1|24,1504,78,,5.2,,80.0,87.2,O
A1|25,1443,82,,5.7,,85.1,76.9,X
A2|16,1484,63,,4.2,,87.6,76.9,X
A2|17,1482,59,,4.0,,79.6,75.1,X
A2|18,1456,69,,4.7,,71.8,80.5,O
A2|19,1494,82,,5.5,,93.0,80.2,O
A2|20,1502,81,,5.4,,98.4,81.2,O
A2|21,1483,62,,4.2,,63.3,80.0,O
A2|22,1422,70,,4.9,,74.2,86.2,O
A2|23,1411,68,,4.8,,89.1,75.6,X
A2|24,1467,73,,5.0,,78.9,80.6,O
A2|25,1403,65,,4.6,,83.8,80.4,O
A3|16,1435,59,,4.1,,93.1,78.7,X
A3|17,1448,55,,3.8,,74.7,73.0,X
A3|18,1420,64,,4.5,,107.5,85.5,O
A3|19,1408,61,,4.3,,68.0,80.0,O
A3|20,1459,55,,3.8,,69.7,74.4,X
A3|21,1444,61,,4.2,,72.7,75.6,X
A3|22,1409,54,,3.8,,65.3,71.1,X
A3|23,1369,58,,4.2,,73.4,76.9,X
A3|24,1384,57,,4.1,,76.2,81.0,O
A3|25,1354,58,,4.3,,73.2,84.4,O
A4|16,1367,54,,4.0,,101.9,80.4,O
A4|17,1386,49,,3.5,,67.6,70.7,X
A4|18,1369,56,,4.1,,98.6,74.5,X
A4|19,1388,67,,4.8,,78.6,81.3,O
A4|20,1393,44,,3.2,,63.1,72.8,X
A4|21,1399,53,,3.8,,65.8,83.0,O
A4|22,1322,53,,4.0,,89.2,80.4,O
A4|23,1331,46,,3.5,,61.6,65.1,X
A4|24,1319,60,,4.5,,89.9,72.2,X
A4|25,1283,35,,2.7,,56.7,76.0,X
B1|16,646,11,,1.7,,90.2,106.7,O
B1|17,706,10,,1.4,,65.7,84.1,O
B1|18,607,10,,1.6,,53.9,116.9,O
B1|19,725,6,,0.8,,29.1,70.9,X
B1|20,741,8,,1.1,,55.0,74.4,X
B1|21,707,15,,2.1,,78.7,80.8,O
B1|22,645,14,,2.2,,90.0,75.0,X
B1|23,573,6,,1.0,,47.6,76.6,X
B1|24,570,8,,1.4,,66.9,80.6,O
B1|25,591,12,,2.0,,117.8,87.5,O
B2|16,511,8,,1.6,,96.6,74.8,X
B2|17,558,15,,2.7,,159.7,127.3,O
B2|18,475,8,,1.7,,81.3,68.9,X
B2|19,548,12,,2.2,,86.7,74.2,X
B2|20,592,8,,1.4,,47.9,92.7,O
B2|21,616,12,,1.9,,85.2,95.4,O
B2|22,452,6,,1.3,,69.9,82.6,O
B2|23,487,9,,1.8,,107.1,90.1,O
B2|24,411,7,,1.7,,75.5,77.1,X
B2|25,439,4,,0.9,,48.2,87.7,O
