bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|0,984,216,,22.0,,89.4,82.0,O
0|1,544,140,,25.7,,86.5,82.2,O
0|2,768,227,,29.6,,79.2,88.4,O
0|3,1034,266,,25.7,,76.6,82.2,O
0|4,99,15,,15.2,,54.3,67.7,X
10|0,1019,49,,4.8,,79.6,78.9,X
10|1,156,14,,9.0,,83.5,74.8,X
10|2,129,15,,11.6,,89.0,65.1,X
10|3,294,17,,5.8,,73.0,113.8,O
10|4,165,11,,6.7,,77.0,57.1,X
11|0,1040,50,,4.8,,67.1,79.1,X
11|1,171,16,,9.4,,116.4,92.6,O
11|2,85,0,,0.0,,0.0,49.4,X
11|3,251,16,,6.4,,71.3,67.9,X
11|4,174,18,,10.3,,131.3,84.8,O
12|0,907,37,,4.1,,66.6,72.6,X
12|1,150,9,,6.0,,28.7,41.3,X
12|2,76,4,,5.3,,67.8,87.5,O
12|3,223,8,,3.6,,60.2,72.8,X
12|4,181,9,,5.0,,44.4,101.2,O
13|0,880,34,,3.9,,77.2,73.1,X
13|1,154,3,,1.9,,7.8,67.0,X
13|2,80,5,,6.2,,85.0,106.0,O
13|3,178,7,,3.9,,63.6,82.9,O
13|4,171,14,,8.2,,145.5,76.3,X
14|0,830,37,,4.5,,98.0,77.2,X
14|1,121,3,,2.5,,59.7,72.5,X
14|2,53,1,,1.9,,89.4,59.4,X
14|3,154,8,,5.2,,82.6,62.0,X
14|4,171,9,,5.3,,91.0,85.6,O
15|0,773,28,,3.6,,74.3,72.0,X
15|1,115,4,,3.5,,33.2,64.3,X
15|2,32,1,,3.1,,1.2,71.0,X
15|3,127,5,,3.9,,76.1,43.9,X
15|4,185,4,,2.2,,21.0,49.8,X
16|0,618,18,,2.9,,85.1,86.8,O
16|1,124,3,,2.4,,24.8,83.4,O
16|3,78,4,,5.1,,116.7,83.3,O
16|4,182,11,,6.0,,100.6,76.1,X
17|0,561,16,,2.9,,104.3,65.6,X
17|1,75,6,,8.0,,70.6,65.9,X
17|3,78,3,,3.8,,167.5,86.7,O
17|4,173,7,,4.0,,143.3,75.4,X
18|0,469,14,,3.0,,109.0,88.4,O
18|1,84,6,,7.1,,212.2,108.5,O
18|3,56,1,,1.8,,83.0,127.1,O
18|4,177,6,,3.4,,22.7,47.5,X
19|0,392,15,,3.8,,116.4,109.1,O
19|1,79,7,,8.9,,176.1,85.0,O
19|3,37,2,,5.4,,61.3,76.3,X
19|4,186,9,,4.8,,68.6,54.1,X
1|0,337,55,,16.3,,68.0,81.4,O
1|1,144,23,,16.0,,77.1,73.5,X
1|2,165,30,,18.2,,89.4,73.0,X
1|3,215,39,,18.1,,75.4,78.5,X
1|4,31,4,,12.9,,40.4,57.2,X
20|0,351,13,,3.7,,63.5,94.7,O
20|1,68,2,,2.9,,15.3,84.5,O
20|3,35,0,,0.0,,0.0,36.1,X
20|4,186,7,,3.8,,100.5,66.7,X
21|0,311,11,,3.5,,87.6,59.5,X
21|1,65,1,,1.5,,7.5,32.9,X
21|4,167,7,,4.2,,51.5,59.6,X
22|0,232,5,,2.2,,83.7,83.4,O
22|1,55,1,,1.8,,14.1,29.2,X
22|4,187,2,,1.1,,82.0,61.7,X
23|0,216,8,,3.7,,100.3,93.4,O
23|1,44,1,,2.3,,86.8,95.6,O
23|4,148,5,,3.4,,32.5,51.2,X
24|0,145,3,,2.1,,18.7,37.2,X
24|1,32,2,,6.2,,72.8,72.6,X
24|4,171,6,,3.5,,42.1,42.9,X
25|0,121,1,,0.8,,12.0,50.2,X
25|1,36,2,,5.6,,53.4,82.6,O
25|4,126,7,,5.6,,92.2,72.2,X
26|0,127,1,,0.8,,10.6,47.7,X
26|4,89,3,,3.4,,141.2,155.6,O
27|0,87,2,,2.3,,147.2,104.2,O
27|4,93,3,,3.2,,30.5,60.6,X
28|0,71,1,,1.4,,2.8,27.2,X
28|4,94,2,,2.1,,109.3,89.7,O
29|0,68,0,,0.0,,0.0,29.5,X
29|4,79,2,,2.5,,104.5,39.1,X
2|0,512,80,,15.6,,102.9,92.6,O
2|1,171,32,,18.7,,152.0,97.3,O
2|2,192,33,,17.2,,58.7,70.6,X
2|3,307,46,,15.0,,76.9,71.8,X
2|4,41,4,,9.8,,75.3,68.2,X
30|0,49,2,,4.1,,222.7,57.1,X
30|4,67,3,,4.5,,90.6,61.5,X
31|0,38,1,,2.6,,34.9,48.7,X
31|4,58,1,,1.7,,47.1,67.7,X
32|0,41,0,,0.0,,0.0,87.8,O
32|4,52,0,,0.0,,0.0,38.3,X
33|0,34,1,,2.9,,63.4,21.8,X
33|4,55,1,,1.8,,21.4,33.2,X
34|4,43,1,,2.3,,12.3,25.4,X
35|4,34,1,,2.9,,66.4,39.2,X
3|0,588,83,,14.1,,91.1,103.1,O
3|1,150,18,,12.0,,48.2,80.0,O
3|2,183,29,,15.8,,70.7,87.9,O
3|3,309,39,,12.6,,70.4,82.4,O
3|4,52,7,,13.5,,234.4,136.7,O
4|0,658,60,,9.1,,75.5,82.8,O
4|1,194,26,,13.4,,64.1,59.6,X
4|2,196,28,,14.3,,86.9,79.5,X
4|3,366,52,,14.2,,96.6,90.7,O
4|4,74,10,,13.5,,63.4,58.5,X
5|0,747,68,,9.1,,87.2,80.1,O
5|1,197,21,,10.7,,50.3,77.3,X
5|2,177,24,,13.6,,83.8,75.4,X
5|3,358,42,,11.7,,70.3,83.0,O
5|4,79,10,,12.7,,69.9,72.6,X
6|0,970,87,,9.0,,87.9,83.0,O
6|1,238,26,,10.9,,110.1,93.3,O
6|2,216,29,,13.4,,107.3,111.5,O
6|3,457,56,,12.3,,75.7,75.9,X
6|4,90,8,,8.9,,116.8,61.4,X
7|0,923,68,,7.4,,76.3,90.4,O
7|1,201,15,,7.5,,51.1,67.5,X
7|2,178,22,,12.4,,76.2,75.4,X
7|3,362,21,,5.8,,62.3,86.7,O
7|4,95,4,,4.2,,50.9,48.1,X
8|0,951,60,,6.3,,63.8,83.7,O
8|1,223,27,,12.1,,103.2,97.2,O
8|2,176,12,,6.8,,42.8,62.6,X
8|3,371,47,,12.7,,117.3,85.6,O
8|4,121,10,,8.3,,70.1,97.8,O
9|0,1008,60,,6.0,,74.4,90.5,O
9|1,194,23,,11.9,,154.0,84.0,O
9|2,131,8,,6.1,,50.2,67.5,X
9|3,322,25,,7.8,,84.5,89.2,O
9|4,157,9,,5.7,,103.4,63.5,X
