bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
02|1.0,149,16,,10.7,,122.1,64.5,X
02|10.0,92,5,,5.4,,79.3,100.2,O
02|11.0,72,8,,11.1,,182.5,144.4,O
02|12.0,76,4,,5.3,,66.6,101.6,O
02|13.0,55,2,,3.6,,10.8,85.4,O
02|14.0,51,1,,2.0,,33.0,51.7,X
02|15.0,37,1,,2.7,,35.4,107.1,O
02|2.0,160,16,,10.0,,42.0,60.9,X
02|3.0,127,12,,9.4,,36.5,56.2,X
02|4.0,168,14,,8.3,,45.5,83.8,O
02|5.0,138,11,,8.0,,37.5,59.1,X
02|6.0,138,8,,5.8,,44.9,101.1,O
02|7.0,148,8,,5.4,,123.7,111.5,O
02|8.0,119,7,,5.9,,41.4,66.9,X
02|9.0,97,9,,9.3,,53.6,44.0,X
03|1.0,172,16,,9.3,,74.6,106.0,O
03|10.0,111,8,,7.2,,89.1,113.2,O
03|11.0,108,6,,5.6,,220.2,90.2,O
03|12.0,79,1,,1.3,,2.0,61.4,X
03|13.0,71,5,,7.0,,60.9,41.5,X
03|14.0,58,4,,6.9,,46.1,82.0,O
03|15.0,52,6,,11.5,,207.5,118.1,O
03|16.0,32,0,,0.0,,0.0,34.5,X
03|2.0,218,25,,11.5,,53.6,57.4,X
03|3.0,230,32,,13.9,,73.4,88.1,O
03|4.0,224,21,,9.4,,110.0,84.5,O
03|5.0,211,23,,10.9,,98.3,83.7,O
03|6.0,190,17,,8.9,,104.3,70.7,X
03|7.0,191,18,,9.4,,145.7,90.8,O
03|8.0,178,11,,6.2,,43.3,78.1,X
03|9.0,131,10,,7.6,,46.6,54.1,X
04|3.0,35,4,,11.4,,54.9,77.5,X
07|3.0,46,5,,10.9,,34.9,57.5,X
07|4.0,30,4,,13.3,,96.9,80.8,O
07|5.0,30,4,,13.3,,54.3,53.7,X
07|6.0,41,4,,9.8,,108.7,59.8,X
07|7.0,30,3,,10.0,,662.8,185.4,O
10|1.0,401,47,,11.7,,79.7,69.5,X
10|10.0,230,12,,5.2,,69.7,67.6,X
10|11.0,211,8,,3.8,,93.2,79.6,X
10|12.0,158,10,,6.3,,74.7,76.5,X
10|13.0,112,8,,7.1,,35.3,59.4,X
10|14.0,89,5,,5.6,,73.3,51.1,X
10|15.0,76,7,,9.2,,185.8,115.9,O
10|16.0,51,3,,5.9,,121.6,90.0,O
10|2.0,485,70,,14.4,,62.9,77.6,X
10|3.0,560,77,,13.8,,75.0,82.0,O
10|4.0,443,55,,12.4,,93.6,87.8,O
10|5.0,425,42,,9.9,,79.1,91.4,O
10|6.0,417,44,,10.6,,87.2,93.0,O
10|7.0,401,36,,9.0,,94.7,84.9,O
10|8.0,317,22,,6.9,,41.8,81.0,O
10|9.0,246,17,,6.9,,101.9,83.9,O
11|1.0,181,17,,9.4,,114.9,97.5,O
11|10.0,123,14,,11.4,,242.9,90.0,O
11|11.0,98,5,,5.1,,67.6,59.2,X
11|12.0,82,6,,7.3,,166.8,94.2,O
11|13.0,72,6,,8.3,,37.9,95.3,O
11|14.0,61,3,,4.9,,6.3,88.6,O
11|15.0,32,2,,6.2,,41.0,33.5,X
11|2.0,218,23,,10.6,,39.0,65.3,X
11|3.0,230,37,,16.1,,105.9,102.8,O
11|4.0,216,24,,11.1,,90.1,88.7,O
11|5.0,215,16,,7.4,,58.4,79.8,X
11|6.0,181,11,,6.1,,51.6,68.8,X
11|7.0,144,7,,4.9,,37.5,48.3,X
11|8.0,134,13,,9.7,,56.3,89.9,O
11|9.0,141,11,,7.8,,71.8,66.8,X
18|1.0,185,22,,11.9,,79.5,66.9,X
18|10.0,121,12,,9.9,,55.8,98.8,O
18|11.0,91,7,,7.7,,103.9,94.1,O
18|12.0,83,7,,8.4,,90.8,66.4,X
18|13.0,61,4,,6.6,,23.9,38.0,X
18|14.0,53,3,,5.7,,67.4,125.8,O
18|15.0,38,6,,15.8,,114.1,172.5,O
18|16.0,30,1,,3.3,,96.9,39.2,X
18|2.0,213,31,,14.6,,59.9,68.5,X
18|3.0,249,26,,10.4,,59.8,75.8,X
18|4.0,201,24,,11.9,,104.4,98.7,O
18|5.0,205,21,,10.2,,90.4,103.5,O
18|6.0,192,18,,9.4,,106.9,117.7,O
18|7.0,168,20,,11.9,,183.2,118.7,O
18|8.0,163,15,,9.2,,147.5,96.2,O
18|9.0,147,13,,8.8,,171.7,87.4,O
19|1.0,142,13,,9.2,,122.4,94.5,O
19|10.0,90,4,,4.4,,80.3,75.7,X
19|11.0,84,3,,3.6,,44.9,82.7,O
19|12.0,72,1,,1.4,,0.6,97.6,O
19|13.0,51,5,,9.8,,69.1,54.4,X
19|14.0,40,1,,2.5,,2.5,103.0,O
19|15.0,46,4,,8.7,,45.2,74.3,X
19|16.0,30,0,,0.0,,0.0,153.8,O
19|2.0,184,18,,9.8,,51.9,59.4,X
19|3.0,195,28,,14.4,,81.4,85.6,O
19|4.0,186,20,,10.8,,79.4,102.2,O
19|5.0,194,15,,7.7,,86.1,94.8,O
19|6.0,159,12,,7.5,,100.8,87.5,O
19|7.0,145,3,,2.1,,5.2,51.0,X
19|8.0,144,16,,11.1,,118.2,81.2,O
19|9.0,92,5,,5.4,,51.7,66.6,X
21|2.0,38,3,,7.9,,12.8,58.6,X
21|3.0,44,6,,13.6,,74.3,119.3,O
21|4.0,45,6,,13.3,,19.5,36.7,X
21|5.0,32,7,,21.9,,170.7,200.0,O
21|6.0,33,2,,6.1,,39.7,105.4,O
22|1.0,493,44,,8.9,,69.5,69.2,X
22|10.0,313,22,,7.0,,41.2,78.1,X
22|11.0,228,12,,5.3,,46.0,71.5,X
22|12.0,202,13,,6.4,,66.6,58.1,X
22|13.0,195,15,,7.7,,109.9,83.7,O
22|14.0,144,6,,4.2,,57.6,82.7,O
22|15.0,97,5,,5.2,,64.7,149.1,O
22|16.0,70,6,,8.6,,86.8,129.3,O
22|2.0,591,93,,15.7,,71.9,81.9,O
22|3.0,547,60,,11.0,,66.7,66.9,X
22|4.0,543,52,,9.6,,71.5,83.0,O
22|5.0,503,36,,7.2,,70.1,71.7,X
22|6.0,496,31,,6.2,,72.0,86.8,O
22|7.0,414,27,,6.5,,40.8,63.3,X
22|8.0,392,26,,6.6,,84.2,72.7,X
22|9.0,363,30,,8.3,,89.3,77.7,X
23|1.0,492,38,,7.7,,50.3,69.9,X
23|10.0,285,12,,4.2,,33.8,77.0,X
23|11.0,273,19,,7.0,,143.1,98.4,O
23|12.0,200,6,,3.0,,29.1,75.5,X
23|13.0,207,16,,7.7,,66.9,64.1,X
23|14.0,169,11,,6.5,,50.9,98.3,O
23|15.0,111,6,,5.4,,113.3,50.3,X
23|16.0,86,4,,4.7,,134.8,66.0,X
23|2.0,579,83,,14.3,,73.9,70.8,X
23|3.0,590,75,,12.7,,86.3,79.3,X
23|4.0,538,52,,9.7,,97.5,73.4,X
23|5.0,502,42,,8.4,,73.0,80.6,O
23|6.0,496,54,,10.9,,101.7,83.8,O
23|7.0,440,32,,7.3,,114.8,86.7,O
23|8.0,441,22,,5.0,,54.5,54.1,X
23|9.0,380,21,,5.5,,84.6,86.2,O
24|1.0,37,4,,10.8,,20.6,54.7,X
24|10.0,41,2,,4.9,,25.1,43.2,X
24|11.0,33,3,,9.1,,51.3,27.2,X
24|2.0,68,8,,11.8,,34.1,75.0,X
24|3.0,87,5,,5.7,,96.5,61.8,X
24|4.0,92,5,,5.4,,71.6,69.0,X
24|5.0,71,3,,4.2,,44.9,122.5,O
24|6.0,64,4,,6.2,,73.7,49.9,X
24|7.0,57,5,,8.8,,208.6,113.2,O
24|8.0,47,4,,8.5,,38.9,62.5,X
24|9.0,41,4,,9.8,,217.7,62.2,X
