bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|14.0,34,3,,8.8,,32.5,22.2,X
A|15.0,38,5,,13.2,,192.3,98.5,O
A|16.0,52,7,,13.5,,151.0,93.9,O
A|17.0,53,3,,5.7,,31.0,75.7,X
A|18.0,67,8,,11.9,,44.0,72.7,X
A|19.0,65,6,,9.2,,67.1,68.9,X
A|20.0,90,7,,7.8,,70.1,58.3,X
A|21.0,97,9,,9.3,,57.4,104.6,O
A|22.0,98,10,,10.2,,51.8,56.7,X
A|23.0,114,7,,6.1,,122.1,49.6,X
A|24.0,155,14,,9.0,,48.0,60.0,X
A|25.0,158,20,,12.7,,82.9,89.3,O
A|26.0,180,14,,7.8,,46.0,83.9,O
A|27.0,162,22,,13.6,,97.4,75.9,X
A|28.0,194,9,,4.6,,20.1,72.3,X
A|29.0,191,30,,15.7,,99.6,73.7,X
A|30.0,251,35,,13.9,,97.6,74.1,X
A|31.0,249,28,,11.2,,44.8,68.8,X
A|32.0,244,21,,8.6,,46.4,64.4,X
A|33.0,235,22,,9.4,,62.8,63.0,X
A|34.0,296,40,,13.5,,66.8,66.5,X
A|35.0,278,30,,10.8,,95.4,110.9,O
A|36.0,261,25,,9.6,,65.6,100.8,O
A|37.0,268,42,,15.7,,93.4,84.8,O
A|38.0,290,31,,10.7,,119.5,82.2,O
A|39.0,298,26,,8.7,,57.3,65.6,X
A|40.0,247,23,,9.3,,38.7,61.0,X
A|41.0,252,29,,11.5,,69.4,71.3,X
A|42.0,257,29,,11.3,,102.9,76.4,X
A|43.0,238,25,,10.5,,76.7,72.2,X
A|44.0,245,36,,14.7,,100.0,74.4,X
A|45.0,226,36,,15.9,,80.6,83.0,O
A|46.0,193,19,,9.8,,66.4,79.0,X
A|47.0,210,24,,11.4,,45.1,78.8,X
A|48.0,222,22,,9.9,,90.2,80.1,O
A|49.0,189,18,,9.5,,131.5,84.0,O
A|50.0,187,21,,11.2,,63.5,65.2,X
A|51.0,200,32,,16.0,,103.9,76.7,X
A|52.0,162,18,,11.1,,93.4,81.6,O
A|53.0,133,12,,9.0,,72.2,91.1,O
A|54.0,136,13,,9.6,,82.2,98.2,O
A|55.0,105,8,,7.6,,53.6,85.0,O
A|56.0,81,10,,12.3,,154.1,87.6,O
A|57.0,87,9,,10.3,,220.9,127.7,O
A|58.0,83,8,,9.6,,27.8,67.5,X
A|59.0,76,7,,9.2,,66.6,64.2,X
A|60.0,74,6,,8.1,,79.8,71.5,X
A|61.0,65,6,,9.2,,53.5,148.4,O
A|62.0,58,10,,17.2,,123.1,139.4,O
A|63.0,56,1,,1.8,,3.6,93.8,O
A|64.0,50,7,,14.0,,130.7,73.2,X
A|65.0,53,6,,11.3,,78.6,72.9,X
A|67.0,42,2,,4.8,,49.3,76.1,X
A|69.0,30,2,,6.7,,45.9,133.7,O
B|12.0,34,3,,8.8,,172.4,49.1,X
B|13.0,44,2,,4.5,,6.2,21.8,X
B|14.0,43,2,,4.7,,12.0,78.1,X
B|15.0,64,4,,6.2,,42.6,25.6,X
B|16.0,70,6,,8.6,,89.7,71.3,X
B|17.0,74,10,,13.5,,197.7,138.5,O
B|18.0,94,11,,11.7,,245.7,121.2,O
B|19.0,93,5,,5.4,,20.0,49.7,X
B|20.0,94,11,,11.7,,75.8,59.0,X
B|21.0,109,3,,2.8,,10.8,93.1,O
B|22.0,137,7,,5.1,,56.1,62.0,X
B|23.0,136,11,,8.1,,110.2,91.8,O
B|24.0,148,11,,7.4,,65.7,46.6,X
B|25.0,168,23,,13.7,,99.5,72.2,X
B|26.0,189,19,,10.1,,64.3,97.8,O
B|27.0,228,26,,11.4,,66.2,74.6,X
B|28.0,212,17,,8.0,,32.1,64.5,X
B|29.0,215,20,,9.3,,67.0,78.4,X
B|30.0,263,20,,7.6,,88.3,80.0,O
B|31.0,235,27,,11.5,,131.2,83.7,O
B|32.0,237,19,,8.0,,50.7,86.8,O
B|33.0,256,28,,10.9,,134.3,78.2,X
B|34.0,218,23,,10.6,,86.2,87.9,O
B|35.0,269,34,,12.6,,112.5,105.8,O
B|36.0,254,32,,12.6,,92.9,85.1,O
B|37.0,280,27,,9.6,,51.0,93.4,O
B|38.0,233,23,,9.9,,59.5,68.5,X
B|39.0,232,29,,12.5,,84.9,79.3,X
B|40.0,231,19,,8.2,,51.6,70.9,X
B|41.0,228,20,,8.8,,35.8,74.9,X
B|42.0,226,22,,9.7,,58.7,80.1,O
B|43.0,212,21,,9.9,,60.7,72.9,X
B|44.0,204,17,,8.3,,67.1,75.7,X
B|45.0,202,23,,11.4,,82.7,92.1,O
B|46.0,187,11,,5.9,,30.4,50.6,X
B|47.0,154,14,,9.1,,47.4,76.2,X
B|48.0,146,19,,13.0,,98.7,86.0,O
B|49.0,148,21,,14.2,,79.6,71.6,X
B|50.0,129,16,,12.4,,96.5,77.8,X
B|51.0,132,18,,13.6,,73.9,82.2,O
B|52.0,98,12,,12.2,,73.8,71.8,X
B|53.0,103,4,,3.9,,55.0,122.8,O
B|54.0,78,7,,9.0,,57.2,47.6,X
B|55.0,79,6,,7.6,,74.9,78.0,X
B|56.0,85,10,,11.8,,79.6,102.7,O
B|57.0,56,5,,8.9,,64.2,68.9,X
B|58.0,61,11,,18.0,,463.5,122.5,O
B|59.0,48,6,,12.5,,110.0,94.5,O
B|60.0,43,3,,7.0,,132.1,105.3,O
B|61.0,36,8,,22.2,,118.1,76.6,X
B|62.0,38,5,,13.2,,41.5,49.8,X
B|63.0,32,3,,9.4,,54.3,110.5,O
C|10.0,33,4,,12.1,,114.1,92.4,O
C|11.0,39,0,,0.0,,0.0,114.8,O
C|12.0,44,0,,0.0,,0.0,13.1,X
C|13.0,57,4,,7.0,,76.3,47.5,X
C|14.0,68,2,,2.9,,41.1,136.6,O
C|15.0,61,5,,8.2,,73.3,111.4,O
C|16.0,94,10,,10.6,,346.3,103.4,O
C|17.0,73,5,,6.8,,23.7,61.1,X
C|18.0,89,7,,7.9,,29.1,36.7,X
C|19.0,84,5,,6.0,,126.8,71.8,X
C|20.0,115,8,,7.0,,110.8,48.6,X
C|21.0,133,6,,4.5,,30.1,119.7,O
C|22.0,147,11,,7.5,,105.9,103.4,O
C|23.0,160,14,,8.8,,113.5,68.9,X
C|24.0,177,9,,5.1,,29.5,62.7,X
C|25.0,191,15,,7.9,,64.3,100.5,O
C|26.0,173,13,,7.5,,28.6,48.3,X
C|27.0,190,5,,2.6,,25.1,72.1,X
C|28.0,210,18,,8.6,,85.9,81.6,O
C|29.0,218,19,,8.7,,118.9,96.9,O
C|30.0,230,18,,7.8,,82.1,99.7,O
C|31.0,207,10,,4.8,,80.6,64.8,X
C|32.0,203,21,,10.3,,151.3,103.3,O
C|33.0,221,21,,9.5,,118.7,71.7,X
C|34.0,211,9,,4.3,,36.3,48.1,X
C|35.0,228,20,,8.8,,58.4,63.8,X
C|36.0,234,24,,10.3,,122.2,95.5,O
C|37.0,217,22,,10.1,,105.8,98.3,O
C|38.0,214,22,,10.3,,155.1,88.5,O
C|39.0,215,24,,11.2,,118.1,88.1,O
C|40.0,212,13,,6.1,,26.0,80.1,O
C|41.0,181,15,,8.3,,52.5,72.7,X
C|42.0,179,18,,10.1,,75.0,92.7,O
C|43.0,144,10,,6.9,,37.0,42.7,X
C|44.0,160,13,,8.1,,47.3,56.2,X
C|45.0,153,14,,9.2,,28.7,62.2,X
C|46.0,144,16,,11.1,,37.8,84.1,O
C|47.0,143,19,,13.3,,62.9,89.2,O
C|48.0,108,10,,9.3,,51.3,57.9,X
C|49.0,101,9,,8.9,,42.7,76.0,X
C|50.0,91,4,,4.4,,34.9,112.6,O
C|51.0,97,11,,11.3,,75.7,69.3,X
C|52.0,88,7,,8.0,,111.9,81.1,O
C|53.0,82,2,,2.4,,10.1,139.2,O
C|54.0,65,5,,7.7,,66.9,97.1,O
C|55.0,65,10,,15.4,,98.9,110.8,O
C|56.0,58,4,,6.9,,64.6,37.4,X
C|57.0,41,3,,7.3,,13.9,29.4,X
C|58.0,46,3,,6.5,,61.5,40.5,X
