bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|1,6613,2031,,30.7,,77.8,82.6,O
A|2,5917,1115,,18.8,,78.2,81.3,O
A|3,5579,811,,14.5,,79.8,81.0,O
A|4,5114,526,,10.3,,75.7,78.0,X
A|5,4821,393,,8.2,,73.6,74.4,X
A|6,4510,310,,6.9,,92.2,78.6,X
B|1,4052,1194,,29.5,,87.2,86.4,O
B|2,4237,775,,18.3,,76.9,80.7,O
B|3,4130,574,,13.9,,86.3,81.0,O
B|4,4131,433,,10.5,,76.0,80.1,O
B|5,4131,315,,7.6,,76.4,80.2,O
B|6,3959,258,,6.5,,91.8,85.4,O
C|1,2328,612,,26.3,,73.3,81.1,O
C|2,2480,427,,17.2,,71.9,78.6,X
C|3,2716,332,,12.2,,67.4,79.9,X
C|4,2847,243,,8.5,,62.8,77.9,X
C|5,2856,232,,8.1,,77.2,78.1,X
C|6,2829,137,,4.8,,71.2,72.6,X
D|1,1798,424,,23.6,,67.7,83.4,O
D|2,2072,332,,16.0,,76.1,79.2,X
D|3,2197,290,,13.2,,83.3,81.9,O
D|4,2344,202,,8.6,,79.1,76.3,X
D|5,2469,172,,7.0,,65.7,70.7,X
D|6,2564,133,,5.2,,76.5,77.0,X
E|1,398,98,,24.6,,73.0,88.4,O
E|2,489,80,,16.4,,80.2,73.3,X
E|3,558,76,,13.6,,76.6,79.2,X
E|4,610,53,,8.7,,78.1,68.4,X
E|5,652,36,,5.5,,59.7,61.2,X
E|6,690,29,,4.2,,49.7,73.1,X
