bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-1.0,3403,64,,1.9,,71.7,76.9,X
0.0,10398,308,,3.0,,75.4,77.7,X
0.1,479,29,,6.1,,111.9,84.1,O
0.2,483,26,,5.4,,67.8,58.1,X
0.3,534,31,,5.8,,114.4,98.3,O
0.4,495,20,,4.0,,94.8,75.4,X
0.5,443,17,,3.8,,39.5,62.7,X
0.6,450,34,,7.6,,131.2,71.3,X
0.7,467,27,,5.8,,75.1,82.8,O
0.8,485,40,,8.2,,124.7,81.2,O
0.9,467,34,,7.3,,91.6,79.2,X
1.0,516,37,,7.2,,109.7,93.8,O
1.1,571,34,,6.0,,57.1,69.0,X
1.2,587,37,,6.3,,98.2,83.9,O
1.3,611,47,,7.7,,94.8,102.0,O
1.4,603,48,,8.0,,70.2,79.5,X
1.5,636,49,,7.7,,81.6,69.5,X
1.6,670,56,,8.4,,87.0,87.3,O
1.7,629,59,,9.4,,77.4,71.5,X
1.8,603,58,,9.6,,54.7,81.8,O
1.9,618,57,,9.2,,62.7,66.6,X
2.0,609,62,,10.2,,51.8,71.7,X
2.1,562,74,,13.2,,78.2,75.3,X
2.2,576,63,,10.9,,81.4,76.5,X
2.3,562,67,,11.9,,69.1,79.3,X
2.4,584,85,,14.6,,84.2,79.9,X
2.5,574,82,,14.3,,77.7,74.5,X
2.6,476,81,,17.0,,87.2,82.2,O
2.7,478,80,,16.7,,70.5,76.0,X
2.8,468,73,,15.6,,78.0,84.8,O
2.9,474,92,,19.4,,96.7,82.2,O
3.0,499,82,,16.4,,76.6,72.1,X
3.1,500,103,,20.6,,79.4,84.4,O
3.2,409,81,,19.8,,72.7,83.4,O
3.3,352,82,,23.3,,78.5,90.4,O
3.4,389,76,,19.5,,65.1,77.8,X
3.5,341,85,,24.9,,81.2,88.2,O
3.6,345,78,,22.6,,78.2,77.9,X
3.7,269,55,,20.4,,55.8,75.3,X
3.8,282,93,,33.0,,93.4,85.0,O
3.9,242,62,,25.6,,81.3,73.8,X
4.0,214,51,,23.8,,51.0,70.5,X
4.1,171,62,,36.3,,95.1,85.8,O
4.2,156,54,,34.6,,90.1,88.4,O
4.3,103,36,,35.0,,107.8,85.5,O
4.4,82,21,,25.6,,57.3,78.9,X
4.5,63,20,,31.7,,58.6,92.1,O
4.6,72,29,,40.3,,92.9,88.2,O
4.7,52,13,,25.0,,62.2,49.0,X
4.8,54,13,,24.1,,51.6,81.8,O
4.9,40,14,,35.0,,76.6,64.1,X
5.0,33,6,,18.2,,36.2,105.5,O
