bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-1.0|0,6443,118,,1.8,,76.6,78.6,X
-1.0|1,5840,111,,1.9,,77.1,75.9,X
-1.0|2,2553,47,,1.8,,84.0,75.7,X
-1.0|3,1032,26,,2.5,,141.6,97.9,O
-1.0|9,707,11,,1.6,,70.1,70.0,X
0.0|0,22048,629,,2.9,,78.1,79.4,X
0.0|1,17340,581,,3.4,,82.7,76.7,X
0.0|2,8245,256,,3.1,,78.9,79.5,X
0.0|3,3524,97,,2.8,,60.5,69.6,X
0.0|9,2555,79,,3.1,,72.6,80.0,O
0.1|0,1136,57,,5.0,,98.2,81.9,O
0.1|1,792,47,,5.9,,87.5,90.7,O
0.1|2,336,14,,4.2,,71.2,67.8,X
0.1|3,125,6,,4.8,,72.8,72.0,X
0.1|9,111,6,,5.4,,49.5,51.0,X
0.2|0,1064,49,,4.6,,86.6,68.6,X
0.2|1,884,39,,4.4,,72.8,69.8,X
0.2|2,428,13,,3.0,,25.5,59.0,X
0.2|3,165,8,,4.8,,64.8,70.4,X
0.2|9,114,6,,5.3,,134.8,97.9,O
0.3|0,1070,60,,5.6,,89.1,83.4,O
0.3|1,852,41,,4.8,,67.2,74.3,X
0.3|2,377,17,,4.5,,89.7,94.2,O
0.3|3,163,8,,4.9,,113.4,94.8,O
0.3|9,98,4,,4.1,,50.2,87.9,O
0.4|0,1067,48,,4.5,,92.5,76.4,X
0.4|1,834,48,,5.8,,87.9,76.2,X
0.4|2,371,17,,4.6,,72.7,68.9,X
0.4|3,137,5,,3.6,,44.3,45.3,X
0.4|9,121,6,,5.0,,148.3,82.2,O
0.5|0,1077,47,,4.4,,78.4,78.2,X
0.5|1,817,34,,4.2,,58.3,76.3,X
0.5|2,372,19,,5.1,,63.1,77.2,X
0.5|3,140,5,,3.6,,16.8,44.0,X
0.5|9,109,5,,4.6,,48.1,54.4,X
0.6|0,1051,49,,4.7,,79.3,81.7,O
0.6|1,838,45,,5.4,,66.3,67.0,X
0.6|2,391,24,,6.1,,118.2,75.5,X
