bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|01,2269,225,,9.9,,87.5,82.9,O
0|02,2522,247,,9.8,,87.5,80.2,O
0|03,3406,300,,8.8,,75.9,80.6,O
0|04,4777,422,,8.8,,70.9,78.6,X
0|05,10589,1030,,9.7,,75.6,75.7,X
0|06,11271,1037,,9.2,,76.1,78.0,X
0|07,6467,611,,9.4,,73.6,84.9,O
0|08,7946,851,,10.7,,75.3,82.5,O
0|09,9968,1057,,10.6,,85.0,81.5,O
0|10,3637,322,,8.9,,73.3,79.5,X
0|30,62,2,,3.2,,5.4,62.2,X
0|42,87,3,,3.4,,35.6,129.7,O
0|43,75,3,,4.0,,87.5,128.3,O
0|44,44,5,,11.4,,176.7,129.7,O
0|45,144,4,,2.8,,63.1,76.6,X
0|46,57,2,,3.5,,108.0,155.4,O
0|47,97,2,,2.1,,17.0,111.2,O
0|48,71,2,,2.8,,35.5,71.0,X
0|50,75,2,,2.7,,36.6,135.6,O
1|01,2346,176,,7.5,,65.6,77.3,X
1|02,1970,187,,9.5,,71.9,68.8,X
1|03,4053,293,,7.2,,60.4,70.4,X
1|04,5367,453,,8.4,,87.1,79.9,X
1|05,8253,793,,9.6,,89.5,76.2,X
1|06,8227,680,,8.3,,74.2,76.2,X
1|07,7656,686,,9.0,,79.8,81.7,O
1|08,6188,641,,10.4,,86.3,82.9,O
1|09,7686,771,,10.0,,80.3,83.7,O
1|10,3927,358,,9.1,,79.5,76.3,X
1|30,229,11,,4.8,,72.6,53.3,X
1|35,59,3,,5.1,,49.0,82.4,O
1|36,45,1,,2.2,,112.9,21.1,X
1|42,139,6,,4.3,,81.3,72.8,X
1|43,127,6,,4.7,,76.4,82.9,O
1|44,122,6,,4.9,,62.7,58.1,X
1|45,201,6,,3.0,,52.8,69.5,X
1|46,112,4,,3.6,,63.1,73.5,X
1|47,186,4,,2.2,,24.7,49.0,X
1|48,266,7,,2.6,,23.7,58.6,X
1|50,551,29,,5.3,,86.0,77.5,X
1|51,38,0,,0.0,,0.0,70.6,X
1|54,34,3,,8.8,,168.3,95.8,O
1|55,46,0,,0.0,,0.0,0.0,X
2|01,898,59,,6.6,,62.0,74.7,X
2|02,651,52,,8.0,,62.9,71.9,X
2|03,1185,85,,7.2,,73.3,67.4,X
2|04,1729,154,,8.9,,82.1,84.5,O
2|05,4615,361,,7.8,,67.2,74.1,X
2|06,4099,295,,7.2,,69.4,69.7,X
2|07,2777,230,,8.3,,75.7,77.1,X
2|08,3591,353,,9.8,,92.6,83.2,O
2|09,4097,372,,9.1,,80.3,83.7,O
2|10,1334,102,,7.6,,99.4,88.4,O
2|44,42,1,,2.4,,3.9,98.7,O
2|45,51,0,,0.0,,0.0,88.8,O
2|50,39,4,,10.3,,306.1,124.6,O
3|01,175,11,,6.3,,53.7,70.6,X
3|02,63,5,,7.9,,61.4,79.5,X
3|03,384,21,,5.5,,29.5,68.6,X
3|04,592,48,,8.1,,78.6,86.5,O
3|05,2135,174,,8.1,,80.8,82.9,O
3|06,1782,128,,7.2,,78.3,79.3,X
3|07,1079,89,,8.2,,68.2,74.7,X
3|08,1713,156,,9.1,,81.7,76.2,X
3|09,1966,167,,8.5,,92.7,73.3,X
3|10,515,34,,6.6,,86.2,77.9,X
9|01,111,7,,6.3,,60.3,38.5,X
9|02,183,12,,6.6,,65.6,92.0,O
9|03,244,19,,7.8,,121.3,87.8,O
9|04,315,23,,7.3,,110.5,72.1,X
9|05,1490,121,,8.1,,68.6,77.4,X
9|06,1169,87,,7.4,,82.8,79.6,X
9|07,798,74,,9.3,,90.9,82.6,O
9|08,1134,101,,8.9,,87.9,77.7,X
9|09,1312,96,,7.3,,49.5,75.2,X
9|10,213,15,,7.0,,95.9,72.9,X
9|30,33,4,,12.1,,114.9,58.3,X
9|35,88,9,,10.2,,54.3,71.6,X
9|42,42,5,,11.9,,194.3,46.5,X
9|43,72,9,,12.5,,68.3,71.9,X
9|44,158,17,,10.8,,104.3,90.1,O
9|45,78,8,,10.3,,68.5,75.9,X
9|48,60,4,,6.7,,25.5,82.9,O
9|55,46,5,,10.9,,95.6,53.2,X
