bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|1,847,15,,1.8,,64.5,92.7,O
10|2,458,15,,3.3,,72.4,80.7,O
10|3,1144,33,,2.9,,102.3,92.8,O
10|4,153,3,,2.0,,39.0,63.0,X
10|9,59,1,,1.7,,86.5,55.7,X
11|1,668,9,,1.3,,65.6,66.6,X
11|2,398,4,,1.0,,23.1,77.6,X
11|3,945,19,,2.0,,91.7,63.4,X
11|4,97,2,,2.1,,79.6,36.0,X
11|9,50,0,,0.0,,0.0,77.2,X
12|1,524,11,,2.1,,96.5,82.9,O
12|2,317,7,,2.2,,161.9,93.5,O
12|3,725,8,,1.1,,44.6,72.8,X
12|4,69,1,,1.4,,94.3,81.9,O
12|9,35,0,,0.0,,0.0,104.8,O
13|1,421,5,,1.2,,87.5,91.9,O
13|2,238,3,,1.3,,40.5,55.8,X
13|3,578,17,,2.9,,195.0,93.3,O
13|4,51,0,,0.0,,0.0,21.4,X
14|1,253,4,,1.6,,91.0,103.8,O
14|2,195,1,,0.5,,2.6,40.9,X
14|3,427,10,,2.3,,160.8,105.9,O
15|1,170,2,,1.2,,48.1,91.7,O
15|2,120,3,,2.5,,117.1,49.8,X
15|3,264,1,,0.4,,11.5,73.5,X
16|1,91,0,,0.0,,0.0,86.7,O
16|2,64,2,,3.1,,91.7,64.9,X
16|3,120,1,,0.8,,4.8,84.9,O
1|1,606,184,,30.4,,76.2,79.3,X
1|2,319,99,,31.0,,83.0,85.6,O
1|3,625,177,,28.3,,72.2,80.7,O
1|4,105,33,,31.4,,77.4,83.2,O
1|9,70,18,,25.7,,68.0,72.2,X
2|1,730,148,,20.3,,85.8,78.3,X
2|2,369,67,,18.2,,80.4,85.3,O
2|3,732,168,,23.0,,102.6,89.0,O
2|4,119,18,,15.1,,61.4,72.6,X
2|9,86,16,,18.6,,95.5,86.1,O
3|1,808,94,,11.6,,74.2,79.0,X
3|2,429,63,,14.7,,92.7,81.8,O
3|3,853,106,,12.4,,75.9,84.2,O
3|4,121,20,,16.5,,94.4,84.2,O
3|9,89,9,,10.1,,56.8,62.4,X
4|1,861,78,,9.1,,90.5,80.4,O
4|2,464,59,,12.7,,90.7,84.9,O
4|3,993,118,,11.9,,92.3,75.3,X
4|4,113,11,,9.7,,84.1,70.8,X
4|9,100,11,,11.0,,95.5,68.2,X
5|1,967,81,,8.4,,87.9,74.9,X
5|2,493,27,,5.5,,49.5,71.4,X
5|3,1035,66,,6.4,,58.6,74.3,X
5|4,160,13,,8.1,,92.6,74.3,X
5|9,94,3,,3.2,,30.5,64.0,X
6|1,1023,60,,5.9,,82.7,72.6,X
6|2,543,36,,6.6,,98.0,88.1,O
6|3,1154,64,,5.5,,74.2,80.3,O
6|4,161,11,,6.8,,71.9,85.1,O
6|9,107,3,,2.8,,46.9,80.4,O
7|1,962,42,,4.4,,93.3,84.9,O
7|2,585,30,,5.1,,91.7,90.8,O
7|3,1230,54,,4.4,,70.7,78.8,X
7|4,162,7,,4.3,,99.2,81.4,O
7|9,147,3,,2.0,,27.4,56.9,X
8|1,1021,35,,3.4,,71.1,76.2,X
8|2,521,21,,4.0,,90.1,81.6,O
8|3,1274,50,,3.9,,90.1,81.5,O
8|4,187,4,,2.1,,47.2,45.5,X
8|9,131,2,,1.5,,38.9,87.9,O
9|1,958,24,,2.5,,62.2,72.6,X
9|2,550,12,,2.2,,72.9,70.5,X
9|3,1180,39,,3.3,,111.4,73.7,X
9|4,146,3,,2.1,,91.4,56.1,X
9|9,94,2,,2.1,,108.9,38.0,X
