bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|1,209,5,,2.4,,98.4,126.1,O
10|2,135,4,,3.0,,58.4,51.3,X
10|3,330,8,,2.4,,78.0,86.3,O
10|4,50,1,,2.0,,81.0,65.7,X
11|1,184,2,,1.1,,70.8,49.2,X
11|2,116,1,,0.9,,11.1,128.0,O
11|3,283,5,,1.8,,90.9,51.6,X
12|1,154,3,,1.9,,44.6,59.4,X
12|2,86,2,,2.3,,207.2,118.4,O
12|3,211,3,,1.4,,38.8,93.9,O
13|1,98,1,,1.0,,112.7,106.2,O
13|2,68,1,,1.5,,25.4,62.9,X
13|3,136,2,,1.5,,17.5,77.7,X
14|1,53,3,,5.7,,320.5,132.9,O
14|2,47,0,,0.0,,0.0,24.9,X
14|3,118,4,,3.4,,201.2,116.4,O
15|3,49,0,,0.0,,0.0,16.8,X
1|1,198,58,,29.3,,67.6,72.3,X
1|2,122,40,,32.8,,86.3,86.7,O
1|3,223,63,,28.3,,70.0,75.9,X
1|4,42,11,,26.2,,57.9,82.5,O
1|9,38,14,,36.8,,93.0,89.4,O
2|1,233,50,,21.5,,105.4,86.4,O
2|2,144,23,,16.0,,71.3,79.3,X
2|3,246,56,,22.8,,110.7,82.0,O
2|4,47,11,,23.4,,108.1,82.8,O
2|9,38,9,,23.7,,121.3,93.2,O
3|1,219,21,,9.6,,58.7,90.2,O
3|2,154,26,,16.9,,78.3,68.9,X
3|3,279,32,,11.5,,74.2,81.9,O
3|4,44,9,,20.5,,108.1,82.2,O
3|9,46,5,,10.9,,73.9,83.0,O
4|1,239,23,,9.6,,107.0,90.4,O
4|2,157,16,,10.2,,55.0,75.7,X
4|3,317,42,,13.2,,98.2,72.7,X
4|4,51,4,,7.8,,63.3,80.8,O
4|9,37,5,,13.5,,82.1,67.0,X
5|1,258,18,,7.0,,69.4,78.9,X
5|2,141,4,,2.8,,35.8,72.4,X
5|3,325,22,,6.8,,66.9,66.2,X
5|4,49,6,,12.2,,187.2,98.8,O
5|9,44,1,,2.3,,15.6,48.4,X
6|1,297,15,,5.1,,60.2,75.3,X
6|2,163,14,,8.6,,101.5,105.4,O
6|3,336,20,,6.0,,72.7,82.1,O
6|4,50,6,,12.0,,123.8,110.8,O
6|9,47,1,,2.1,,27.2,105.7,O
7|1,246,12,,4.9,,119.9,74.2,X
7|2,187,13,,7.0,,119.1,95.9,O
7|3,384,14,,3.6,,57.0,75.7,X
7|4,46,0,,0.0,,0.0,86.6,O
7|9,50,2,,4.0,,64.2,36.6,X
8|1,251,12,,4.8,,100.8,68.1,X
8|2,154,6,,3.9,,126.6,65.3,X
8|3,363,9,,2.5,,53.1,59.4,X
8|4,52,0,,0.0,,0.0,43.8,X
8|9,38,1,,2.6,,27.9,101.5,O
9|1,245,6,,2.4,,48.7,60.0,X
9|2,150,2,,1.3,,65.4,100.7,O
9|3,344,6,,1.7,,32.5,54.3,X
9|4,49,0,,0.0,,0.0,60.2,X
9|9,32,0,,0.0,,0.0,0.0,X
