bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|10.0,69,7,,10.1,,204.3,94.0,O
1|11.0,56,5,,8.9,,166.0,107.5,O
1|14.0,43,2,,4.7,,22.3,38.2,X
1|15.0,94,7,,7.4,,65.5,86.7,O
1|16.0,76,6,,7.9,,88.9,94.4,O
1|17.0,119,11,,9.2,,162.3,100.0,O
1|18.0,98,3,,3.1,,9.2,88.1,O
1|21.0,45,4,,8.9,,74.4,85.5,O
1|22.0,87,7,,8.0,,140.2,118.6,O
1|23.0,94,6,,6.4,,62.6,77.0,X
1|24.0,81,6,,7.4,,43.3,75.1,X
1|25.0,68,8,,11.8,,101.6,81.9,O
1|29.0,38,5,,13.2,,71.6,59.7,X
1|30.0,44,2,,4.5,,32.0,23.3,X
1|31.0,37,4,,10.8,,302.3,97.8,O
2|10.0,49,2,,4.1,,88.3,64.4,X
2|11.0,37,3,,8.1,,127.4,108.8,O
2|14.0,36,3,,8.3,,89.1,102.0,O
2|15.0,42,3,,7.1,,27.7,61.9,X
2|16.0,58,2,,3.4,,77.5,47.4,X
2|17.0,72,3,,4.2,,43.5,73.6,X
2|18.0,45,0,,0.0,,0.0,101.0,O
2|22.0,56,5,,8.9,,43.8,213.3,O
2|23.0,63,4,,6.3,,67.7,54.2,X
2|24.0,55,5,,9.1,,276.9,158.8,O
2|25.0,34,2,,5.9,,90.6,56.3,X
3|10.0,82,7,,8.5,,239.5,102.0,O
3|11.0,85,8,,9.4,,81.7,84.8,O
3|12.0,30,1,,3.3,,3.3,55.6,X
3|14.0,54,4,,7.4,,83.3,46.1,X
3|15.0,90,11,,12.2,,119.3,60.6,X
3|16.0,118,6,,5.1,,32.9,75.7,X
3|17.0,150,10,,6.7,,37.5,54.0,X
3|18.0,121,8,,6.6,,161.9,99.7,O
3|21.0,46,2,,4.3,,23.6,49.3,X
3|22.0,128,4,,3.1,,22.2,77.9,X
3|23.0,117,7,,6.0,,60.6,82.0,O
3|24.0,152,12,,7.9,,199.7,95.7,O
3|25.0,89,7,,7.9,,53.5,104.6,O
3|28.0,37,2,,5.4,,127.1,50.5,X
3|29.0,49,5,,10.2,,106.6,95.7,O
3|30.0,55,1,,1.8,,13.7,14.7,X
3|31.0,62,8,,12.9,,130.6,103.3,O
3|32.0,35,3,,8.6,,137.7,59.5,X
3|38.0,34,1,,2.9,,6.7,113.3,O
